,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
185,Ryan Fraser,Newcastle United ,3,142,0,0,0.08+0.08,0.04+0.04,0.05,0.03
186,Harry Maguire,Manchester United ,3,270,0,0,0.13+0.13,0.00,0.04,0.00
187,Andrew Robertson,Liverpool ,4,335,0,0,0.00,0.06+0.06,0.00,0.02
188,Ben Gibson,Norwich ,3,246,0,0,0.01+0.01,0.02+0.02,0.00,0.01
189,Adam Forshaw,Leeds ,2,38,0,0,0.00,0.06+0.06,0.00,0.14
190,Javier Manquillo,Newcastle United ,4,343,0,2,0.03+0.03,0.46-1.54,0.01,0.12
191,Christian Kabasele,Watford ,1,20,0,0,0.00,0.00,0.00,0.00
192,Abdoulaye Doucouré,Everton ,2,180,0,1,0.21+0.21,0.73-0.27,0.11,0.37
193,Paul Pogba,Manchester United ,3,124,0,0,0.25+0.25,0.12+0.12,0.18,0.09
194,Ainsley Maitland-Niles,Arsenal ,2,12,0,0,0.00,0.00,0.00,0.00
195,Trent Alexander-Arnold,Liverpool ,3,246,0,1,0.12+0.12,0.96-0.04,0.04,0.35
196,Pontus Jansson,Brentford ,4,360,0,0,1.09+1.09,0.00,0.27,0.00
197,Antonio Rüdiger,Chelsea ,3,270,0,0,0.33+0.33,0.12+0.12,0.11,0.04
198,Lucas Digne,Everton ,3,270,0,0,0.12+0.12,0.53+0.53,0.04,0.18
199,Vicente Guaita,Crystal Palace ,4,360,0,0,0.00,0.00,0.00,0.00
200,Emiliano Buendía,Aston Villa ,4,225,0,1,0.42+0.42,0.90-0.10,0.17,0.36
201,Raphael Varane,Manchester United ,2,180,0,0,0.06+0.06,0.00,0.03,0.00
202,Mateo Kovacic,Chelsea ,3,234,0,2,0.10+0.10,1.28-0.72,0.04,0.49
203,Saúl Ñíguez,Chelsea ,1,1,0,0,0.00,0.00,0.00,0.00
204,João Cancelo,Manchester City ,4,353,0,0,0.62+0.62,0.18+0.18,0.16,0.04
205,Rodri,Manchester City ,4,360,0,0,0.13+0.13,0.07+0.07,0.03,0.02
206,Aymeric Laporte,Manchester City ,4,302,0,0,0.07+0.07,0.04+0.04,0.02,0.01
207,Martin Odegaard,Arsenal ,4,180,0,0,0.03+0.03,0.18+0.18,0.02,0.09
208,Thiago Silva,Chelsea ,3,270,0,0,0.00,0.05+0.05,0.00,0.02
209,Lucas Moura,Tottenham ,4,325,0,0,0.46+0.46,0.57+0.57,0.13,0.16
210,Ricardo Pereira,Leicester ,2,180,0,0,0.17+0.17,0.03+0.03,0.09,0.01
211,Nicolas N'Koulou,Watford ,1,10,0,0,0.00,0.00,0.00,0.00
212,Fabinho,Liverpool ,1,90,0,0,0.30+0.30,0.00,0.30,0.00
213,João Moutinho,Wolverhampton Wanderers ,4,347,0,0,0.20+0.20,0.07+0.07,0.05,0.02
214,Said Benrahma,West Ham ,4,330,0,1,0.61+0.61,0.27-0.73,0.17,0.07
215,Neal Maupay,Brighton ,3,240,0,0,0.90+0.90,0.19+0.19,0.34,0.07
216,Mateusz Klich,Leeds ,3,231,0,0,0.12+0.12,0.17+0.17,0.04,0.07
217,Emiliano Martinez,Aston Villa ,4,360,0,0,0.00,0.00,0.00,0.00
218,Adam Armstrong ,Southampton,3,181,0,1,1.14+1.14,0.64-0.36,0.57,0.32
219,Ashley Barnes,Burnley ,2,36,0,0,0.16+0.16,0.00,0.40,0.00
220,Jean-Philippe Gbamin,Everton ,1,48,0,0,0.00,0.00,0.00,0.00
221,Kiko Femenía,Watford ,2,147,0,0,0.00,0.00,0.00,0.00
222,Álvaro Fernández,Brentford ,1,90,0,0,0.00,0.00,0.00,0.00
223,Kai Havertz,Chelsea ,3,171,0,0,0.64+0.64,0.58+0.58,0.34,0.31
224,Leon Bailey,Aston Villa ,2,112,0,1,0.13+0.13,0.05-0.95,0.11,0.04
225,Gabriel Jesus,Manchester City ,3,269,0,2,0.77+0.77,0.41-1.59,0.26,0.14
226,Luka Milivojevic,Crystal Palace ,3,235,0,0,0.02+0.02,0.24+0.24,0.01,0.09
227,Nick Pope,Burnley ,4,360,0,0,0.00,0.00,0.00,0.00
228,Ademola Lookman,Leicester ,2,124,0,0,0.09+0.09,0.00,0.06,0.00
229,Scott McTominay,Manchester United ,4,276,0,0,0.15+0.15,0.75+0.75,0.05,0.25
230,Aaron Wan-Bissaka,Manchester United ,4,360,0,0,0.03+0.03,0.47+0.47,0.01,0.12
