,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
123,Ashley Westwood,Burnley ,4,360,0,1,0.04+0.04,1.15+0.15,0.01,0.29
124,Jordan Ayew,Crystal Palace ,3,199,0,1,0.23+0.23,0.12-0.88,0.10,0.05
125,Jack Grealish,Manchester City ,3,229,0,1,0.29+0.29,0.80-0.20,0.12,0.31
126,César Azpilicueta,Chelsea ,2,180,0,1,0.47+0.47,0.73-0.27,0.23,0.36
127,Ruben Loftus-Cheek,Chelsea ,4,224,0,2,0.27+0.27,1.19-0.81,0.11,0.48
128,Bertrand Traoré,Aston Villa ,1,8,0,0,0.00,0.00,0.00,0.00
129,Nemanja Matic,Manchester United ,2,97,0,1,0.01+0.01,0.46-0.54,0.01,0.43
130,Lukasz Fabianski,West Ham ,4,360,0,0,0.00,0.00,0.00,0.00
131,Federico Fernández,Newcastle United ,1,90,0,0,0.03+0.03,0.00,0.03,0.00
132,Jack Cork,Burnley ,2,148,0,0,0.00,0.00,0.00,0.00
133,Jordan Pickford,Everton ,3,270,0,0,0.00,0.00,0.00,0.00
134,Dwight Gayle,Newcastle United ,1,10,0,0,0.06+0.06,0.00,0.54,0.00
135,Kasper Schmeichel,Leicester ,4,360,0,0,0.00,0.00,0.00,0.00
136,N'Golo Kanté,Chelsea ,2,157,0,0,0.03+0.03,0.03+0.03,0.02,0.02
137,Marc Albrighton,Leicester ,1,8,0,0,0.00,0.00,0.00,0.00
138,Daniel Amartey,Leicester ,3,228,0,0,0.00,0.00,0.00,0.00
139,Demarai Gray,Everton ,3,261,0,1,0.21+0.21,0.98-0.02,0.07,0.34
140,Jamaal Lascelles,Newcastle United ,3,270,0,0,0.12+0.12,0.11+0.11,0.04,0.04
141,Jonjo Shelvey,Newcastle United ,2,28,0,0,0.00,0.03+0.03,0.00,0.10
142,Ayoze Pérez,Leicester ,2,23,0,2,0.71+0.71,0.81-1.19,2.76,3.16
143,Moussa Sissoko,Watford ,4,360,0,0,0.01+0.01,0.12+0.12,0.00,0.03
