,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
0,Mohamed Salah,Liverpool ,3,270,4,3,2.80-1.20,1.33-1.67,0.93,0.44
1,Joshua King,Watford ,2,180,3,0,2.25-0.75,0.57+0.57,1.12,0.28
2,Roberto Firmino,Liverpool ,3,252,3,1,3.05+0.05,0.61-0.39,1.09,0.22
3,Maxwel Cornet,Burnley ,3,210,3,0,0.85-2.15,0.48+0.48,0.37,0.21
4,Mason Mount,Chelsea ,2,112,3,1,1.52-1.48,0.44-0.56,1.22,0.35
5,Reece James,Chelsea ,3,181,3,0,0.48-2.52,0.57+0.57,0.24,0.28
6,Pierre-Emerick Aubameyang,Arsenal ,3,270,2,1,2.78+0.78,0.30-0.70,0.93,0.10
7,Callum Wilson,Newcastle United ,3,265,2,0,1.03-0.97,0.04+0.04,0.35,0.01
8,Marcus Rashford,Manchester United ,3,106,2,0,0.78-1.22,0.00,0.66,0.00
9,Christian Benteke,Crystal Palace ,3,200,2,0,2.11+0.11,0.17+0.17,0.95,0.08
10,Ben Chilwell,Chelsea ,3,270,2,0,0.13-1.87,0.09+0.09,0.04,0.03
11,Sadio Mané,Liverpool ,3,188,2,0,1.35-0.65,0.15+0.15,0.64,0.07
12,Rodrigo,Leeds ,3,243,2,0,0.92-1.08,0.61+0.61,0.34,0.22
13,Youri Tielemans,Leicester ,3,270,2,0,0.18-1.82,1.06+1.06,0.06,0.35
14,Phil Foden,Manchester City ,3,270,2,1,1.61-0.39,0.64-0.36,0.54,0.21
15,Emile Smith-Rowe,Arsenal ,3,270,2,1,0.38-1.62,1.12+0.12,0.13,0.37
16,Armando Broja ,Southampton,2,162,2,0,1.11-0.89,0.06+0.06,0.62,0.03
17,Ilkay Gündogan,Manchester City ,1,77,1,0,0.97-0.03,0.36+0.36,1.13,0.42
18,Kevin De Bruyne,Manchester City ,3,163,1,0,0.12-0.88,0.98+0.98,0.07,0.54
19,Son Heung-Min,Tottenham ,3,270,1,0,1.43+0.43,0.42+0.42,0.48,0.14
20,Alex Iwobi,Everton ,3,169,1,0,0.28-0.72,0.61+0.61,0.15,0.33
21,Wilfried Zaha,Crystal Palace ,2,111,1,0,0.40-0.60,0.16+0.16,0.32,0.13
22,Angelo Ogbonna,West Ham ,3,270,1,0,0.56-0.44,0.00,0.19,0.00
23,Michail Antonio,West Ham ,3,270,1,0,1.61+0.61,0.86+0.86,0.54,0.29
24,Jordan Henderson,Liverpool ,3,270,1,1,0.10-0.90,0.83-0.17,0.03,0.28
25,Harry Kane,Tottenham ,3,270,1,1,0.48-0.52,0.75-0.25,0.16,0.25
26,Riyad Mahrez,Manchester City ,3,98,1,0,0.79-0.21,0.13+0.13,0.72,0.12
27,Jamie Vardy,Leicester ,3,228,1,0,0.45-0.55,0.30+0.30,0.18,0.12
28,Danny Ings,Aston Villa ,2,173,1,0,0.82-0.18,0.00,0.43,0.00
29,Tom Davies,Everton ,1,90,1,0,0.87-0.13,0.00,0.87,0.00
30,Juraj Kucka,Watford ,3,270,1,0,0.32-0.68,0.10+0.10,0.11,0.03
31,Jorginho,Chelsea ,2,155,1,1,0.78-0.22,0.12-0.88,0.45,0.07
32,Matthew Lowton,Burnley ,3,270,1,1,0.54-0.46,0.53-0.47,0.18,0.18
33,Jarrod Bowen,West Ham ,3,270,1,1,2.05+1.05,0.66-0.34,0.68,0.22
34,Thomas Partey,Arsenal ,3,264,1,0,1.14+0.14,0.05+0.05,0.39,0.02
35,Pablo Fornals,West Ham ,3,270,1,0,1.00,0.68+0.68,0.33,0.23
36,Cristiano Ronaldo,Manchester United ,3,252,1,1,0.77-0.23,0.62-0.38,0.28,0.22
37,Alexandre Lacazette,Arsenal ,3,154,1,0,0.31-0.69,0.17+0.17,0.18,0.10
38,Edinson Cavani,Manchester United ,2,106,1,0,1.44+0.44,0.00,1.22,0.00
39,Romain Saiss,Wolverhampton Wanderers ,3,270,1,0,0.74-0.26,0.00,0.25,0.00
40,Bernardo Silva,Manchester City ,3,270,1,1,1.22+0.22,1.36+0.36,0.41,0.45
41,Odsonne Edouard,Crystal Palace ,3,253,1,1,0.26-0.74,0.08-0.92,0.09,0.03
42,Raúl Jiménez,Wolverhampton Wanderers ,3,181,1,0,0.90-0.10,0.04+0.04,0.45,0.02
43,Chris Wood,Burnley ,3,266,1,0,1.34+0.34,0.00,0.45,0.00
44,Naby Keita,Liverpool ,3,178,1,1,0.49-0.51,0.81-0.19,0.25,0.41
45,Caglar Söyüncü,Leicester ,3,250,1,0,0.64-0.36,0.00,0.23,0.00
46,Declan Rice,West Ham ,3,270,1,1,0.14-0.86,0.26-0.74,0.05,0.09
47,Gabriel,Arsenal ,3,270,1,0,0.17-0.83,0.03+0.03,0.06,0.01
48,Tanguy NDombele Alvaro,Tottenham ,3,198,1,0,0.41-0.59,0.32+0.32,0.19,0.15
49,Richarlison,Everton ,2,116,1,0,0.90-0.10,0.08+0.08,0.70,0.06
50,Zanka,Brentford ,3,270,1,0,0.14-0.86,0.08+0.08,0.05,0.03
51,Ben Johnson,West Ham ,3,270,1,0,0.09-0.91,0.10+0.10,0.03,0.03
52,Callum Hudson-Odoi,Chelsea ,2,161,1,0,0.33-0.67,0.23+0.23,0.19,0.13
53,James Maddison,Leicester ,3,230,1,0,0.83-0.17,0.37+0.37,0.32,0.15
54,Conor Coady,Wolverhampton Wanderers ,3,270,1,0,0.72-0.28,0.00,0.24,0.00
55,Rúben Neves,Wolverhampton Wanderers ,3,181,1,0,0.13-0.87,0.00,0.07,0.00
56,Diogo Jota,Liverpool ,2,100,1,1,0.84-0.16,0.62-0.38,0.75,0.56
57,Saman Ghoddos,Brentford ,3,57,1,0,0.55-0.45,0.03+0.03,0.87,0.04
58,Max Kilman,Wolverhampton Wanderers ,3,270,1,0,0.48-0.52,0.00,0.16,0.00
59,Mason Greenwood,Manchester United ,2,135,1,0,0.29-0.71,0.36+0.36,0.20,0.24
60,Leandro Trossard,Brighton ,3,270,1,0,0.89-0.11,0.44+0.44,0.30,0.15
61,Che Adams ,Southampton,2,99,1,0,0.68-0.32,0.09+0.09,0.62,0.08
62,John McGinn,Aston Villa ,3,270,1,1,0.17-0.83,0.70-0.30,0.06,0.23
63,Raphinha,Leeds ,2,145,1,0,0.46-0.54,0.17+0.17,0.29,0.10
64,Alexis Mac Allister,Brighton ,3,47,1,0,0.76-0.24,0.00,1.46,0.00
65,Hee-Chan Hwang,Wolverhampton Wanderers ,3,270,1,0,0.48-0.52,0.00,0.16,0.00
66,Ollie Watkins,Aston Villa ,3,270,1,0,1.34+0.34,0.04+0.04,0.45,0.01
67,Jacob Ramsey,Aston Villa ,3,43,1,0,0.15-0.85,0.03+0.03,0.31,0.07
68,Conor Gallagher,Crystal Palace ,3,268,1,1,0.58-0.42,0.64-0.36,0.19,0.22
69,Emmanuel Dennis,Watford ,2,92,1,2,0.46-0.54,0.90-1.10,0.45,0.88
70,Valentino Livramento ,Southampton,3,270,1,0,0.21-0.79,0.20+0.20,0.07,0.07
71,Enock Mwepu,Brighton ,2,120,1,0,0.53-0.47,0.00,0.40,0.00
72,Patson Daka,Leicester ,3,68,1,1,1.22+0.22,1.09+0.09,1.62,1.44
73,Andrew Omobamidele,Norwich ,2,110,1,0,0.08-0.92,0.00,0.07,0.00
74,Lukas Rupp,Norwich ,1,4,0,0,0.00,0.00,0.00,0.00
75,Timo Werner,Chelsea ,1,90,0,0,0.05+0.05,0.00,0.05,0.00
76,Joelinton,Newcastle United ,2,97,0,0,0.00,0.05+0.05,0.00,0.05
77,Allan Saint-Maximin,Newcastle United ,3,263,0,0,0.13+0.13,0.08+0.08,0.05,0.03
78,Jannik Vestergaard,Leicester ,2,21,0,0,0.00,0.00,0.00,0.00
79,Andreas Christensen,Chelsea ,2,180,0,0,0.00,0.02+0.02,0.00,0.01
80,Pascal Groß,Brighton ,3,175,0,0,0.22+0.22,0.19+0.19,0.11,0.10
81,Joel Matip,Liverpool ,1,90,0,0,0.01+0.01,0.00,0.01,0.00
82,Sead Kolasinac,Arsenal ,1,1,0,0,0.00,0.00,0.00,0.00
83,Pierre-Emile Højbjerg,Tottenham ,3,270,0,1,0.03+0.03,0.29-0.71,0.01,0.10
84,Matt Ritchie,Newcastle United ,3,270,0,0,0.01+0.01,0.07+0.07,0.00,0.02
85,Adam Lallana,Brighton ,3,259,0,1,0.09+0.09,0.61-0.39,0.03,0.21
86,James Milner,Liverpool ,2,110,0,1,0.11+0.11,1.07+0.07,0.09,0.88
87,Theo Walcott ,Southampton,2,85,0,0,0.13+0.13,0.00,0.14,0.00
88,Joel Ward,Crystal Palace ,3,270,0,0,0.00,0.00,0.00,0.00
89,James Tomkins,Crystal Palace ,1,5,0,0,0.00,0.00,0.00,0.00
90,Cheikhou Kouyaté,Crystal Palace ,2,110,0,0,0.00,0.00,0.00,0.00
91,Aaron Cresswell,West Ham ,3,270,0,1,0.08+0.08,0.56-0.44,0.03,0.19
92,Manuel Lanzini,West Ham ,3,30,0,1,0.06+0.06,0.90-0.10,0.17,2.69
93,David de Gea,Manchester United ,3,270,0,0,0.00,0.00,0.00,0.00
94,Jesse Lingard,Manchester United ,2,13,0,0,0.03+0.03,0.03+0.03,0.18,0.19
95,Nathan Aké,Manchester City ,1,90,0,0,0.00,0.00,0.00,0.00
96,Craig Cathcart,Watford ,3,270,0,1,0.00,0.79-0.21,0.00,0.26
97,Seamus Coleman,Everton ,3,270,0,0,0.08+0.08,0.17+0.17,0.03,0.06
98,John Stones,Manchester City ,2,116,0,0,0.00,0.00,0.00,0.00
99,Ross Barkley,Chelsea ,2,42,0,0,0.33+0.33,0.04+0.04,0.71,0.09
100,Romelu Lukaku,Chelsea ,1,80,0,0,0.05+0.05,0.05+0.05,0.05,0.06
101,Tom Cleverley,Watford ,2,85,0,0,0.00,0.02+0.02,0.00,0.02
102,Fernandinho,Manchester City ,2,15,0,0,0.00,0.00,0.00,0.00
103,Raheem Sterling,Manchester City ,2,97,0,0,0.11+0.11,0.11+0.11,0.10,0.10
104,Kelechi Iheanacho,Leicester ,3,219,0,1,0.22+0.22,0.10-0.90,0.09,0.04
105,Ashley Young,Aston Villa ,2,84,0,0,0.00,0.01+0.01,0.00,0.01
