,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
106,James McArthur,Crystal Palace ,3,270,0,0,0.11+0.11,0.42+0.42,0.04,0.14
107,Alex McCarthy ,Southampton,3,270,0,0,0.00,0.00,0.00,0.00
108,Hugo Lloris,Tottenham ,3,270,0,0,0.00,0.00,0.00,0.00
109,Kyle Walker,Manchester City ,2,180,0,0,0.00,0.00,0.00,0.00
110,Danny Rose,Watford ,1,90,0,0,0.00,0.00,0.00,0.00
111,Eric Dier,Tottenham ,3,270,0,0,0.08+0.08,0.00,0.03,0.00
112,Dele Alli,Tottenham ,1,16,0,0,0.00,0.00,0.00,0.00
113,Ben Davies,Tottenham ,1,90,0,0,0.51+0.51,0.00,0.51,0.00
114,Ashley Westwood,Burnley ,3,270,0,1,0.04+0.04,1.05+0.05,0.01,0.35
115,Jordan Ayew,Crystal Palace ,2,144,0,1,0.19+0.19,0.09-0.91,0.12,0.06
116,Jack Grealish,Manchester City ,2,162,0,1,0.26+0.26,0.80-0.20,0.14,0.44
117,César Azpilicueta,Chelsea ,1,90,0,0,0.00,0.00,0.00,0.00
118,Ruben Loftus-Cheek,Chelsea ,3,138,0,1,0.16+0.16,0.55-0.45,0.11,0.36
119,Nemanja Matic,Manchester United ,2,97,0,1,0.01+0.01,0.46-0.54,0.01,0.43
120,Lukasz Fabianski,West Ham ,3,270,0,0,0.00,0.00,0.00,0.00
121,Jack Cork,Burnley ,2,148,0,0,0.00,0.00,0.00,0.00
122,Jordan Pickford,Everton ,3,270,0,0,0.00,0.00,0.00,0.00
123,Kasper Schmeichel,Leicester ,3,270,0,0,0.00,0.00,0.00,0.00
124,N'Golo Kanté,Chelsea ,2,157,0,0,0.03+0.03,0.03+0.03,0.02,0.02
125,Jeffrey Schlupp,Crystal Palace ,2,27,0,0,0.03+0.03,0.00,0.11,0.00
126,Daniel Amartey,Leicester ,3,228,0,0,0.00,0.00,0.00,0.00
127,Demarai Gray,Everton ,3,261,0,1,0.40+0.40,0.92-0.08,0.14,0.32
128,Jamaal Lascelles,Newcastle United ,3,270,0,0,0.12+0.12,0.11+0.11,0.04,0.04
129,Jonjo Shelvey,Newcastle United ,2,28,0,0,0.00,0.03+0.03,0.00,0.10
130,Ayoze Pérez,Leicester ,2,23,0,2,0.71+0.71,0.81-1.19,2.76,3.16
131,Moussa Sissoko,Watford ,3,270,0,0,0.01+0.01,0.10+0.10,0.00,0.03
132,Andros Townsend,Everton ,3,270,0,0,0.10+0.10,0.57+0.57,0.03,0.19
133,Karl Darlow,Newcastle United ,3,270,0,0,0.00,0.00,0.00,0.00
134,Nathan Redmond ,Southampton,3,270,0,2,0.99+0.99,1.35-0.65,0.33,0.45
135,Ben Foster,Watford ,3,270,0,0,0.00,0.00,0.00,0.00
136,Craig Dawson,West Ham ,2,11,0,0,0.00,0.00,0.00,0.00
137,Jonny Evans,Leicester ,3,270,0,0,0.71+0.71,0.00,0.24,0.00
138,Salomón Rondón,Everton ,3,181,0,0,0.28+0.28,0.00,0.14,0.00
139,Virgil van Dijk,Liverpool ,3,270,0,0,0.00,0.04+0.04,0.00,0.01
140,Oriol Romeu ,Southampton,3,270,0,0,0.09+0.09,0.15+0.15,0.03,0.05
141,James Ward-Prowse ,Southampton,1,82,0,0,0.00,0.06+0.06,0.00,0.06
142,Jay Rodriguez,Burnley ,2,22,0,0,0.05+0.05,0.00,0.19,0.00
143,Ciaran Clark,Newcastle United ,3,270,0,0,0.03+0.03,0.07+0.07,0.01,0.02
144,Fabian Delph,Everton ,1,42,0,0,0.01+0.01,0.00,0.03,0.00
145,Matt Targett,Aston Villa ,3,270,0,0,0.00,0.58+0.58,0.00,0.19
146,Kyle Walker-Peters ,Southampton,1,90,0,0,0.00,0.66+0.66,0.00,0.66
147,Erik Pieters,Burnley ,1,90,0,0,0.00,0.00,0.00,0.00
148,Adama Traoré,Wolverhampton Wanderers ,2,167,0,0,0.37+0.37,0.04+0.04,0.20,0.02
149,Axel Tuanzebe,Aston Villa ,2,142,0,0,0.00,0.00,0.00,0.00
150,Kurt Zouma,West Ham ,3,270,0,0,0.00,0.00,0.00,0.00
151,Alex Oxlade-Chamberlain,Liverpool ,3,116,0,1,0.09+0.09,0.52-0.48,0.07,0.40
152,Tim Krul,Norwich ,3,270,0,0,0.00,0.00,0.00,0.00
153,Mason Holgate,Everton ,1,90,0,0,0.47+0.47,0.00,0.47,0.00
154,Ivan Toney,Brentford ,3,270,0,0,0.69+0.69,0.17+0.17,0.23,0.06
155,Luke Shaw,Manchester United ,3,270,0,0,0.01+0.01,0.09+0.09,0.00,0.03
156,Tyler Roberts,Leeds ,3,125,0,0,0.09+0.09,0.22+0.22,0.07,0.16
157,Matej Vydra,Burnley ,2,21,0,0,0.00,0.00,0.00,0.00
158,Tyrone Mings,Aston Villa ,3,216,0,0,0.00,0.00,0.00,0.00
159,Kieran Dowell,Norwich ,1,70,0,0,0.03+0.03,0.03+0.03,0.04,0.04
160,Sergi Canos,Brentford ,3,244,0,0,0.06+0.06,0.15+0.15,0.02,0.06
161,Bruno Fernandes,Manchester United ,3,234,0,2,0.12+0.12,0.69-1.31,0.05,0.27
162,Alisson,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
163,Allan,Everton ,3,270,0,0,0.08+0.08,0.01+0.01,0.03,0.00
164,Adam Masina,Watford ,3,227,0,0,0.04+0.04,0.04+0.04,0.02,0.01
165,Emil Krafth,Newcastle United ,2,180,0,1,0.09+0.09,0.09-0.91,0.04,0.05
166,Michael Keane,Everton ,3,270,0,2,0.11+0.11,0.30-1.70,0.04,0.10
167,Ben Mee,Burnley ,1,90,0,0,0.06+0.06,0.00,0.06,0.00
168,Johann Berg Gudmundsson,Burnley ,3,114,0,0,0.84+0.84,0.04+0.04,0.66,0.03
169,James Tarkowski,Burnley ,3,270,0,0,0.57+0.57,0.00,0.19,0.00
170,Ashley Fletcher,Watford ,1,6,0,0,0.42+0.42,0.00,6.32,0.00
171,Ryan Fraser,Newcastle United ,3,142,0,0,0.08+0.08,0.04+0.04,0.05,0.03
172,Harry Maguire,Manchester United ,3,270,0,0,0.13+0.13,0.00,0.04,0.00
173,Andrew Robertson,Liverpool ,3,245,0,0,0.00,0.06+0.06,0.00,0.02
174,Ben Gibson,Norwich ,2,156,0,0,0.01+0.01,0.02+0.02,0.01,0.01
175,Adam Forshaw,Leeds ,2,38,0,0,0.00,0.06+0.06,0.00,0.14
176,Javier Manquillo,Newcastle United ,3,270,0,1,0.03+0.03,0.44-0.56,0.01,0.15
177,Abdoulaye Doucouré,Everton ,1,90,0,0,0.10+0.10,0.07+0.07,0.10,0.07
178,Paul Pogba,Manchester United ,2,105,0,0,0.11+0.11,0.02+0.02,0.09,0.02
179,Ainsley Maitland-Niles,Arsenal ,1,11,0,0,0.00,0.00,0.00,0.00
180,Trent Alexander-Arnold,Liverpool ,3,246,0,1,0.12+0.12,0.96-0.04,0.04,0.35
181,Pontus Jansson,Brentford ,3,270,0,0,1.07+1.07,0.00,0.36,0.00
182,Antonio Rüdiger,Chelsea ,2,180,0,0,0.25+0.25,0.02+0.02,0.13,0.01
183,Lucas Digne,Everton ,2,180,0,0,0.12+0.12,0.43+0.43,0.06,0.21
184,Diego Llorente,Leeds ,3,270,0,0,0.10+0.10,0.00,0.03,0.00
185,Vicente Guaita,Crystal Palace ,3,270,0,0,0.00,0.00,0.00,0.00
186,Emiliano Buendía,Aston Villa ,3,205,0,1,0.42+0.42,0.90-0.10,0.18,0.40
187,Raphael Varane,Manchester United ,1,90,0,0,0.00,0.00,0.00,0.00
188,Mateo Kovacic,Chelsea ,2,158,0,2,0.10+0.10,0.85-1.15,0.06,0.48
189,Saúl Ñíguez,Chelsea ,1,1,0,0,0.00,0.00,0.00,0.00
190,João Cancelo,Manchester City ,3,263,0,0,0.62+0.62,0.02+0.02,0.21,0.01
191,Rodri,Manchester City ,3,270,0,0,0.11+0.11,0.07+0.07,0.04,0.02
192,Aymeric Laporte,Manchester City ,3,212,0,0,0.07+0.07,0.04+0.04,0.03,0.02
193,Martin Odegaard,Arsenal ,3,116,0,0,0.03+0.03,0.18+0.18,0.03,0.14
194,Thiago Silva,Chelsea ,2,180,0,0,0.00,0.03+0.03,0.00,0.01
195,Lucas Moura,Tottenham ,3,235,0,0,0.30+0.30,0.43+0.43,0.11,0.16
196,Ricardo Pereira,Leicester ,2,180,0,0,0.17+0.17,0.03+0.03,0.09,0.01
197,Nicolas N'Koulou,Watford ,1,10,0,0,0.00,0.00,0.00,0.00
198,João Moutinho,Wolverhampton Wanderers ,3,257,0,0,0.17+0.17,0.05+0.05,0.06,0.02
199,Said Benrahma,West Ham ,3,240,0,1,0.43+0.43,0.16-0.84,0.16,0.06
200,Neal Maupay,Brighton ,2,150,0,0,0.65+0.65,0.16+0.16,0.39,0.10
201,Mateusz Klich,Leeds ,2,141,0,0,0.03+0.03,0.01+0.01,0.02,0.01
202,Emiliano Martinez,Aston Villa ,3,270,0,0,0.00,0.00,0.00,0.00
203,Adam Armstrong ,Southampton,2,91,0,1,1.04+1.04,0.64-0.36,1.03,0.64
204,Ashley Barnes,Burnley ,1,30,0,0,0.16+0.16,0.00,0.48,0.00
205,Jean-Philippe Gbamin,Everton ,1,48,0,0,0.00,0.00,0.00,0.00
206,Kiko Femenía,Watford ,1,57,0,0,0.00,0.00,0.00,0.00
207,Álvaro Fernández,Brentford ,1,90,0,0,0.00,0.00,0.00,0.00
208,Kai Havertz,Chelsea ,3,171,0,0,0.64+0.64,0.58+0.58,0.34,0.31
209,Leon Bailey,Aston Villa ,2,112,0,1,0.13+0.13,0.05-0.95,0.11,0.04
210,Gabriel Jesus,Manchester City ,2,179,0,1,0.62+0.62,0.23-0.77,0.31,0.12
211,Luka Milivojevic,Crystal Palace ,2,145,0,0,0.02+0.02,0.00,0.01,0.00
212,Nick Pope,Burnley ,3,270,0,0,0.00,0.00,0.00,0.00
213,Ademola Lookman,Leicester ,1,42,0,0,0.04+0.04,0.00,0.09,0.00
214,Scott McTominay,Manchester United ,3,186,0,0,0.04+0.04,0.73+0.73,0.02,0.35
215,Aaron Wan-Bissaka,Manchester United ,3,270,0,0,0.03+0.03,0.11+0.11,0.01,0.04
216,Daniel James,Leeds ,3,258,0,1,0.88+0.88,0.17-0.83,0.31,0.06
217,Aaron Ramsdale,Arsenal ,3,270,0,0,0.00,0.00,0.00,0.00
218,Yves Bissouma,Brighton ,1,62,0,0,0.02+0.02,0.00,0.03,0.00
219,Anwar El Ghazi,Aston Villa ,2,23,0,0,0.00,0.02+0.02,0.00,0.07
220,Pierre Lees-Melou,Norwich ,2,137,0,0,0.06+0.06,0.03+0.03,0.04,0.02
221,Malang Sarr,Chelsea ,1,90,0,0,0.00,0.00,0.00,0.00
222,Nicolas Pepe,Arsenal ,2,93,0,0,0.19+0.19,0.00,0.19,0.00
223,Ismaila Sarr,Watford ,3,248,0,0,0.38+0.38,0.44+0.44,0.14,0.16
224,Giovani Lo Celso,Tottenham ,2,79,0,0,0.13+0.13,0.51+0.51,0.14,0.58
225,Fernando Marçal,Wolverhampton Wanderers ,1,77,0,0,0.00,0.00,0.00,0.00
226,Jean-Philippe Mateta,Crystal Palace ,1,2,0,0,0.00,0.00,0.00,0.00
227,Jan Bednarek ,Southampton,3,270,0,0,0.06+0.06,0.00,0.02,0.00
228,Charlie Taylor,Burnley ,2,180,0,1,0.04+0.04,0.52-0.48,0.02,0.26
229,Shane Duffy,Brighton ,2,180,0,0,0.09+0.09,0.00,0.04,0.00
230,Lewis Dunk,Brighton ,3,270,0,0,0.03+0.03,0.00,0.01,0.00
231,Solly March,Brighton ,3,201,0,1,0.33+0.33,0.73-0.27,0.15,0.33
232,Ederson,Manchester City ,2,180,0,0,0.00,0.00,0.00,0.00
233,Isaac Hayden,Newcastle United ,3,250,0,0,0.00,0.00,0.00,0.00
234,Jacob Murphy,Newcastle United ,1,5,0,0,0.02+0.02,0.00,0.44,0.00
235,Victor Lindelöf,Manchester United ,3,270,0,1,0.00,0.25-0.75,0.00,0.08
236,Douglas Luiz,Aston Villa ,2,161,0,0,0.02+0.02,0.01+0.01,0.01,0.01
237,Timothy Castagne,Leicester ,3,270,0,0,0.05+0.05,0.04+0.04,0.02,0.01
238,Nélson Semedo,Wolverhampton Wanderers ,3,270,0,0,0.00,0.50+0.50,0.00,0.17
239,Lyanco ,Southampton,1,1,0,0,0.00,0.00,0.00,0.00
240,Andriy Yarmolenko,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
241,Nikola Vlasic,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
242,Boubakary Soumare,Leicester ,3,270,0,0,0.04+0.04,0.00,0.01,0.00
243,Joachim Andersen,Crystal Palace ,3,270,0,0,0.00,0.00,0.00,0.00
244,Ibrahima Konaté,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
245,Jadon Sancho,Manchester United ,1,69,0,0,0.00,0.22+0.22,0.00,0.29
246,Romain Perraud ,Southampton,2,180,0,0,0.03+0.03,0.05+0.05,0.01,0.02
247,Milot Rashica,Norwich ,3,144,0,1,0.55+0.55,0.22-0.78,0.34,0.14
248,Bryan Mbeumo,Brentford ,2,149,0,0,0.31+0.31,0.00,0.19,0.00
249,Trevoh Chalobah,Chelsea ,2,180,0,0,0.00,0.05+0.05,0.00,0.02
250,Joe Willock,Newcastle United ,3,128,0,0,0.00,0.00,0.00,0.00
251,Curtis Jones,Liverpool ,2,153,0,0,0.15+0.15,0.03+0.03,0.09,0.02
252,Rayan Ait Nouri,Wolverhampton Wanderers ,2,174,0,1,0.06+0.06,0.19-0.81,0.03,0.10
253,Harvey Barnes,Leicester ,1,42,0,0,0.78+0.78,0.00,1.68,0.00
254,Ibrahima Diallo ,Southampton,3,188,0,1,0.04+0.04,0.11-0.89,0.02,0.05
255,Dwight McNeil,Burnley ,3,270,0,1,0.14+0.14,0.58-0.42,0.05,0.19
256,Fred,Manchester United ,2,180,0,0,0.01+0.01,0.03+0.03,0.01,0.02
257,Ken Sema,Watford ,1,42,0,0,0.00,0.00,0.00,0.00
258,Kortney Hause,Aston Villa ,1,90,0,0,0.00,0.00,0.00,0.00
259,Edouard Mendy,Chelsea ,3,270,0,0,0.00,0.00,0.00,0.00
260,Stuart Armstrong ,Southampton,3,63,0,0,0.00,0.08+0.08,0.00,0.11
261,Mohamed Elyounoussi ,Southampton,3,252,0,0,0.68+0.68,0.14+0.14,0.24,0.05
262,Mohammed Salisu ,Southampton,3,270,0,0,0.05+0.05,0.09+0.09,0.02,0.03
263,Juan Camilo Hernández,Watford ,3,228,0,1,0.31+0.31,0.33-0.67,0.12,0.13
264,William Troost-Ekong,Watford ,3,270,0,0,0.00,0.00,0.00,0.00
265,Sean Longstaff,Newcastle United ,3,220,0,0,0.01+0.01,0.00,0.00,0.00
266,Christian Nørgaard,Brentford ,3,270,0,1,0.40+0.40,0.68-0.32,0.13,0.23
267,Marc Cucurella,Brighton ,3,249,0,0,0.02+0.02,0.73+0.73,0.01,0.26
268,Mathias Jensen,Brentford ,3,250,0,1,0.00,0.27-0.73,0.00,0.10
269,Sergio Reguilón,Tottenham ,2,175,0,1,0.02+0.02,0.21-0.79,0.01,0.11
270,Oliver Skipp,Tottenham ,3,247,0,0,0.00,0.00,0.00,0.00
271,Cristian Romero,Tottenham ,3,270,0,0,0.00,0.00,0.00,0.00
272,Leander Dendoncker,Wolverhampton Wanderers ,3,181,0,1,0.01+0.01,0.67-0.33,0.01,0.33
273,Diogo Dalot,Manchester United ,1,23,0,0,0.00,0.04+0.04,0.00,0.17
274,Joshua Sargent,Norwich ,3,227,0,0,0.28+0.28,0.08+0.08,0.11,0.03
275,Ben White,Arsenal ,3,270,0,0,0.09+0.09,0.45+0.45,0.03,0.15
276,Bukayo Saka,Arsenal ,3,226,0,1,0.88+0.88,0.62-0.38,0.35,0.25
277,Bryan Gil Salvatierra,Tottenham ,1,5,0,0,0.00,0.00,0.00,0.00
278,Ozan Kabak,Norwich ,3,270,0,0,0.07+0.07,0.00,0.02,0.00
279,Dan Burn,Brighton ,2,149,0,0,0.00,0.00,0.00,0.00
280,Miguel Almirón,Newcastle United ,2,42,0,0,0.01+0.01,0.01+0.01,0.02,0.03
281,Emerson,Tottenham ,3,270,0,0,0.00,0.05+0.05,0.00,0.02
282,Mathias Normann,Norwich ,3,266,0,0,0.16+0.16,0.05+0.05,0.05,0.02
283,Marc Guehi,Crystal Palace ,3,270,0,0,0.10+0.10,0.00,0.03,0.00
284,Max Aarons,Norwich ,3,270,0,0,0.07+0.07,0.49+0.49,0.02,0.16
285,Ben Godfrey,Everton ,3,270,0,0,0.22+0.22,0.01+0.01,0.07,0.00
286,Grant Hanley,Norwich ,3,269,0,0,0.04+0.04,0.07+0.07,0.01,0.02
287,Kenny McLean,Norwich ,3,270,0,0,0.08+0.08,0.00,0.03,0.00
288,Teemu Pukki,Norwich ,3,270,0,0,0.65+0.65,0.24+0.24,0.22,0.08
289,Moussa Djenepo ,Southampton,1,59,0,0,0.09+0.09,0.15+0.15,0.13,0.23
290,Ezri Konsa Ngoyo,Aston Villa ,3,232,0,0,0.06+0.06,0.00,0.02,0.00
291,Gabriel Martinelli,Arsenal ,2,7,0,0,0.45+0.45,0.00,5.80,0.00
292,Zack Steffen,Manchester City ,1,90,0,0,0.00,0.00,0.00,0.00
293,Caoimhin Kelleher,Liverpool ,1,90,0,0,0.00,0.00,0.00,0.00
