,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90,games back,date data gathered
298,Kieran Tierney,Arsenal ,2,180,0,0,0.05+0.05,0.02+0.02,0.02,0.01,2,02/10/2021 
299,Anthony Gordon,Everton ,3,147,0,0,0.33+0.33,0.32+0.32,0.20,0.20,2,02/10/2021 
300,Neco Williams,Liverpool ,1,6,0,1,0.00,0.60-0.40,0.00,8.94,2,02/10/2021 
301,Tyrick Mitchell,Crystal Palace ,3,270,0,1,0.00,0.61-0.39,0.00,0.20,2,02/10/2021 
302,Tariq Lamptey,Brighton ,2,59,0,0,0.04+0.04,0.01+0.01,0.06,0.02,2,02/10/2021 
303,Jeremy Ngakia,Watford ,2,113,0,0,0.00,0.10+0.10,0.00,0.08,2,02/10/2021 
304,João Pedro,Watford ,3,71,0,1,0.09+0.09,0.45-0.55,0.12,0.57,2,02/10/2021 
305,Tomas Soucek,West Ham ,3,260,0,1,0.65+0.65,0.33-0.67,0.22,0.11,2,02/10/2021 
306,Daniel Podence,Wolverhampton Wanderers ,2,26,0,1,0.10+0.10,0.74-0.26,0.36,2.56,2,02/10/2021 
307,Steven Bergwijn,Tottenham ,1,1,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
308,Josh Brownhill,Burnley ,3,270,0,0,0.09+0.09,0.23+0.23,0.03,0.08,2,02/10/2021 
309,Ki-Jana Hoever,Wolverhampton Wanderers ,1,6,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
310,Nathan Tella ,Southampton,2,77,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
311,Cole Palmer,Manchester City ,1,1,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
312,Illan Meslier,Leeds ,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
313,Pascal Struijk,Leeds ,3,181,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
314,Stuart Dallas,Leeds ,3,260,0,0,0.37+0.37,0.12+0.12,0.13,0.04,2,02/10/2021 
315,Kalvin Phillips,Leeds ,1,90,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
316,Jack Harrison,Leeds ,2,137,0,0,0.13+0.13,0.02+0.02,0.08,0.01,2,02/10/2021 
317,Jamie Shackleton,Leeds ,3,270,0,0,0.02+0.02,0.00,0.01,0.00,2,02/10/2021 
318,Fabio Silva,Wolverhampton Wanderers ,1,13,0,0,0.00,0.34+0.34,0.00,2.33,2,02/10/2021 
319,Joël Veltman,Brighton ,3,242,0,0,0.00,0.09+0.09,0.00,0.03,2,02/10/2021 
320,Liam Cooper,Leeds ,3,270,0,0,0.09+0.09,0.00,0.03,0.00,2,02/10/2021 
321,Konstantinos Tsimikas,Liverpool ,1,25,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
322,Matthew Cash,Aston Villa ,3,262,0,0,0.23+0.23,0.73+0.73,0.08,0.25,2,02/10/2021 
323,Trincão,Wolverhampton Wanderers ,1,89,0,0,0.68+0.68,0.00,0.69,0.00,2,02/10/2021 
324,Rúben Dias,Manchester City ,3,194,0,0,0.10+0.10,0.00,0.05,0.00,2,02/10/2021 
325,Vladimir Coufal,West Ham ,1,90,0,0,0.15+0.15,0.45+0.45,0.15,0.45,2,02/10/2021 
326,Hakim Ziyech,Chelsea ,1,19,0,0,0.09+0.09,0.02+0.02,0.44,0.12,2,02/10/2021 
327,Conor Gallagher,Crystal Palace ,3,251,0,0,0.34+0.34,0.25+0.25,0.12,0.09,2,02/10/2021 
328,Robert Sánchez,Brighton ,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
329,Jakub Moder,Brighton ,3,256,0,0,0.31+0.31,0.17+0.17,0.11,0.06,2,02/10/2021 
330,Joe Gelhardt,Leeds ,2,39,0,0,0.43+0.43,0.03+0.03,0.98,0.06,2,02/10/2021 
331,Crysencio Summerville,Leeds ,2,44,0,0,0.04+0.04,0.00,0.07,0.00,2,02/10/2021 
332,David Raya,Brentford ,3,270,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
333,Kristoffer Ajer,Brentford ,1,42,0,0,0.07+0.07,0.00,0.14,0.00,2,02/10/2021 
334,Ethan Pinnock,Brentford ,3,228,0,0,0.07+0.07,0.83+0.83,0.03,0.33,2,02/10/2021 
335,Rico Henry,Brentford ,3,270,0,0,0.03+0.03,0.13+0.13,0.01,0.04,2,02/10/2021 
336,Frank Onyeka,Brentford ,3,235,0,0,0.05+0.05,0.05+0.05,0.02,0.02,2,02/10/2021 
337,Mads Bidstrup,Brentford ,1,3,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
338,Marcus Forss,Brentford ,2,51,0,0,0.11+0.11,0.00,0.20,0.00,2,02/10/2021 
339,Albert Sambi Lokonga,Arsenal ,3,210,0,0,0.15+0.15,0.13+0.13,0.06,0.06,2,02/10/2021 
340,Nuno Tavares,Arsenal ,1,90,0,0,0.12+0.12,0.55+0.55,0.12,0.55,2,02/10/2021 
341,Nathan Collins,Burnley ,3,270,0,0,0.02+0.02,0.55+0.55,0.01,0.18,2,02/10/2021 
342,Enock Mwepu,Brighton ,1,30,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
343,José Sá,Wolverhampton Wanderers ,3,270,0,0,0.00,0.06+0.06,0.00,0.02,2,02/10/2021 
344,Dimitris Giannoulis,Norwich ,3,227,0,0,0.04+0.04,0.19+0.19,0.01,0.07,2,02/10/2021 
345,Andrew Omobamidele,Norwich ,1,20,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
346,Cameron Archer,Aston Villa ,1,1,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
347,Shandon Baptiste,Brentford ,1,28,0,0,0.09+0.09,0.00,0.28,0.00,2,02/10/2021 
348,Ozan Tufan,Watford ,2,129,0,0,0.06+0.06,0.00,0.04,0.00,2,02/10/2021 
349,Lewis Dobbin,Everton ,1,1,0,0,0.00,0.00,0.00,0.00,2,02/10/2021 
