,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
132,Havertz,7.8,47,MID,3.4,CHE,6.03,havertz
422,Zouma,5.4,32,DEF,2.9,WHU,5.93,zouma
240,Thiago,5.3,31,MID,2.8,LIV,5.85,thiago
88,Mac Allister,5.3,31,MID,2.6,BHA,5.85,mac allister
72,Lallana,5.3,31,MID,2.1,BHA,5.85,lallana
44,Ings,7.7,45,FWD,3.5,AVL,5.84,ings
418,Cucho,5.0,29,FWD,2.4,WAT,5.80,cucho
350,Normann,4.5,26,MID,2.9,NOR,5.78,normann
215,Klich,5.2,30,MID,2.3,LEE,5.77,klich
164,Coleman,4.9,28,DEF,2.2,EVE,5.71,coleman
65,Onyeka,4.9,28,MID,1.9,BRE,5.71,onyeka
329,Gilmour,4.4,25,MID,2.3,NOR,5.68,gilmour
208,Soumaré,4.8,27,MID,2.1,LEI,5.62,soumare
74,Groß,5.7,32,MID,2.7,BHA,5.61,groß
125,Loftus-Cheek,5.4,30,MID,2.5,CHE,5.56,loftus-cheek
171,Iwobi,5.8,32,MID,2.5,EVE,5.52,iwobi
430,Lanzini,5.8,32,MID,2.7,WHU,5.52,lanzini
299,Wan-Bissaka,5.1,28,DEF,2.2,MUN,5.49,wan-bissaka
304,Varane,5.5,30,DEF,4.3,MUN,5.45,varane
66,Ajer,4.4,24,DEF,3.4,BRE,5.45,ajer
344,Gibson,4.4,24,DEF,1.7,NOR,5.45,gibson
305,Ronaldo,12.5,68,FWD,4.9,MUN,5.44,ronaldo
203,Ndidi,4.8,26,MID,2.2,LEI,5.42,ndidi
165,Digne,5.0,27,DEF,2.1,EVE,5.40,digne
103,Gudmundsson,5.4,29,MID,1.9,BUR,5.37,gudmundsson
323,Almirón,5.1,27,MID,1.7,NEW,5.29,almiron
277,Zinchenko,5.3,28,DEF,4.0,MCI,5.28,zinchenko
177,Richarlison,7.4,39,FWD,3.5,EVE,5.27,richarlison
76,Burn,4.4,23,DEF,2.9,BHA,5.23,burn
176,Godfrey,4.8,25,DEF,1.8,EVE,5.21,godfrey
220,Phillips,4.8,25,MID,2.1,LEE,5.21,phillips
281,Fernandinho,4.8,25,MID,2.3,MCI,5.21,fernandinho
290,Shaw,5.0,26,DEF,2.2,MUN,5.20,shaw
227,Harrison,5.6,29,MID,1.9,LEE,5.18,harrison
3,Lacazette,8.5,44,FWD,3.1,ARS,5.18,lacazette
70,Fernández,4.5,23,GKP,2.9,BRE,5.11,fernandez
271,Aké,4.7,24,DEF,4.0,MCI,5.11,ake
182,Gordon,4.5,23,MID,1.6,EVE,5.11,gordon
78,March,5.3,27,MID,1.9,BHA,5.09,march
306,Willock,5.7,29,MID,1.8,NEW,5.09,willock
455,Trincão,5.6,28,MID,2.0,WOL,5.00,trincao
431,Masuaku,4.4,22,DEF,3.1,WHU,5.00,masuaku
447,Dendoncker,4.8,24,MID,1.7,WOL,5.00,dendoncker
298,McTominay,5.4,27,MID,1.8,MUN,5.00,mctominay
345,Giannoulis,4.4,22,DEF,2.4,NOR,5.00,giannoulis
79,Webster,4.4,22,DEF,2.4,BHA,5.00,webster
205,Thomas,4.3,21,DEF,2.3,LEI,4.88,thomas
347,Sargent,5.4,26,FWD,1.6,NOR,4.81,sargent
343,Rashica,5.2,25,MID,1.9,NOR,4.81,rashica
20,Sambi Lokonga,4.8,23,MID,1.8,ARS,4.79,sambi lokonga
346,Lees-Melou,4.8,23,MID,1.8,NOR,4.79,lees-melou
265,De Bruyne,11.9,57,MID,4.4,MCI,4.79,de bruyne
315,Lascelles,4.4,21,DEF,1.4,NEW,4.77,lascelles
287,Pogba,7.4,35,MID,3.9,MUN,4.73,pogba
451,Podence,5.5,26,MID,2.2,WOL,4.73,podence
314,Fraser,5.3,25,MID,1.8,NEW,4.72,fraser
216,Rodrigo,6.2,29,FWD,2.4,LEE,4.68,rodrigo
211,Lookman,6.0,28,MID,2.5,LEI,4.67,lookman
242,Firmino,8.7,40,FWD,4.0,LIV,4.60,firmino
402,Cleverley,4.8,22,MID,1.8,WAT,4.58,cleverley
1,Aubameyang,9.6,44,FWD,3.1,ARS,4.58,aubameyang
419,Kucka,5.5,25,MID,1.9,WAT,4.55,kucka
286,Matic,4.4,20,MID,2.2,MUN,4.55,matic
307,Shelvey,5.3,24,MID,2.2,NEW,4.53,shelvey
68,Baptiste,4.9,22,MID,2.0,BRE,4.49,baptiste
57,Jensen,4.9,22,MID,2.0,BRE,4.49,jensen
156,Olise,5.4,24,MID,2.0,CRY,4.44,olise
310,Darlow,4.5,20,GKP,2.5,NEW,4.44,darlow
364,Diallo,4.5,20,MID,1.7,SOU,4.44,diallo
214,Ayling,4.3,19,DEF,2.1,LEE,4.42,ayling
106,Vydra,5.2,23,FWD,1.8,BUR,4.42,vydra
91,Mwepu,5.9,26,MID,2.9,BHA,4.41,mwepu
45,Bailey,6.3,27,MID,3.0,AVL,4.29,bailey
237,Milner,4.9,21,MID,1.9,LIV,4.29,milner
148,Schlupp,5.4,23,MID,1.8,CRY,4.26,schlupp
257,Jones,5.0,21,MID,4.2,LIV,4.20,jones
320,Schär,4.3,18,DEF,2.0,NEW,4.19,schar
196,Castagne,5.3,22,DEF,1.5,LEI,4.15,castagne
241,Chamberlain,5.8,24,MID,2.0,LIV,4.14,chamberlain
256,Konaté,5.1,21,DEF,3.5,LIV,4.12,konate
330,Williams,3.9,16,DEF,1.3,NOR,4.10,williams
194,Pereira,5.2,21,DEF,2.6,LEI,4.04,pereira
302,Dalot,4.5,18,DEF,2.2,MUN,4.00,dalot
232,Forshaw,4.5,18,MID,1.8,LEE,4.00,forshaw
124,Ziyech,7.3,29,MID,2.9,CHE,3.97,ziyech
401,Cathcart,4.3,17,DEF,1.2,WAT,3.95,cathcart
207,Daka,7.1,28,FWD,4.0,LEI,3.94,daka
137,Lukaku,11.5,45,FWD,3.8,CHE,3.91,lukaku
235,Gelhardt,4.6,18,FWD,3.0,LEE,3.91,gelhardt
414,João Pedro,5.4,21,FWD,1.9,WAT,3.89,joao pedro
280,Torres,6.7,26,MID,6.5,MCI,3.88,torres
393,Ndombele,5.7,22,MID,2.4,TOT,3.86,ndombele
311,Dubravka,4.4,17,GKP,2.4,NEW,3.86,dubravka
30,Hause,4.4,17,DEF,4.2,AVL,3.86,hause
406,Bachmann,4.2,16,GKP,2.0,WAT,3.81,bachmann
367,Perraud,4.8,18,DEF,2.6,SOU,3.75,perraud
69,Wissa,5.9,22,MID,2.4,BRE,3.73,wissa
403,Femenía,4.3,16,DEF,1.6,WAT,3.72,femenia
141,Tomkins,4.3,16,DEF,2.3,CRY,3.72,tomkins
376,Kane,12.1,45,FWD,3.0,TOT,3.72,kane
381,Dele,6.2,23,MID,2.6,TOT,3.71,dele
308,Ritchie,4.9,18,DEF,1.1,NEW,3.67,ritchie
224,Shackleton,4.4,16,MID,1.5,LEE,3.64,shackleton
349,Kabak,4.4,16,DEF,1.8,NOR,3.64,kabak
12,Pépé,6.9,25,MID,2.8,ARS,3.62,pepe
301,Sancho,8.9,32,MID,2.3,MUN,3.60,sancho
294,Telles,5.0,18,DEF,3.0,MUN,3.60,telles
342,Omobamidele,3.9,14,DEF,2.8,NOR,3.59,omobamidele
56,Ghoddos,5.3,19,MID,2.1,BRE,3.58,ghoddos
35,El Ghazi,5.6,20,MID,2.2,AVL,3.57,el ghazi
34,Nakamba,4.5,16,MID,1.3,AVL,3.56,nakamba
4,Xhaka,4.8,17,MID,1.9,ARS,3.54,xhaka
191,Evans,5.4,19,DEF,1.9,LEI,3.52,evans
185,Rondón,6.0,21,FWD,1.9,EVE,3.50,rondon
405,Troost-Ekong,4.3,15,DEF,1.0,WAT,3.49,troost-ekong
111,Collins,4.3,15,DEF,3.0,BUR,3.49,collins
387,Bergwijn,5.9,20,MID,2.5,TOT,3.39,bergwijn
129,Pulisic,7.9,26,MID,2.9,CHE,3.29,pulisic
218,Bamford,7.7,25,FWD,4.2,LEE,3.25,bamford
295,Rashford,9.4,30,MID,3.0,MUN,3.19,rashford
43,Tuanzebe,4.4,14,DEF,1.6,AVL,3.18,tuanzebe
333,Rupp,4.4,14,MID,1.4,NOR,3.18,rupp
192,Albrighton,5.2,16,MID,2.3,LEI,3.08,albrighton
98,Cork,4.4,13,MID,2.2,BUR,2.95,cork
309,Clark,4.4,13,DEF,1.1,NEW,2.95,clark
249,Origi,4.8,14,FWD,4.7,LIV,2.92,origi
174,Calvert-Lewin,7.9,23,FWD,7.7,EVE,2.91,calvert-lewin
195,Amartey,3.8,11,DEF,1.2,LEI,2.89,amartey
453,Hoever,3.9,11,DEF,1.8,WOL,2.82,hoever
291,Lingard,6.8,19,MID,2.4,MUN,2.79,lingard
362,Tella,4.7,13,MID,1.6,SOU,2.77,tella
99,Rodriguez,5.2,14,FWD,1.2,BUR,2.69,rodriguez
71,Zanka,4.5,12,DEF,1.7,BRE,2.67,zanka
395,Romero,4.9,13,DEF,1.9,TOT,2.65,romero
172,Mina,4.9,13,DEF,1.9,EVE,2.65,mina
341,Idah,4.9,13,FWD,1.1,NOR,2.65,idah
58,Goode,3.9,10,DEF,1.7,BRE,2.56,goode
127,Werner,8.6,22,FWD,2.4,CHE,2.56,werner
327,Fernández,4.3,11,DEF,1.6,NEW,2.56,fernandez
412,Ngakia,4.3,11,DEF,1.1,WAT,2.56,ngakia
318,Krafth,4.3,11,DEF,1.6,NEW,2.56,krafth
155,Hughes,4.7,12,MID,3.0,CRY,2.55,hughes
336,Dowell,5.1,13,MID,1.6,NOR,2.55,dowell
90,Welbeck,5.9,15,FWD,3.0,BHA,2.54,welbeck
210,Dewsbury-Hall,4.4,11,MID,1.4,LEI,2.50,dewsbury-hall
175,Holgate,4.2,10,DEF,1.4,EVE,2.38,holgate
326,Lewis,4.2,10,DEF,2.0,NEW,2.38,lewis
407,Masina,4.3,10,DEF,1.1,WAT,2.33,masina
8,Maitland-Niles,5.2,12,MID,1.5,ARS,2.31,maitland-niles
173,Davies,4.8,11,MID,2.2,EVE,2.29,davies
296,van de Beek,5.7,13,MID,1.9,MUN,2.28,van de beek
356,Stephens,4.4,10,DEF,1.7,SOU,2.27,stephens
384,Winks,4.4,10,MID,2.0,TOT,2.27,winks
7,Elneny,4.4,10,MID,1.7,ARS,2.27,elneny
145,Milivojevic,5.3,12,MID,1.7,CRY,2.26,milivojevic
184,Branthwaite,4.0,9,DEF,9.0,EVE,2.25,branthwaite
198,Pérez,5.7,12,MID,1.7,LEI,2.11,perez
438,Diop,4.3,9,DEF,2.2,WHU,2.09,diop
225,Struijk,4.3,9,DEF,0.8,LEE,2.09,struijk
328,Woodman,4.4,9,GKP,2.2,NEW,2.05,woodman
169,André Gomes,4.9,10,MID,1.7,EVE,2.04,andre gomes
284,Cavani,8.4,17,FWD,2.8,MUN,2.02,cavani
47,Chukwuemeka,4.5,9,MID,1.8,AVL,2.00,chukwuemeka
282,Palmer,4.5,9,MID,2.2,MCI,2.00,palmer
269,Cancelo,6.9,113,DEF,6.3,MCI,16.38,cancelo
457,Sá,5.1,83,GKP,4.6,WOL,16.27,sa
23,Ramsdale,5.2,83,GKP,5.2,ARS,15.96,ramsdale
443,Coady,4.5,71,DEF,3.9,WOL,15.78,coady
