Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team
127,Rüdiger,rudiger,9.4,10.8,19.0,3.9,Chelsea
436,Neves,neves,17.2,3.6,18.0,3.9,Wolves
179,Godfrey,godfrey,7.4,12.1,18.0,3.8,Everton
323,Dowell,dowell,9.8,26.2,1.0,3.7,Norwich
86,Jensen,jensen,9.0,25.7,2.0,3.7,Brentford
379,Cathcart,cathcart,36.6,0.5,0.0,3.7,Watford
390,Masina,masina,21.4,15.0,1.0,3.7,Watford
275,Shaw,shaw,17.6,17.1,2.0,3.7,Man Utd
237,Alexander-Arnold,alexander-arnold,16.2,15.8,5.0,3.7,Liverpool
354,Sissoko,sissoko,23.6,12.1,0.0,3.6,Watford
558,Ødegaard,ødegaard,10.0,22.0,4.0,3.6,Arsenal
148,McArthur,mcarthur,21.0,12.6,1.0,3.5,Crystal Palace
133,Christensen,christensen,17.0,18.4,0.0,3.5,Chelsea
416,Lanzini,lanzini,16.4,13.3,5.0,3.5,West Ham
271,Matic,matic,20.8,13.3,0.0,3.4,Man Utd
326,Aarons,aarons,8.6,4.8,20.0,3.3,Norwich
357,Kane,kane,5.2,3.9,24.0,3.3,Spurs
399,Sarr,sarr,5.2,5.0,23.0,3.3,Watford
43,Buendía,buendia,19.0,12.1,2.0,3.3,Aston Villa
52,Young,young,14.8,16.2,2.0,3.3,Aston Villa
30,Martínez,martinez,31.8,0.0,0.0,3.2,Aston Villa
98,Tarkowski,tarkowski,24.4,0.3,7.0,3.2,Burnley
219,Thomas,thomas,8.4,14.8,8.0,3.1,Leicester
35,McGinn,mcginn,6.8,15.3,9.0,3.1,Aston Villa
587,Lookman,lookman,7.8,2.8,19.0,3.0,Leicester
251,De Bruyne,de bruyne,2.0,3.8,24.0,3.0,Man City
581,Normann,normann,14.0,14.0,2.0,3.0,Norwich
437,Semedo,semedo,12.2,13.4,4.0,3.0,Wolves
234,Robertson,robertson,11.8,12.6,6.0,3.0,Liverpool
552,Forshaw,forshaw,8.8,20.5,0.0,2.9,Leeds
231,Alisson,alisson,28.6,0.0,0.0,2.9,Liverpool
474,Ward,ward,28.6,0.5,0.0,2.9,Crystal Palace
121,Thiago Silva,thiago silva,24.0,5.2,0.0,2.9,Chelsea
464,Olise,olise,16.4,10.6,2.0,2.9,Crystal Palace
426,Moutinho,moutinho,14.8,14.2,0.0,2.9,Wolves
292,Ritchie,ritchie,11.0,18.3,0.0,2.9,Newcastle
466,Tavares,tavares,7.8,1.9,18.0,2.8,Arsenal
262,Dias,dias,22.8,3.3,2.0,2.8,Man City
319,Hanley,hanley,14.8,13.2,0.0,2.8,Norwich
130,Kanté,kante,7.6,7.8,12.0,2.7,Chelsea
132,Loftus-Cheek,loftus-cheek,5.8,3.4,18.0,2.7,Chelsea
475,Sá,sa,27.2,0.0,0.0,2.7,Wolves
56,Duffy,duffy,22.4,0.4,4.0,2.7,Brighton
285,McTominay,mctominay,16.0,2.5,8.0,2.7,Man Utd
115,Brownhill,brownhill,15.0,12.3,0.0,2.7,Burnley
261,Bernardo,bernardo,5.0,7.0,14.0,2.6,Man City
200,Schmeichel,schmeichel,26.2,0.0,0.0,2.6,Leicester
59,Dunk,dunk,23.8,0.4,2.0,2.6,Brighton
36,Hause,hause,21.6,0.3,4.0,2.6,Aston Villa
190,Llorente,llorente,21.4,0.3,4.0,2.6,Leeds
217,Söyüncü,soyuncu,20.6,3.0,2.0,2.6,Leicester
70,Bissouma,bissouma,15.0,1.3,9.0,2.5,Brighton
307,Saint-Maximin,saint-maximin,3.2,2.3,18.0,2.4,Newcastle
351,Salisu,salisu,22.2,1.6,0.0,2.4,Southampton
106,Mee,mee,17.6,0.3,6.0,2.4,Burnley
299,Lascelles,lascelles,17.4,0.3,6.0,2.4,Newcastle
88,Forss,forss,1.8,0.3,22.0,2.4,Brentford
431,Saïss,saiss,20.2,3.0,0.0,2.3,Wolves
243,Konaté,konate,18.0,1.0,4.0,2.3,Liverpool
365,Højbjerg,højbjerg,15.2,5.3,2.0,2.3,Spurs
255,Sterling,sterling,3.0,14.8,4.0,2.2,Man City
146,Guaita,guaita,22.4,0.0,0.0,2.2,Crystal Palace
198,Struijk,struijk,22.0,0.3,0.0,2.2,Leeds
491,Livramento,livramento,14.2,2.0,6.0,2.2,Southampton
15,Partey,partey,10.8,1.9,9.0,2.2,Arsenal
583,Hwang,hwang,10.0,4.2,8.0,2.2,Wolves
309,S.Longstaff,s.longstaff,9.8,1.0,10.0,2.1,Newcastle
381,Cleverley,cleverley,5.6,15.4,0.0,2.1,Watford
590,Tomiyasu,tomiyasu,17.4,1.5,2.0,2.1,Arsenal
361,Dier,dier,14.4,0.7,6.0,2.1,Spurs
163,Delph,delph,8.4,3.8,8.0,2.0,Everton
395,Fletcher,fletcher,3.0,0.0,17.0,2.0,Watford
334,McCarthy,mccarthy,20.2,0.0,0.0,2.0,Southampton
273,Maguire,maguire,18.6,1.8,0.0,2.0,Man Utd
178,Holgate,holgate,15.4,0.4,4.0,2.0,Everton
477,Guéhi,guehi,15.4,0.3,4.0,2.0,Crystal Palace
420,Bowen,bowen,51.2,25.8,115.0,19.2,West Ham
142,James,james,84.4,43.9,53.0,18.1,Chelsea
144,Gallagher,gallagher,76.8,49.5,34.0,16.0,Crystal Palace
196,Raphinha,raphinha,50.2,41.5,61.0,15.3,Leeds
421,Rice,rice,73.4,25.2,48.0,14.7,West Ham
579,Ronaldo,ronaldo,53.8,29.0,37.0,12.0,Man Utd
230,Mané,mane,45.0,24.9,49.0,11.9,Liverpool
210,Tielemans,tielemans,28.8,71.8,18.0,11.9,Leicester
215,Barnes,barnes,10.4,5.9,100.0,11.6,Leicester
109,Wood,wood,33.2,3.6,76.0,11.3,Burnley
64,Trossard,trossard,42.0,26.3,43.0,11.1,Brighton
33,Grealish,grealish,10.2,56.6,42.0,10.9,Man City
110,Lowton,lowton,57.6,15.7,34.0,10.7,Burnley
423,Fornals,fornals,38.2,26.8,41.0,10.6,West Ham
233,Salah,salah,27.6,25.1,51.0,10.4,Liverpool
55,Groß,groß,4.4,14.6,0.0,1.9,Brighton
408,Fabianski,fabianski,18.6,0.0,0.0,1.9,West Ham
162,Mitchell,mitchell,17.8,1.1,0.0,1.9,Crystal Palace
244,Jones,jones,8.6,5.6,4.0,1.8,Liverpool
556,Fernández,fernandez,18.2,0.0,0.0,1.8,Brentford
284,Lindelöf,lindelof,17.2,0.7,0.0,1.8,Man Utd
494,Romero,romero,16.0,0.4,2.0,1.8,Spurs
213,Iheanacho,iheanacho,6.0,3.8,7.0,1.7,Leicester
240,Jota,jota,4.2,10.8,2.0,1.7,Liverpool
306,Hayden,hayden,16.6,0.6,0.0,1.7,Newcastle
91,Pinnock,pinnock,16.4,1.0,0.0,1.7,Brentford
62,Veltman,veltman,15.6,1.0,0.0,1.7,Brighton
76,Jansson,jansson,15.2,0.1,2.0,1.7,Brentford
112,Pope,pope,15.8,0.0,0.0,1.6,Burnley
555,Varane,varane,15.6,0.3,0.0,1.6,Man Utd
314,Krul,krul,15.4,0.1,0.0,1.6,Norwich
594,Zanka,zanka,12.0,2.0,2.0,1.6,Brentford
580,Kabak,kabak,11.8,0.4,4.0,1.6,Norwich
495,Kucka,kucka,0.2,3.7,12.0,1.6,Watford
153,Ayew,ayew,0.0,10.8,6.0,1.6,Crystal Palace
478,Sambi Lokonga,sambi lokonga,5.2,2.1,8.0,1.5,Arsenal
404,João Pedro,joao pedro,3.2,11.5,0.0,1.5,Watford
170,Pickford,pickford,14.8,0.0,0.0,1.5,Everton
488,Andersen,andersen,14.6,0.0,0.0,1.5,Crystal Palace
229,van Dijk,van dijk,13.8,1.4,0.0,1.5,Liverpool
197,Shackleton,shackleton,12.2,0.6,2.0,1.5,Leeds
249,Walker,walker,8.2,4.2,2.0,1.4,Man City
199,Meslier,meslier,14.4,0.0,0.0,1.4,Leeds
387,Troost-Ekong,troost-ekong,14.0,0.2,0.0,1.4,Watford
409,Ogbonna,ogbonna,13.4,0.3,0.0,1.4,West Ham
171,Allan,allan,9.6,3.2,0.0,1.3,Everton
83,Henry,henry,5.0,5.5,2.0,1.3,Brentford
44,Cash,cash,4.4,0.9,8.0,1.3,Aston Villa
472,Cucho,cucho,4.4,2.0,7.0,1.3,Watford
291,Shelvey,shelvey,2.4,10.4,0.0,1.3,Newcastle
42,El Ghazi,el ghazi,2.0,10.5,0.0,1.3,Aston Villa
184,Cooper,cooper,12.8,0.0,0.0,1.3,Leeds
150,Kouyaté,kouyate,12.6,0.3,0.0,1.3,Crystal Palace
41,Nakamba,nakamba,9.8,2.6,0.0,1.2,Aston Villa
84,Janelt,janelt,3.8,0.9,7.0,1.2,Brentford
257,Ederson,ederson,11.8,0.0,0.0,1.2,Man City
69,Sánchez,sanchez,11.6,0.0,0.0,1.2,Brighton
128,Zouma,zouma,11.4,0.7,0.0,1.2,West Ham
6,Lacazette,lacazette,1.2,3.2,8.0,1.2,Arsenal
479,Onyeka,onyeka,1.0,3.4,8.0,1.2,Brentford
364,Davies,davies,0.0,3.1,9.0,1.2,Spurs
303,Krafth,krafth,10.0,0.9,0.0,1.1,Newcastle
124,Barkley,barkley,1.8,8.9,0.0,1.1,Chelsea
193,Roberts,roberts,0.2,10.3,0.0,1.1,Leeds
294,Darlow,darlow,9.6,0.0,0.0,1.0,Newcastle
400,Ngakia,ngakia,8.6,1.8,0.0,1.0,Watford
208,Amartey,amartey,7.2,3.1,0.0,1.0,Leicester
458,Soumaré,soumare,6.8,3.3,0.0,1.0,Leicester
143,Mendy,mendy,10.2,0.0,0.0,1.0,Chelsea
149,Benteke,benteke,1.2,0.5,8.0,1.0,Crystal Palace
67,White,white,8.8,0.3,0.0,0.9,Arsenal
252,Stones,stones,7.8,0.7,0.0,0.9,Man City
45,Konsa,konsa,5.2,0.1,4.0,0.9,Aston Villa
516,Sargent,sargent,4.6,4.1,0.0,0.9,Norwich
89,Roerslev,roerslev,4.2,4.8,0.0,0.9,Brentford
