,Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team,Goals scored,Assists,Goals and Assists,Unnamed: 0,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90,Total points,Costs,PPG,Positions,Points per mil
131,128,Zouma,zouma,21.2,0.4,2.0,2.4,West Ham,0,0,0,158,Kurt Zouma,West Ham ,4,360,0,0,0.07,0.00,0.02,0.0,11.0,5.4,2.8,DEF,2.04
132,119,Azpilicueta,azpilicueta,15.8,4.1,4.0,2.4,Chelsea,0,3,3,121,César Azpilicueta,Chelsea ,4,360,0,1,0.47,1.30,0.12,0.32,42.0,6.2,5.2,DEF,6.77
133,193,Roberts,roberts,5.2,12.7,5.0,2.3,Leeds,0,0,0,163,Tyler Roberts,Leeds ,4,134,0,0,0.13,0.24,0.09,0.16,7.0,4.9,0.9,MID,1.43
134,260,Steffen,steffen,23.0,0.0,0.0,2.3,Man City,0,0,0,308,Zack Steffen,Manchester City ,1,90,0,0,0.00,0.00,0.0,0.0,7.0,4.5,7.0,GKP,1.56
135,376,Foster,foster,22.6,0.0,0.0,2.3,Watford,0,0,0,142,Ben Foster,Watford ,4,360,0,0,0.00,0.00,0.0,0.0,9.0,4.0,2.2,GKP,2.25
136,387,Troost-Ekong,troost-ekong,22.2,0.4,0.0,2.3,Watford,0,0,0,276,William Troost-Ekong,Watford ,4,360,0,0,0.01,0.07,0.0,0.02,10.0,4.5,1.2,DEF,2.22
137,404,João Pedro,joao pedro,3.0,10.6,8.0,2.2,Watford,0,0,0,325,João Pedro,Watford ,3,71,0,0,0.02,0.10,0.03,0.12,3.0,5.4,1.0,FWD,0.56
138,199,Meslier,meslier,22.4,0.0,0.0,2.2,Leeds,0,0,0,333,Illan Meslier,Leeds ,4,360,0,0,0.00,0.00,0.0,0.0,22.0,5.0,2.8,GKP,4.4
139,314,Krul,krul,22.4,0.0,0.0,2.2,Norwich,0,0,0,160,Tim Krul,Norwich ,4,360,0,0,0.00,0.00,0.0,0.0,25.0,4.5,3.1,GKP,5.56
140,188,Dallas,dallas,19.6,1.9,0.0,2.2,Leeds,0,1,1,336,Stuart Dallas,Leeds ,4,350,0,0,0.51,0.19,0.13,0.05,20.0,5.2,2.5,MID,3.85
141,259,Laporte,laporte,15.8,2.4,4.0,2.2,Man City,1,0,1,205,Aymeric Laporte,Manchester City ,3,256,0,0,0.50,0.00,0.17,0.0,36.0,5.5,6.0,DEF,6.55
142,23,Gabriel,gabriel,13.8,2.3,6.0,2.2,Arsenal,0,0,0,229,Gabriel,Arsenal ,4,360,0,0,0.14,0.04,0.04,0.01,24.0,5.0,4.8,DEF,4.8
143,23,Gabriel,gabriel,13.8,2.3,6.0,2.2,Arsenal,0,0,0,306,Gabriel Martinelli,Arsenal ,1,6,0,0,0.45,0.00,6.77,0.0,24.0,5.0,4.8,DEF,4.8
144,326,Aarons,aarons,6.0,14.6,0.0,2.1,Norwich,0,0,0,297,Max Aarons,Norwich ,4,360,0,0,0.06,0.59,0.02,0.15,18.0,4.4,2.2,DEF,4.09
145,60,March,march,5.6,11.5,4.0,2.1,Brighton,0,0,0,241,Solly March,Brighton ,3,90,0,0,0.14,0.75,0.14,0.75,9.0,5.3,1.5,MID,1.7
146,190,Llorente,llorente,17.0,3.7,0.0,2.1,Leeds,1,0,1,38,Diego Llorente,Leeds ,2,180,1,0,0.54,0.00,0.27,0.0,18.0,4.5,4.5,DEF,4.0
147,411,Cresswell,cresswell,16.0,4.9,0.0,2.1,West Ham,1,1,2,96,Aaron Cresswell,West Ham ,4,360,0,0,0.07,0.37,0.02,0.09,33.0,5.5,4.1,DEF,6.0
148,307,Saint-Maximin,saint-maximin,6.0,11.9,2.0,2.0,Newcastle,2,3,5,16,Allan Saint-Maximin,Newcastle United ,4,360,1,1,1.14,1.40,0.28,0.35,39.0,6.8,4.9,FWD,5.74
149,306,Hayden,hayden,18.8,0.9,0.0,2.0,Newcastle,0,0,0,243,Isaac Hayden,Newcastle United ,4,360,0,0,0.00,0.06,0.0,0.01,11.0,4.5,1.6,MID,2.44
150,100,Pieters,pieters,18.6,1.3,0.0,2.0,Burnley,0,0,0,155,Erik Pieters,Burnley ,1,90,0,0,0.00,0.00,0.0,0.0,2.0,4.3,1.0,DEF,0.47
151,288,Wan-Bissaka,wan-bissaka,14.8,2.8,2.0,2.0,Man Utd,0,0,0,225,Aaron Wan-Bissaka,Manchester United ,4,360,0,0,0.04,0.47,0.01,0.12,19.0,5.3,2.4,DEF,3.58
152,373,Skipp,skipp,14.2,5.6,0.0,2.0,Spurs,0,0,0,283,Oliver Skipp,Tottenham ,4,249,0,0,0.00,0.00,0.0,0.0,13.0,4.5,1.6,MID,2.89
153,275,Shaw,shaw,12.8,4.9,2.0,2.0,Man Utd,0,1,1,162,Luke Shaw,Manchester United ,4,303,0,0,0.02,0.40,0.01,0.12,20.0,5.3,2.5,DEF,3.77
154,134,Werner,werner,0.0,5.9,15.0,2.0,Chelsea,1,1,2,15,Timo Werner,Chelsea ,4,289,1,1,1.97,0.06,0.61,0.02,18.0,8.6,2.6,FWD,2.09
155,233,Salah,salah,64.0,30.5,91.0,18.6,Liverpool,7,5,12,1,Mohamed Salah,Liverpool ,4,360,4,2,2.47,1.17,0.62,0.29,83.0,12.8,10.4,MID,6.48
156,277,Fernandes,fernandes,39.0,104.0,11.0,15.4,Man Utd,4,2,6,170,Bruno Fernandes,Manchester United ,4,360,0,2,1.08,1.87,0.27,0.47,43.0,11.8,5.4,MID,3.64
157,359,Son,son,44.8,62.7,39.0,14.7,Spurs,4,2,6,7,Son Heung-Min,Tottenham ,4,360,2,1,2.05,0.59,0.51,0.15,51.0,10.2,7.3,MID,5.0
158,261,Bernardo,bernardo,40.6,39.3,65.0,14.5,Man City,2,1,3,46,Bernardo Silva,Manchester City ,4,344,1,0,1.14,0.70,0.3,0.18,35.0,7.0,5.0,MID,5.0
159,6,Lacazette,lacazette,42.0,26.8,62.0,13.1,Arsenal,1,0,1,41,Alexandre Lacazette,Arsenal ,2,37,1,0,0.31,0.12,0.76,0.3,7.0,8.3,2.3,FWD,0.84
160,35,McGinn,mcginn,70.8,50.6,8.0,12.9,Aston Villa,2,1,3,67,John McGinn,Aston Villa ,4,309,1,1,0.18,0.67,0.05,0.2,29.0,5.8,4.1,MID,5.0
161,210,Tielemans,tielemans,57.6,39.8,30.0,12.7,Leicester,2,2,4,53,Youri Tielemans,Leicester ,4,360,1,2,0.43,1.60,0.11,0.4,37.0,6.4,4.6,MID,5.78
162,420,Bowen,bowen,31.4,31.2,64.0,12.7,West Ham,1,3,4,36,Jarrod Bowen,West Ham ,4,360,1,2,1.45,0.75,0.36,0.19,32.0,6.3,4.0,MID,5.08
163,455,Daka,daka,43.2,13.2,69.0,12.5,Leicester,1,0,1,74,Patson Daka,Leicester ,1,9,1,0,1.04,0.55,10.37,5.53,7.0,7.1,3.5,FWD,0.99
164,413,Antonio,antonio,9.8,36.7,74.0,12.1,West Ham,5,4,9,22,Michail Antonio,West Ham ,3,270,1,0,2.28,0.78,0.76,0.26,50.0,8.1,7.1,FWD,6.17
165,77,Nørgaard,nørgaard,10.8,12.8,96.0,12.0,Brentford,1,0,1,279,Christian Nørgaard,Brentford ,4,351,0,0,0.24,0.51,0.06,0.13,21.0,5.0,2.6,MID,4.2
166,256,Cancelo,cancelo,22.0,30.0,67.0,11.9,Man City,0,2,2,201,João Cancelo,Manchester City ,4,360,0,1,0.46,0.28,0.12,0.07,50.0,6.3,6.2,DEF,7.94
167,357,Kane,kane,53.6,28.4,35.0,11.7,Spurs,1,1,2,28,Harry Kane,Tottenham ,4,360,1,1,1.34,1.15,0.34,0.29,21.0,12.1,3.0,FWD,1.74
168,205,Vardy,vardy,40.4,24.1,46.0,11.1,Leicester,7,1,8,0,Jamie Vardy,Leicester ,4,360,5,0,2.82,0.34,0.71,0.09,56.0,10.7,7.0,FWD,5.23
169,211,Pérez,perez,39.4,31.0,41.0,11.1,Leicester,0,2,2,138,Ayoze Pérez,Leicester ,1,13,0,2,0.55,0.81,3.83,5.59,8.0,5.8,2.7,MID,1.38
170,409,Ogbonna,ogbonna,52.8,0.5,53.0,10.6,West Ham,1,0,1,21,Angelo Ogbonna,West Ham ,4,360,1,0,0.61,0.00,0.15,0.0,32.0,5.0,4.0,DEF,6.4
171,586,Edouard,edouard,47.0,32.8,25.0,10.5,Crystal Palace,3,0,3,47,Odsonne Edouard,Crystal Palace ,4,270,1,1,0.66,0.21,0.22,0.07,24.0,6.5,4.8,FWD,3.69
172,55,Groß,groß,21.2,43.3,38.0,10.3,Brighton,0,2,2,82,Pascal Groß,Brighton ,3,265,0,0,0.20,0.38,0.07,0.13,22.0,6.0,3.7,MID,3.67
173,482,Townsend,townsend,22.8,72.2,6.0,10.1,Everton,3,2,5,8,Andros Townsend,Everton ,4,348,2,0,1.69,0.68,0.44,0.18,45.0,5.7,5.6,MID,7.89
174,107,Westwood,westwood,3.4,13.6,2.0,1.9,Burnley,0,2,2,118,Ashley Westwood,Burnley ,4,360,0,0,0.15,0.37,0.04,0.09,21.0,5.4,3.0,MID,3.89
175,559,Ramsdale,ramsdale,18.6,0.0,0.0,1.9,Arsenal,0,0,0,227,Aaron Ramsdale,Arsenal ,4,360,0,0,0.00,0.00,0.0,0.0,26.0,4.6,5.2,GKP,5.65
176,273,Maguire,maguire,14.0,0.6,4.0,1.9,Man Utd,0,0,0,183,Harry Maguire,Manchester United ,3,251,0,0,0.19,0.00,0.07,0.0,21.0,5.4,3.0,DEF,3.89
177,224,Matip,matip,12.4,2.8,4.0,1.9,Liverpool,0,0,0,84,Joel Matip,Liverpool ,3,270,0,0,0.06,0.07,0.02,0.02,28.0,5.0,4.0,DEF,5.6
178,580,Kabak,kabak,11.0,0.1,8.0,1.9,Norwich,0,0,0,291,Ozan Kabak,Norwich ,4,341,0,0,0.19,0.01,0.05,0.0,13.0,4.5,3.2,DEF,2.89
179,583,Hwang,hwang,0.0,4.8,20.0,1.9,Wolves,3,0,3,14,Hee-Chan Hwang,Wolverhampton Wanderers ,4,310,2,0,0.89,0.58,0.26,0.17,26.0,5.6,5.2,FWD,4.64
180,287,James,james,6.8,5.4,6.0,1.8,Leeds,1,2,3,226,Daniel James,Leeds ,4,294,0,0,0.68,0.06,0.21,0.02,12.0,6.0,1.7,MID,2.0
181,242,Kelleher,kelleher,18.4,0.0,0.0,1.8,Liverpool,0,0,0,309,Caoimhin Kelleher,Liverpool ,1,90,0,0,0.00,0.00,0.0,0.0,6.0,4.4,6.0,GKP,1.36
182,184,Cooper,cooper,18.0,0.3,0.0,1.8,Leeds,0,1,1,342,Liam Cooper,Leeds ,4,360,0,0,0.00,0.03,0.0,0.01,16.0,4.5,2.0,DEF,3.56
183,201,Evans,evans,17.8,0.3,0.0,1.8,Leicester,0,0,0,144,Jonny Evans,Leicester ,1,90,0,0,0.00,0.00,0.0,0.0,2.0,5.4,1.0,DEF,0.37
184,222,Henderson,henderson,12.0,6.3,0.0,1.8,Liverpool,0,1,1,107,Jordan Henderson,Liverpool ,4,359,0,1,0.08,0.76,0.02,0.19,20.0,5.0,2.9,MID,4.0
185,227,Chamberlain,chamberlain,5.0,12.3,0.0,1.7,Liverpool,0,0,0,159,Alex Oxlade-Chamberlain,Liverpool ,1,24,0,0,0.00,0.04,0.0,0.13,5.0,5.8,1.7,MID,0.86
186,478,Sambi Lokonga,sambi lokonga,1.8,15.0,0.0,1.7,Arsenal,0,0,0,362,Albert Sambi Lokonga,Arsenal ,4,164,0,0,0.02,0.03,0.01,0.02,11.0,4.9,1.6,MID,2.24
187,408,Fabianski,fabianski,15.8,0.0,0.0,1.6,West Ham,0,0,0,126,Lukasz Fabianski,West Ham ,4,360,0,0,0.00,0.00,0.0,0.0,24.0,5.0,3.0,GKP,4.8
188,488,Andersen,andersen,12.6,1.3,2.0,1.6,Crystal Palace,0,0,0,253,Joachim Andersen,Crystal Palace ,4,360,0,0,0.00,0.08,0.0,0.02,18.0,4.5,2.2,DEF,4.0
189,152,Milivojevic,milivojevic,10.6,5.6,0.0,1.6,Crystal Palace,0,0,0,220,Luka Milivojevic,Crystal Palace ,3,234,0,0,0.06,0.24,0.02,0.09,8.0,5.4,2.0,MID,1.48
190,445,Fabio Silva,fabio silva,1.2,10.3,4.0,1.6,Wolves,0,0,0,340,Fabio Silva,Wolverhampton Wanderers ,2,18,0,0,0.00,0.34,0.0,1.68,5.0,5.7,1.0,FWD,0.88
191,69,Sánchez,sanchez,14.8,0.0,0.0,1.5,Brighton,0,0,0,349,Robert Sánchez,Brighton ,4,360,0,0,0.00,0.30,0.0,0.07,31.0,4.6,3.9,GKP,6.74
192,62,Veltman,veltman,9.6,2.5,2.0,1.4,Brighton,0,1,1,341,Joël Veltman,Brighton ,4,332,0,1,0.00,0.24,0.0,0.07,20.0,4.4,3.3,DEF,4.55
193,138,Mount,mount,7.0,1.0,6.0,1.4,Chelsea,0,2,2,307,Mason Mount,Chelsea ,3,91,0,0,0.25,0.80,0.25,0.79,17.0,7.4,2.8,MID,2.3
194,165,Coleman,coleman,6.0,2.0,6.0,1.4,Everton,0,1,1,101,Seamus Coleman,Everton ,1,90,0,0,0.04,0.00,0.04,0.0,16.0,4.9,3.2,DEF,3.27
195,304,Murphy,murphy,4.4,1.6,8.0,1.4,Newcastle,1,2,3,244,Jacob Murphy,Newcastle United ,4,30,0,0,0.48,0.00,1.44,0.0,21.0,5.0,2.6,MID,4.2
196,379,Cathcart,cathcart,13.2,0.0,0.0,1.3,Watford,0,0,0,100,Craig Cathcart,Watford ,3,270,0,0,0.06,0.00,0.02,0.0,5.0,4.4,0.8,DEF,1.14
197,22,Saka,saka,0.0,11.6,2.0,1.3,Arsenal,1,2,3,64,Bukayo Saka,Arsenal ,4,318,1,1,0.74,0.66,0.21,0.19,29.0,6.4,3.6,MID,4.53
198,141,Havertz,havertz,12.0,0.1,0.0,1.2,Chelsea,1,0,1,218,Kai Havertz,Chelsea ,3,109,0,0,0.20,0.00,0.17,0.0,19.0,8.1,2.7,MID,2.35
199,150,Kouyaté,kouyate,11.4,0.1,0.0,1.2,Crystal Palace,0,0,0,94,Cheikhou Kouyaté,Crystal Palace ,3,119,0,0,0.00,0.00,0.0,0.0,18.0,4.5,2.6,DEF,4.0
200,285,McTominay,mctominay,4.0,0.3,7.0,1.1,Man Utd,0,0,0,224,Scott McTominay,Manchester United ,4,272,0,0,0.19,0.12,0.06,0.04,11.0,5.4,1.8,MID,2.04
201,474,Ward,ward,8.2,1.8,0.0,1.0,Crystal Palace,0,0,0,92,Joel Ward,Crystal Palace ,4,360,0,0,0.15,0.00,0.04,0.0,17.0,4.5,2.1,DEF,3.78
202,19,Willock,willock,7.8,2.6,0.0,1.0,Newcastle,0,0,0,264,Joe Willock,Newcastle United ,4,297,0,0,0.52,0.15,0.16,0.05,13.0,5.9,1.9,MID,2.2
203,298,Fraser,fraser,0.6,1.6,8.0,1.0,Newcastle,0,1,1,182,Ryan Fraser,Newcastle United ,2,30,0,0,0.12,0.00,0.35,0.0,8.0,5.4,1.6,MID,1.48
204,390,Masina,masina,8.8,0.2,0.0,0.9,Watford,0,0,0,174,Adam Masina,Watford ,1,47,0,0,0.00,0.00,0.0,0.0,4.0,4.3,1.0,DEF,0.93
205,208,Amartey,amartey,7.6,1.0,0.0,0.9,Leicester,0,0,0,134,Daniel Amartey,Leicester ,1,90,0,0,0.00,0.00,0.0,0.0,9.0,4.0,2.2,DEF,2.25
206,283,Tuanzebe,tuanzebe,6.6,0.3,2.0,0.9,Aston Villa,0,0,0,157,Axel Tuanzebe,Aston Villa ,2,180,0,0,0.10,0.00,0.05,0.0,11.0,4.5,2.2,DEF,2.44
207,71,Lamptey,lamptey,1.0,6.1,2.0,0.9,Brighton,0,0,0,323,Tariq Lamptey,Brighton ,1,28,0,0,0.00,0.00,0.0,0.0,1.0,4.4,1.0,DEF,0.23
208,115,Brownhill,brownhill,0.4,2.4,6.0,0.9,Burnley,0,0,0,328,Josh Brownhill,Burnley ,4,360,0,0,0.15,0.23,0.04,0.06,13.0,4.4,1.6,MID,2.95
209,294,Darlow,darlow,7.8,0.0,0.0,0.8,Newcastle,0,0,0,140,Karl Darlow,Newcastle United ,4,360,0,0,0.00,0.00,0.0,0.0,12.0,4.5,3.0,GKP,2.67
210,432,Marçal,marcal,5.0,3.1,0.0,0.8,Wolves,0,2,2,234,Fernando Marçal,Wolverhampton Wanderers ,4,332,0,0,0.03,0.00,0.01,0.0,29.0,4.6,3.6,DEF,6.3
211,80,Raya,raya,6.8,0.0,0.0,0.7,Brentford,0,0,0,355,David Raya,Brentford ,4,360,0,0,0.00,0.00,0.0,0.0,32.0,4.6,4.0,GKP,6.96
212,252,Stones,stones,6.8,0.5,0.0,0.7,Man City,0,0,0,102,John Stones,Manchester City ,1,90,0,0,0.00,0.00,0.0,0.0,6.0,5.3,6.0,DEF,1.13
213,101,Cork,cork,3.6,1.4,2.0,0.7,Burnley,0,0,0,128,Jack Cork,Burnley ,1,76,0,0,0.00,0.00,0.0,0.0,6.0,4.5,2.0,MID,1.33
214,450,Dennis,dennis,1.6,5.5,0.0,0.7,Watford,2,1,3,71,Emmanuel Dennis,Watford ,4,314,1,0,0.81,0.08,0.23,0.02,26.0,5.2,3.2,FWD,5.0
215,198,Struijk,struijk,6.2,0.2,0.0,0.6,Leeds,0,0,0,335,Pascal Struijk,Leeds ,2,91,0,0,0.00,0.00,0.0,0.0,1.0,4.4,0.2,DEF,0.23
216,245,Tsimikas,tsimikas,2.8,0.7,2.0,0.6,Liverpool,0,1,1,343,Konstantinos Tsimikas,Liverpool ,2,115,0,0,0.02,0.21,0.02,0.16,24.0,4.0,4.8,DEF,6.0
217,262,Dias,dias,5.0,0.0,0.0,0.5,Man City,0,1,1,346,Rúben Dias,Manchester City ,4,284,0,0,0.16,0.04,0.05,0.01,40.0,6.2,5.0,DEF,6.45
218,318,McLean,mclean,3.2,1.7,0.0,0.5,Norwich,0,0,0,300,Kenny McLean,Norwich ,4,360,0,0,0.14,0.57,0.04,0.14,15.0,4.9,2.1,MID,3.06
219,381,Cleverley,cleverley,3.2,1.3,0.0,0.5,Watford,0,1,1,106,Tom Cleverley,Watford ,3,177,0,0,0.00,0.60,0.0,0.3,12.0,4.9,2.0,MID,2.45
220,414,Dawson,dawson,2.6,0.1,2.0,0.5,West Ham,0,0,0,143,Craig Dawson,West Ham ,2,11,0,0,0.00,0.00,0.0,0.0,12.0,4.9,2.0,DEF,2.45
221,382,Femenía,femenia,3.4,0.2,0.0,0.4,Watford,0,1,1,216,Kiko Femenía,Watford ,4,279,0,1,0.00,0.60,0.0,0.19,6.0,4.4,1.5,DEF,1.36
222,109,Wood,wood,0.0,2.4,4.0,0.4,Burnley,1,0,1,215,Chris Wood,Burnley ,4,344,0,0,0.83,0.08,0.22,0.02,22.0,6.8,2.8,FWD,3.24
223,353,Lloris,lloris,2.8,0.0,0.0,0.3,Spurs,0,0,0,113,Hugo Lloris,Tottenham ,4,360,0,0,0.00,0.18,0.0,0.04,36.0,5.5,4.5,GKP,6.55
224,552,Forshaw,forshaw,2.6,0.3,0.0,0.3,Leeds,0,0,0,186,Adam Forshaw,Leeds ,1,26,0,0,0.00,0.00,0.0,0.0,1.0,4.5,1.0,MID,0.22
225,41,Nakamba,nakamba,2.4,0.3,0.0,0.3,Aston Villa,0,0,0,315,Marvelous Nakamba,Aston Villa ,2,70,0,0,0.00,0.00,0.0,0.0,6.0,4.5,1.2,MID,1.33
226,479,Onyeka,onyeka,1.8,1.0,0.0,0.3,Brentford,0,0,0,358,Frank Onyeka,Brentford ,4,247,0,0,0.16,0.00,0.06,0.0,13.0,4.9,1.9,MID,2.65
227,51,Ramsey,ramsey,2.0,0.3,0.0,0.2,Aston Villa,0,0,0,345,Jacob Ramsey,Aston Villa ,4,263,0,0,0.22,0.04,0.08,0.01,12.0,4.5,1.7,MID,2.67
228,147,Tomkins,tomkins,2.0,0.0,0.0,0.2,Crystal Palace,0,0,0,93,James Tomkins,Crystal Palace ,1,5,0,0,0.00,0.00,0.0,0.0,1.0,4.4,1.0,DEF,0.23
229,453,Fernandinho,fernandinho,2.0,0.3,0.0,0.2,Man City,0,0,0,108,Fernandinho,Manchester City ,3,70,0,0,0.05,0.03,0.06,0.04,8.0,4.9,1.6,MID,1.63
230,187,Rodrigo,rodrigo,1.4,0.5,0.0,0.2,Leeds,1,0,1,202,Rodrigo,Leeds ,4,334,0,0,0.38,0.66,0.1,0.18,10.0,6.3,1.4,FWD,1.59
231,329,Idah,idah,1.2,0.5,0.0,0.2,Norwich,0,0,0,314,Adam Idah,Norwich ,3,3,0,0,0.00,0.00,0.0,0.0,6.0,4.9,1.0,FWD,1.22
232,507,Palmer,palmer,1.0,1.0,0.0,0.2,Man City,0,0,0,332,Cole Palmer,Manchester City ,1,1,0,0,0.00,0.00,0.0,0.0,2.0,4.5,1.0,MID,0.44
233,74,Mac Allister,mac allister,0.4,0.8,0.0,0.1,Brighton,1,1,2,330,Alexis Mac Allister,Brighton ,2,14,0,0,0.01,0.00,0.09,0.0,19.0,5.4,3.2,MID,3.52
234,340,Vestergaard,vestergaard,0.4,0.1,0.0,0.1,Leicester,0,0,0,78,Jannik Vestergaard,Leicester ,4,271,0,0,0.00,0.07,0.0,0.02,10.0,4.9,1.7,DEF,2.04
235,108,Gudmundsson,gudmundsson,0.2,0.3,0.0,0.1,Burnley,0,1,1,180,Johann Berg Gudmundsson,Burnley ,4,143,0,0,0.12,0.03,0.08,0.02,14.0,5.4,1.8,MID,2.59
236,416,Lanzini,lanzini,0.2,0.3,0.0,0.1,West Ham,0,0,0,97,Manuel Lanzini,West Ham ,2,3,0,0,0.00,0.00,0.0,0.0,3.0,5.8,1.0,MID,0.52
237,503,Gordon,gordon,0.2,0.3,0.0,0.1,Everton,0,0,0,319,Anthony Gordon,Everton ,4,110,0,0,0.00,0.19,0.0,0.16,5.0,4.5,1.0,MID,1.11
238,551,Summerville,summerville,0.2,0.6,0.0,0.1,Leeds,0,0,0,353,Crysencio Summerville,Leeds ,3,30,0,0,0.00,0.00,0.0,0.0,3.0,4.5,1.0,MID,0.67
239,577,Gelhardt,gelhardt,0.2,0.3,0.0,0.1,Leeds,0,0,0,352,Joe Gelhardt,Leeds ,1,13,0,0,0.00,0.00,0.0,0.0,1.0,4.5,1.0,FWD,0.22
240,430,Jiménez,jimenez,0.0,0.1,2.0,0.1,Wolves,1,2,3,48,Raúl Jiménez,Wolverhampton Wanderers ,4,271,1,2,0.82,1.01,0.27,0.34,27.0,7.6,3.4,FWD,3.55
241,52,Young,young,0.2,0.1,0.0,0.0,Aston Villa,0,0,0,110,Ashley Young,Aston Villa ,2,14,0,0,0.00,0.00,0.0,0.0,10.0,4.8,2.0,DEF,2.08
242,142,James,james,0.2,0.1,0.0,0.0,Chelsea,1,2,3,316,Reece James,Chelsea ,2,29,0,0,0.00,0.00,0.0,0.0,22.0,5.5,4.4,DEF,4.0
243,7,Xhaka,xhaka,0.0,0.0,0.0,0.0,Arsenal,0,0,0,80,Granit Xhaka,Arsenal ,1,84,0,0,0.00,0.00,0.0,0.0,4.0,4.9,1.0,MID,0.82
244,13,Maitland-Niles,maitland-niles,0.0,0.0,0.0,0.0,Arsenal,0,0,0,191,Ainsley Maitland-Niles,Arsenal ,3,15,0,0,0.00,0.00,0.0,0.0,7.0,5.3,1.4,MID,1.32
245,32,Traoré,traore,0.0,0.0,0.0,0.0,Aston Villa,0,1,1,124,Bertrand Traoré,Aston Villa ,2,10,0,0,0.07,0.00,0.59,0.0,7.0,5.8,1.8,MID,1.21
246,33,Grealish,grealish,0.0,0.0,0.0,0.0,Man City,1,1,2,120,Jack Grealish,Manchester City ,3,246,0,0,0.47,0.14,0.17,0.05,26.0,7.9,3.7,MID,3.29
247,36,Hause,hause,0.0,0.0,0.0,0.0,Aston Villa,1,0,1,61,Kortney Hause,Aston Villa ,2,172,1,0,0.06,0.00,0.03,0.0,17.0,4.4,5.7,DEF,3.86
248,70,Bissouma,bissouma,0.0,0.0,0.0,0.0,Brighton,0,1,1,228,Yves Bissouma,Brighton ,1,81,0,0,0.18,0.00,0.21,0.0,16.0,4.5,3.2,MID,3.56
249,72,Connolly,connolly,0.0,0.0,0.0,0.0,Brighton,0,0,0,312,Aaron Connolly,Brighton ,1,12,0,0,0.00,0.00,0.0,0.0,2.0,5.3,1.0,FWD,0.38
250,73,Alzate,alzate,0.0,0.0,0.0,0.0,Brighton,0,0,0,313,Steven Alzate,Brighton ,1,19,0,0,0.00,0.00,0.0,0.0,3.0,4.9,1.5,MID,0.61
251,84,Janelt,janelt,0.0,0.0,0.0,0.0,Brentford,1,0,1,73,Vitaly Janelt,Brentford ,2,180,1,0,0.96,0.31,0.48,0.16,23.0,5.0,3.8,MID,4.6
252,89,Roerslev,roerslev,0.0,0.0,0.0,0.0,Brentford,0,0,0,361,Mads Roerslev,Brentford ,1,12,0,0,0.00,0.00,0.0,0.0,2.0,4.3,1.0,DEF,0.47
253,97,Bidstrup,bidstrup,0.0,0.0,0.0,0.0,Brentford,0,0,0,359,Mads Bidstrup,Brentford ,1,3,0,0,0.00,0.00,0.0,0.0,3.0,4.5,1.0,MID,0.67
254,104,Rodriguez,rodriguez,0.0,0.1,0.0,0.0,Burnley,0,0,0,151,Jay Rodriguez,Burnley ,3,66,0,0,0.17,0.00,0.23,0.0,6.0,5.3,1.0,FWD,1.13
255,106,Mee,mee,0.0,0.0,0.0,0.0,Burnley,1,0,1,179,Ben Mee,Burnley ,2,180,0,0,0.09,0.01,0.05,0.01,13.0,4.9,2.2,DEF,2.65
256,111,Vydra,vydra,0.0,0.0,0.0,0.0,Burnley,0,1,1,164,Matej Vydra,Burnley ,3,144,0,1,0.16,0.10,0.1,0.07,10.0,5.2,1.7,FWD,1.92
257,113,Taylor,taylor,0.0,0.0,0.0,0.0,Burnley,0,0,0,238,Charlie Taylor,Burnley ,3,270,0,0,0.00,0.24,0.0,0.08,17.0,4.4,2.4,DEF,3.86
258,121,Thiago Silva,thiago silva,0.0,0.0,0.0,0.0,Chelsea,1,0,1,43,Thiago Silva,Chelsea ,3,242,1,0,0.08,0.07,0.03,0.03,25.0,5.5,5.0,DEF,4.55
259,122,Alonso,alonso,0.0,0.0,0.0,0.0,Chelsea,1,1,2,176,Marcos Alonso,Chelsea ,2,180,0,1,0.72,0.27,0.36,0.14,39.0,5.9,6.5,DEF,6.61
260,123,Jorginho,jorginho,0.0,0.0,0.0,0.0,Chelsea,0,0,0,173,Jorginho,Chelsea ,3,182,0,0,0.00,0.09,0.0,0.05,15.0,5.8,2.1,MID,2.59
261,124,Barkley,barkley,0.0,0.0,0.0,0.0,Chelsea,0,0,0,103,Ross Barkley,Chelsea ,1,4,0,0,0.00,0.00,0.0,0.0,1.0,5.3,1.0,MID,0.19
262,127,Rüdiger,rudiger,0.0,0.0,0.0,0.0,Chelsea,1,0,1,37,Antonio Rüdiger,Chelsea ,3,270,1,0,0.15,0.25,0.05,0.08,36.0,5.8,5.1,DEF,6.21
263,140,Hudson-Odoi,hudson-odoi,0.0,0.0,0.0,0.0,Chelsea,0,0,0,258,Callum Hudson-Odoi,Chelsea ,1,68,0,0,0.10,0.07,0.13,0.1,5.0,5.3,2.5,MID,0.94
264,145,Gilmour,gilmour,0.0,0.0,0.0,0.0,Norwich,0,0,0,311,Billy Gilmour,Norwich ,1,90,0,0,0.00,0.21,0.0,0.21,,,,,
265,154,Zaha,zaha,0.0,0.0,0.0,0.0,Crystal Palace,2,1,3,20,Wilfried Zaha,Crystal Palace ,3,270,1,0,0.96,0.20,0.32,0.07,31.0,7.0,4.4,MID,4.43
