,Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team,Goals scored,Assists,Goals and Assists,Unnamed: 0,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90,Total points,Costs,PPG,Positions,Points per mil
29,436,Neves,neves,40.2,6.8,7.0,5.4,Wolves,1,0,1,59,Rúben Neves,Wolverhampton Wanderers ,4,271,1,0,0.07,0.05,0.02,0.02,20.0,5.4,2.5,MID,3.7
30,281,Rashford,rashford,33.4,1.5,19.0,5.4,Man Utd,1,0,1,24,Marcus Rashford,Manchester United ,1,21,1,0,0.25,0.00,1.08,0.0,6.0,9.4,6.0,MID,0.64
31,471,Lees-Melou,lees-melou,14.6,17.4,22.0,5.4,Norwich,0,1,1,230,Pierre Lees-Melou,Norwich ,3,264,0,0,0.15,0.06,0.05,0.02,17.0,5.0,2.4,MID,3.4
32,168,Digne,digne,36.6,15.9,0.0,5.3,Everton,0,0,0,194,Lucas Digne,Everton ,4,360,0,0,0.00,0.38,0.0,0.1,18.0,5.3,2.2,DEF,3.4
33,53,Lallana,lallana,24.6,17.3,11.0,5.3,Brighton,0,0,0,88,Adam Lallana,Brighton ,4,360,0,0,0.31,0.14,0.08,0.03,16.0,5.4,2.0,MID,2.96
34,421,Rice,rice,23.8,25.7,3.0,5.3,West Ham,0,2,2,222,Declan Rice,West Ham ,4,360,0,1,0.12,0.45,0.03,0.11,23.0,5.0,2.9,MID,4.6
35,78,Toney,toney,12.8,1.5,39.0,5.3,Brentford,2,2,4,33,Ivan Toney,Brentford ,4,360,1,2,1.18,2.32,0.29,0.58,33.0,6.5,4.1,FWD,5.08
36,270,de Gea,de gea,51.6,0.0,0.0,5.2,Man Utd,0,0,0,98,David de Gea,Manchester United ,4,360,0,0,0.00,0.00,0.0,0.0,30.0,5.1,3.8,GKP,5.88
37,284,Lindelöf,lindelof,35.2,16.3,0.0,5.2,Man Utd,0,2,2,245,Victor Lindelöf,Manchester United ,3,199,0,1,0.00,0.25,0.0,0.11,12.0,4.8,2.4,DEF,2.5
38,594,Zanka,zanka,19.8,30.0,2.0,5.2,Brentford,0,0,0,236,Zanka,Brentford ,4,233,0,0,0.00,0.05,0.0,0.02,4.0,4.5,1.0,DEF,0.89
39,485,Sancho,sancho,9.4,35.6,6.0,5.1,Man Utd,0,0,0,255,Jadon Sancho,Manchester United ,3,116,0,0,0.05,0.37,0.04,0.28,11.0,9.0,1.6,MID,1.22
40,423,Fornals,fornals,1.6,5.3,44.0,5.1,West Ham,2,1,3,200,Pablo Fornals,West Ham ,4,352,0,0,0.78,0.20,0.2,0.05,30.0,6.0,3.8,MID,5.0
41,67,White,white,11.2,12.3,26.0,5.0,Arsenal,0,0,0,288,Ben White,Arsenal ,4,360,0,0,0.09,0.52,0.02,0.13,23.0,4.4,3.8,DEF,5.23
42,299,Lascelles,lascelles,34.4,10.3,4.0,4.9,Newcastle,0,0,0,136,Jamaal Lascelles,Newcastle United ,2,180,0,0,0.12,0.02,0.06,0.01,4.0,4.4,0.8,DEF,0.91
43,63,Maupay,maupay,5.4,23.8,19.0,4.8,Brighton,4,0,4,10,Neal Maupay,Brighton ,4,360,2,0,1.88,0.19,0.47,0.05,34.0,6.6,4.2,FWD,5.15
44,457,Giannoulis,giannoulis,20.2,26.1,2.0,4.8,Norwich,0,0,0,367,Dimitris Giannoulis,Norwich ,3,182,0,0,0.04,0.19,0.02,0.09,15.0,4.4,3.0,DEF,3.41
45,434,Dendoncker,dendoncker,18.0,24.8,5.0,4.8,Wolves,0,1,1,285,Leander Dendoncker,Wolverhampton Wanderers ,3,181,0,1,0.10,0.71,0.05,0.35,10.0,4.8,2.0,MID,2.08
