,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
48,Hee-Chan Hwang,Wolverhampton Wanderers ,2,180,1,0,0.40-0.60,0.00,0.20,0.00
49,Ollie Watkins,Aston Villa ,2,180,1,0,1.21+0.21,0.00,0.60,0.00
50,Jacob Ramsey,Aston Villa ,2,30,1,0,0.15-0.85,0.03+0.03,0.44,0.10
51,Conor Gallagher,Crystal Palace ,2,178,1,1,0.49-0.51,0.64-0.36,0.25,0.33
52,Emmanuel Dennis,Watford ,1,22,1,2,0.46-0.54,0.90-1.10,1.89,3.68
53,Valentino Livramento ,Southampton,2,180,1,0,0.20-0.80,0.18+0.18,0.10,0.09
54,Enock Mwepu,Brighton ,2,120,1,0,0.53-0.47,0.00,0.40,0.00
55,Andrew Omobamidele,Norwich ,2,110,1,0,0.08-0.92,0.00,0.07,0.00
56,Joelinton,Newcastle United ,1,7,0,0,0.00,0.00,0.00,0.00
57,Allan Saint-Maximin,Newcastle United ,2,173,0,0,0.07+0.07,0.00,0.04,0.00
58,Jannik Vestergaard,Leicester ,1,20,0,0,0.00,0.00,0.00,0.00
59,Andreas Christensen,Chelsea ,1,90,0,0,0.00,0.02+0.02,0.00,0.02
60,Pascal Groß,Brighton ,2,85,0,0,0.08+0.08,0.13+0.13,0.09,0.14
61,Sead Kolasinac,Arsenal ,1,1,0,0,0.00,0.00,0.00,0.00
62,Pierre-Emile Højbjerg,Tottenham ,2,180,0,0,0.01+0.01,0.00,0.01,0.00
63,Kevin De Bruyne,Manchester City ,2,75,0,0,0.03+0.03,0.54+0.54,0.04,0.65
64,Son Heung-Min,Tottenham ,2,180,0,0,0.74+0.74,0.19+0.19,0.37,0.09
65,Matt Ritchie,Newcastle United ,2,180,0,0,0.01+0.01,0.05+0.05,0.01,0.03
66,Roberto Firmino,Liverpool ,2,162,0,0,0.89+0.89,0.11+0.11,0.49,0.06
67,Adam Lallana,Brighton ,2,169,0,1,0.06+0.06,0.54-0.46,0.03,0.29
68,James Milner,Liverpool ,1,26,0,0,0.00,0.00,0.00,0.00
69,Theo Walcott ,Southampton,1,76,0,0,0.13+0.13,0.00,0.16,0.00
70,Joel Ward,Crystal Palace ,2,180,0,0,0.00,0.00,0.00,0.00
71,Angelo Ogbonna,West Ham ,2,180,0,0,0.00,0.00,0.00,0.00
72,Cheikhou Kouyaté,Crystal Palace ,1,90,0,0,0.00,0.00,0.00,0.00
73,Aaron Cresswell,West Ham ,2,180,0,1,0.08+0.08,0.56-0.44,0.04,0.28
74,Manuel Lanzini,West Ham ,2,28,0,1,0.06+0.06,0.90-0.10,0.18,2.88
75,David de Gea,Manchester United ,2,180,0,0,0.00,0.00,0.00,0.00
76,Jesse Lingard,Manchester United ,1,7,0,0,0.00,0.00,0.00,0.00
77,Craig Cathcart,Watford ,2,180,0,1,0.00,0.79-0.21,0.00,0.39
78,Seamus Coleman,Everton ,2,180,0,0,0.04+0.04,0.17+0.17,0.02,0.08
79,John Stones,Manchester City ,1,26,0,0,0.00,0.00,0.00,0.00
80,Ross Barkley,Chelsea ,2,42,0,0,0.33+0.33,0.04+0.04,0.71,0.09
81,Tom Cleverley,Watford ,1,42,0,0,0.00,0.02+0.02,0.00,0.03
82,Fernandinho,Manchester City ,1,13,0,0,0.00,0.00,0.00,0.00
83,Raheem Sterling,Manchester City ,1,7,0,0,0.00,0.06+0.06,0.00,0.75
84,Kelechi Iheanacho,Leicester ,2,138,0,0,0.05+0.05,0.06+0.06,0.03,0.04
85,Ashley Young,Aston Villa ,1,76,0,0,0.00,0.01+0.01,0.00,0.01
86,James McArthur,Crystal Palace ,2,180,0,0,0.11+0.11,0.36+0.36,0.06,0.18
87,Alex McCarthy ,Southampton,2,180,0,0,0.00,0.00,0.00,0.00
88,Hugo Lloris,Tottenham ,2,180,0,0,0.00,0.00,0.00,0.00
89,Kyle Walker,Manchester City ,2,180,0,0,0.00,0.00,0.00,0.00
90,Eric Dier,Tottenham ,2,180,0,0,0.04+0.04,0.00,0.02,0.00
91,Dele Alli,Tottenham ,1,16,0,0,0.00,0.00,0.00,0.00
92,Harry Kane,Tottenham ,2,180,0,0,0.11+0.11,0.00,0.06,0.00
93,Ben Davies,Tottenham ,1,90,0,0,0.51+0.51,0.00,0.51,0.00
94,Ashley Westwood,Burnley ,2,180,0,1,0.04+0.04,0.99-0.01,0.02,0.50
95,Jordan Ayew,Crystal Palace ,1,70,0,0,0.12+0.12,0.03+0.03,0.15,0.04
96,Jack Grealish,Manchester City ,2,162,0,1,0.26+0.26,0.80-0.20,0.14,0.44
97,Ruben Loftus-Cheek,Chelsea ,2,48,0,1,0.16+0.16,0.55-0.45,0.30,1.03
98,Nemanja Matic,Manchester United ,1,13,0,1,0.00,0.45-0.55,0.00,3.10
99,Lukasz Fabianski,West Ham ,2,180,0,0,0.00,0.00,0.00,0.00
100,Jack Cork,Burnley ,1,72,0,0,0.00,0.00,0.00,0.00
101,Jordan Pickford,Everton ,2,180,0,0,0.00,0.00,0.00,0.00
102,Kasper Schmeichel,Leicester ,2,180,0,0,0.00,0.00,0.00,0.00
103,N'Golo Kanté,Chelsea ,1,67,0,0,0.03+0.03,0.00,0.04,0.00
104,Jamie Vardy,Leicester ,2,138,0,0,0.24+0.24,0.13+0.13,0.16,0.08
105,Jeffrey Schlupp,Crystal Palace ,2,27,0,0,0.03+0.03,0.00,0.11,0.00
106,Daniel Amartey,Leicester ,2,138,0,0,0.00,0.00,0.00,0.00
107,Demarai Gray,Everton ,2,171,0,1,0.31+0.31,0.81-0.19,0.16,0.42
108,Jamaal Lascelles,Newcastle United ,2,180,0,0,0.10+0.10,0.09+0.09,0.05,0.04
109,Jonjo Shelvey,Newcastle United ,1,6,0,0,0.00,0.03+0.03,0.00,0.49
110,Ayoze Pérez,Leicester ,1,10,0,0,0.15+0.15,0.00,1.37,0.00
111,Moussa Sissoko,Watford ,2,180,0,0,0.01+0.01,0.02+0.02,0.01,0.01
112,Andros Townsend,Everton ,2,180,0,0,0.10+0.10,0.23+0.23,0.05,0.11
113,Karl Darlow,Newcastle United ,2,180,0,0,0.00,0.00,0.00,0.00
114,Nathan Redmond ,Southampton,2,180,0,1,0.80+0.80,0.49-0.51,0.40,0.24
115,Ben Foster,Watford ,2,180,0,0,0.00,0.00,0.00,0.00
116,Craig Dawson,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
117,Jonny Evans,Leicester ,2,180,0,0,0.71+0.71,0.00,0.36,0.00
118,Salomón Rondón,Everton ,2,91,0,0,0.01+0.01,0.00,0.01,0.00
119,Virgil van Dijk,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
120,Oriol Romeu ,Southampton,2,180,0,0,0.09+0.09,0.15+0.15,0.05,0.08
121,James Ward-Prowse ,Southampton,1,82,0,0,0.00,0.06+0.06,0.00,0.06
122,Jay Rodriguez,Burnley ,1,18,0,0,0.05+0.05,0.00,0.24,0.00
123,Ciaran Clark,Newcastle United ,2,180,0,0,0.00,0.07+0.07,0.00,0.03
124,Fabian Delph,Everton ,1,42,0,0,0.01+0.01,0.00,0.03,0.00
125,Matt Targett,Aston Villa ,2,180,0,0,0.00,0.53+0.53,0.00,0.26
126,Kyle Walker-Peters ,Southampton,1,90,0,0,0.00,0.66+0.66,0.00,0.66
127,Adama Traoré,Wolverhampton Wanderers ,1,77,0,0,0.00,0.04+0.04,0.00,0.04
128,Axel Tuanzebe,Aston Villa ,1,52,0,0,0.00,0.00,0.00,0.00
129,Kurt Zouma,West Ham ,2,180,0,0,0.00,0.00,0.00,0.00
130,Alex Oxlade-Chamberlain,Liverpool ,2,92,0,1,0.09+0.09,0.48-0.52,0.09,0.47
131,Tim Krul,Norwich ,2,180,0,0,0.00,0.00,0.00,0.00
132,Mason Holgate,Everton ,1,90,0,0,0.47+0.47,0.00,0.47,0.00
133,Danny Ings,Aston Villa ,1,83,0,0,0.11+0.11,0.00,0.12,0.00
134,Ivan Toney,Brentford ,2,180,0,0,0.57+0.57,0.17+0.17,0.28,0.08
135,Luke Shaw,Manchester United ,2,180,0,0,0.01+0.01,0.09+0.09,0.01,0.04
136,Tyler Roberts,Leeds ,2,44,0,0,0.08+0.08,0.13+0.13,0.16,0.26
137,Matej Vydra,Burnley ,2,21,0,0,0.00,0.00,0.00,0.00
138,Tyrone Mings,Aston Villa ,2,126,0,0,0.00,0.00,0.00,0.00
139,Kieran Dowell,Norwich ,1,70,0,0,0.03+0.03,0.03+0.03,0.04,0.04
140,Sergi Canos,Brentford ,2,169,0,0,0.06+0.06,0.15+0.15,0.03,0.08
141,Bruno Fernandes,Manchester United ,2,144,0,1,0.09+0.09,0.28-0.72,0.06,0.18
142,Alisson,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
143,Allan,Everton ,2,180,0,0,0.08+0.08,0.01+0.01,0.04,0.01
144,Adam Masina,Watford ,2,180,0,0,0.04+0.04,0.04+0.04,0.02,0.02
145,Emil Krafth,Newcastle United ,2,180,0,1,0.09+0.09,0.09-0.91,0.04,0.05
146,Michael Keane,Everton ,2,180,0,2,0.11+0.11,0.30-1.70,0.06,0.15
147,Ben Mee,Burnley ,1,90,0,0,0.06+0.06,0.00,0.06,0.00
148,Johann Berg Gudmundsson,Burnley ,2,100,0,0,0.84+0.84,0.04+0.04,0.75,0.04
149,James Tarkowski,Burnley ,2,180,0,0,0.57+0.57,0.00,0.29,0.00
150,Ashley Fletcher,Watford ,1,6,0,0,0.42+0.42,0.00,6.32,0.00
151,Ryan Fraser,Newcastle United ,2,137,0,0,0.00,0.04+0.04,0.00,0.03
152,Harry Maguire,Manchester United ,2,180,0,0,0.04+0.04,0.00,0.02,0.00
153,Andrew Robertson,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
154,Ben Gibson,Norwich ,1,66,0,0,0.00,0.00,0.00,0.00
155,Adam Forshaw,Leeds ,1,12,0,0,0.00,0.06+0.06,0.00,0.44
156,Javier Manquillo,Newcastle United ,2,180,0,0,0.03+0.03,0.01+0.01,0.02,0.01
157,Paul Pogba,Manchester United ,1,15,0,0,0.00,0.00,0.00,0.00
158,Ainsley Maitland-Niles,Arsenal ,1,11,0,0,0.00,0.00,0.00,0.00
159,Trent Alexander-Arnold,Liverpool ,2,180,0,1,0.06+0.06,0.95-0.05,0.03,0.47
160,Pontus Jansson,Brentford ,2,180,0,0,0.53+0.53,0.00,0.26,0.00
161,Antonio Rüdiger,Chelsea ,2,180,0,0,0.25+0.25,0.02+0.02,0.13,0.01
162,Lucas Digne,Everton ,1,90,0,0,0.12+0.12,0.35+0.35,0.12,0.35
163,Diego Llorente,Leeds ,2,180,0,0,0.10+0.10,0.00,0.05,0.00
164,Vicente Guaita,Crystal Palace ,2,180,0,0,0.00,0.00,0.00,0.00
165,Emiliano Buendía,Aston Villa ,2,128,0,1,0.32+0.32,0.56-0.44,0.23,0.39
166,Raphael Varane,Manchester United ,1,90,0,0,0.00,0.00,0.00,0.00
167,Mateo Kovacic,Chelsea ,1,90,0,2,0.02+0.02,0.85-1.15,0.02,0.85
168,Saúl Ñíguez,Chelsea ,1,1,0,0,0.00,0.00,0.00,0.00
169,João Cancelo,Manchester City ,2,173,0,0,0.21+0.21,0.00,0.11,0.00
170,Rodri,Manchester City ,2,180,0,0,0.11+0.11,0.07+0.07,0.05,0.03
171,Aymeric Laporte,Manchester City ,2,136,0,0,0.00,0.04+0.04,0.00,0.03
172,Martin Odegaard,Arsenal ,2,46,0,0,0.03+0.03,0.18+0.18,0.06,0.35
173,Alexandre Lacazette,Arsenal ,2,134,0,0,0.00,0.05+0.05,0.00,0.03
174,Thiago Silva,Chelsea ,2,180,0,0,0.00,0.03+0.03,0.00,0.01
175,Lucas Moura,Tottenham ,2,145,0,0,0.13+0.13,0.41+0.41,0.08,0.25
176,Ricardo Pereira,Leicester ,1,90,0,0,0.00,0.03+0.03,0.00,0.03
177,Nicolas N'Koulou,Watford ,1,10,0,0,0.00,0.00,0.00,0.00
178,João Moutinho,Wolverhampton Wanderers ,2,180,0,0,0.17+0.17,0.03+0.03,0.08,0.01
179,Romain Saiss,Wolverhampton Wanderers ,2,180,0,0,0.00,0.00,0.00,0.00
180,Said Benrahma,West Ham ,2,152,0,1,0.28+0.28,0.12-0.88,0.16,0.07
181,Neal Maupay,Brighton ,1,60,0,0,0.00,0.00,0.00,0.00
182,Bernardo Silva,Manchester City ,2,180,0,1,0.08+0.08,1.10+0.10,0.04,0.55
183,Odsonne Edouard,Crystal Palace ,2,168,0,0,0.07+0.07,0.00,0.04,0.00
184,Mateusz Klich,Leeds ,1,64,0,0,0.03+0.03,0.00,0.04,0.00
185,Emiliano Martinez,Aston Villa ,2,180,0,0,0.00,0.00,0.00,0.00
186,Adam Armstrong ,Southampton,2,91,0,1,1.04+1.04,0.64-0.36,1.03,0.64
187,Jean-Philippe Gbamin,Everton ,1,48,0,0,0.00,0.00,0.00,0.00
188,Álvaro Fernández,Brentford ,1,90,0,0,0.00,0.00,0.00,0.00
189,Kai Havertz,Chelsea ,2,161,0,0,0.64+0.64,0.58+0.58,0.36,0.33
190,Leon Bailey,Aston Villa ,2,112,0,1,0.13+0.13,0.05-0.95,0.11,0.04
191,Caglar Söyüncü,Leicester ,2,160,0,0,0.00,0.00,0.00,0.00
192,Gabriel Jesus,Manchester City ,2,179,0,1,0.62+0.62,0.23-0.77,0.31,0.12
193,Luka Milivojevic,Crystal Palace ,1,75,0,0,0.02+0.02,0.00,0.02,0.00
194,Nick Pope,Burnley ,2,180,0,0,0.00,0.00,0.00,0.00
195,Ademola Lookman,Leicester ,1,42,0,0,0.04+0.04,0.00,0.09,0.00
196,Scott McTominay,Manchester United ,2,180,0,0,0.01+0.01,0.73+0.73,0.01,0.36
197,Aaron Wan-Bissaka,Manchester United ,2,180,0,0,0.03+0.03,0.11+0.11,0.01,0.06
198,Daniel James,Leeds ,2,168,0,1,0.53+0.53,0.17-0.83,0.29,0.09
199,Aaron Ramsdale,Arsenal ,2,180,0,0,0.00,0.00,0.00,0.00
200,Yves Bissouma,Brighton ,1,62,0,0,0.02+0.02,0.00,0.03,0.00
201,Anwar El Ghazi,Aston Villa ,2,23,0,0,0.00,0.02+0.02,0.00,0.07
202,Pierre Lees-Melou,Norwich ,1,47,0,0,0.00,0.00,0.00,0.00
203,Nicolas Pepe,Arsenal ,1,3,0,0,0.00,0.00,0.00,0.00
204,Ismaila Sarr,Watford ,2,158,0,0,0.16+0.16,0.44+0.44,0.09,0.25
205,Giovani Lo Celso,Tottenham ,2,79,0,0,0.13+0.13,0.51+0.51,0.14,0.58
206,Jean-Philippe Mateta,Crystal Palace ,1,2,0,0,0.00,0.00,0.00,0.00
207,Tanguy NDombele Alvaro,Tottenham ,2,108,0,0,0.14+0.14,0.32+0.32,0.12,0.27
208,Jan Bednarek ,Southampton,2,180,0,0,0.06+0.06,0.00,0.03,0.00
209,Charlie Taylor,Burnley ,2,180,0,1,0.04+0.04,0.52-0.48,0.02,0.26
210,Shane Duffy,Brighton ,1,90,0,0,0.06+0.06,0.00,0.06,0.00
211,Lewis Dunk,Brighton ,2,180,0,0,0.00,0.00,0.00,0.00
212,Solly March,Brighton ,2,180,0,1,0.33+0.33,0.07-0.93,0.16,0.04
213,Ederson,Manchester City ,2,180,0,0,0.00,0.00,0.00,0.00
214,Isaac Hayden,Newcastle United ,2,160,0,0,0.00,0.00,0.00,0.00
215,Victor Lindelöf,Manchester United ,2,180,0,0,0.00,0.00,0.00,0.00
216,Douglas Luiz,Aston Villa ,1,90,0,0,0.00,0.00,0.00,0.00
217,Timothy Castagne,Leicester ,2,180,0,0,0.00,0.02+0.02,0.00,0.01
218,Nélson Semedo,Wolverhampton Wanderers ,2,180,0,0,0.00,0.45+0.45,0.00,0.23
219,Lyanco ,Southampton,1,1,0,0,0.00,0.00,0.00,0.00
220,Nikola Vlasic,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
221,Boubakary Soumare,Leicester ,2,180,0,0,0.04+0.04,0.00,0.02,0.00
222,Joachim Andersen,Crystal Palace ,2,180,0,0,0.00,0.00,0.00,0.00
223,Ibrahima Konaté,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
224,Romain Perraud ,Southampton,1,90,0,0,0.01+0.01,0.05+0.05,0.01,0.05
225,Milot Rashica,Norwich ,2,133,0,1,0.55+0.55,0.10-0.90,0.37,0.07
226,Bryan Mbeumo,Brentford ,1,59,0,0,0.15+0.15,0.00,0.23,0.00
227,Trevoh Chalobah,Chelsea ,1,90,0,0,0.00,0.05+0.05,0.00,0.05
228,Joe Willock,Newcastle United ,2,43,0,0,0.00,0.00,0.00,0.00
229,Curtis Jones,Liverpool ,2,153,0,0,0.15+0.15,0.03+0.03,0.09,0.02
230,Rayan Ait Nouri,Wolverhampton Wanderers ,2,174,0,1,0.06+0.06,0.19-0.81,0.03,0.10
231,Harvey Barnes,Leicester ,1,42,0,0,0.78+0.78,0.00,1.68,0.00
232,Ibrahima Diallo ,Southampton,2,98,0,1,0.04+0.04,0.11-0.89,0.04,0.10
233,Dwight McNeil,Burnley ,2,180,0,1,0.14+0.14,0.25-0.75,0.07,0.12
234,Fred,Manchester United ,2,180,0,0,0.01+0.01,0.03+0.03,0.01,0.02
235,Ken Sema,Watford ,1,42,0,0,0.00,0.00,0.00,0.00
236,Conor Coady,Wolverhampton Wanderers ,2,180,0,0,0.13+0.13,0.00,0.07,0.00
237,Rúben Neves,Wolverhampton Wanderers ,2,91,0,0,0.07+0.07,0.00,0.07,0.00
238,Kortney Hause,Aston Villa ,1,90,0,0,0.00,0.00,0.00,0.00
239,Edouard Mendy,Chelsea ,2,180,0,0,0.00,0.00,0.00,0.00
240,Stuart Armstrong ,Southampton,2,32,0,0,0.00,0.06+0.06,0.00,0.17
241,Mohamed Elyounoussi ,Southampton,2,162,0,0,0.09+0.09,0.12+0.12,0.05,0.06
242,Mohammed Salisu ,Southampton,2,180,0,0,0.00,0.00,0.00,0.00
243,Juan Camilo Hernández,Watford ,2,138,0,1,0.23+0.23,0.32-0.68,0.15,0.21
244,William Troost-Ekong,Watford ,2,180,0,0,0.00,0.00,0.00,0.00
245,Sean Longstaff,Newcastle United ,2,152,0,0,0.01+0.01,0.00,0.01,0.00
246,Christian Nørgaard,Brentford ,2,180,0,1,0.15+0.15,0.59-0.41,0.08,0.29
247,Marc Cucurella,Brighton ,2,180,0,0,0.02+0.02,0.55+0.55,0.01,0.28
248,Mathias Jensen,Brentford ,2,160,0,1,0.00,0.24-0.76,0.00,0.14
249,Sergio Reguilón,Tottenham ,1,85,0,0,0.02+0.02,0.14+0.14,0.02,0.15
250,Oliver Skipp,Tottenham ,2,157,0,0,0.00,0.00,0.00,0.00
251,Cristian Romero,Tottenham ,2,180,0,0,0.00,0.00,0.00,0.00
252,Leander Dendoncker,Wolverhampton Wanderers ,2,91,0,0,0.00,0.00,0.00,0.00
253,Diogo Dalot,Manchester United ,1,23,0,0,0.00,0.04+0.04,0.00,0.17
254,Joshua Sargent,Norwich ,2,148,0,0,0.00,0.00,0.00,0.00
255,Ben White,Arsenal ,2,180,0,0,0.00,0.00,0.00,0.00
256,Bukayo Saka,Arsenal ,2,177,0,1,0.88+0.88,0.58-0.42,0.45,0.30
257,Bryan Gil Salvatierra,Tottenham ,1,5,0,0,0.00,0.00,0.00,0.00
258,Ozan Kabak,Norwich ,2,180,0,0,0.02+0.02,0.00,0.01,0.00
259,Dan Burn,Brighton ,1,59,0,0,0.00,0.00,0.00,0.00
260,Miguel Almirón,Newcastle United ,2,42,0,0,0.01+0.01,0.01+0.01,0.02,0.03
261,Emerson,Tottenham ,2,180,0,0,0.00,0.05+0.05,0.00,0.02
262,Mathias Normann,Norwich ,2,180,0,0,0.04+0.04,0.05+0.05,0.02,0.02
263,Mason Greenwood,Manchester United ,1,51,0,0,0.04+0.04,0.36+0.36,0.08,0.63
264,Marc Guehi,Crystal Palace ,2,180,0,0,0.09+0.09,0.00,0.05,0.00
265,Max Aarons,Norwich ,2,180,0,0,0.07+0.07,0.00,0.03,0.00
266,Ben Godfrey,Everton ,2,180,0,0,0.07+0.07,0.01+0.01,0.03,0.01
267,Grant Hanley,Norwich ,2,179,0,0,0.00,0.07+0.07,0.00,0.03
268,Kenny McLean,Norwich ,2,180,0,0,0.08+0.08,0.00,0.04,0.00
269,Teemu Pukki,Norwich ,2,180,0,0,0.06+0.06,0.24+0.24,0.03,0.12
270,John McGinn,Aston Villa ,2,180,0,0,0.13+0.13,0.07+0.07,0.07,0.04
271,Ezri Konsa Ngoyo,Aston Villa ,2,142,0,0,0.01+0.01,0.00,0.01,0.00
272,Gabriel Martinelli,Arsenal ,1,1,0,0,0.00,0.00,0.00,0.00
273,Takehiro Tomiyasu,Arsenal ,2,180,0,0,0.01+0.01,0.00,0.01,0.00
274,Adam Idah,Norwich ,1,12,0,0,0.00,0.00,0.00,0.00
275,Marvelous Nakamba,Aston Villa ,1,90,0,0,0.00,0.00,0.00,0.00
276,Brandon Williams,Norwich ,1,43,0,0,0.00,0.01+0.01,0.00,0.02
277,Anthony Gordon,Everton ,2,74,0,0,0.38+0.38,0.13+0.13,0.46,0.16
278,Tyrick Mitchell,Crystal Palace ,2,180,0,1,0.00,0.47-0.53,0.00,0.24
279,Tariq Lamptey,Brighton ,2,53,0,0,0.04+0.04,0.01+0.01,0.07,0.02
280,Jeremy Ngakia,Watford ,2,164,0,0,0.00,0.00,0.00,0.00
281,Takumi Minamino,Liverpool ,1,1,0,0,0.00,0.00,0.00,0.00
282,João Pedro,Watford ,2,70,0,1,0.07+0.07,0.50-0.50,0.09,0.64
283,Tomas Soucek,West Ham ,2,180,0,0,0.76+0.76,0.09+0.09,0.38,0.05
284,Daniel Podence,Wolverhampton Wanderers ,2,22,0,0,0.10+0.10,0.00,0.42,0.00
285,Steven Bergwijn,Tottenham ,2,36,0,0,0.00,0.00,0.00,0.00
286,Josh Brownhill,Burnley ,2,180,0,0,0.00,0.10+0.10,0.00,0.05
287,Ki-Jana Hoever,Wolverhampton Wanderers ,1,6,0,0,0.00,0.00,0.00,0.00
288,Luke Thomas,Leicester ,1,90,0,0,0.07+0.07,0.02+0.02,0.07,0.02
289,Illan Meslier,Leeds ,2,180,0,0,0.00,0.00,0.00,0.00
290,Pascal Struijk,Leeds ,2,180,0,0,0.00,0.00,0.00,0.00
291,Stuart Dallas,Leeds ,2,180,0,0,0.09+0.09,0.60+0.60,0.04,0.30
292,Kalvin Phillips,Leeds ,1,90,0,1,0.00,0.04-0.96,0.00,0.04
293,Jack Harrison,Leeds ,2,137,0,0,0.11+0.11,0.16+0.16,0.07,0.11
294,Jamie Shackleton,Leeds ,2,162,0,0,0.00,0.00,0.00,0.00
295,Fabio Silva,Wolverhampton Wanderers ,1,1,0,0,0.00,0.00,0.00,0.00
296,Joël Veltman,Brighton ,2,180,0,0,0.00,0.00,0.00,0.00
297,Liam Cooper,Leeds ,2,180,0,0,0.09+0.09,0.00,0.05,0.00
