,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
0,Joshua King,Watford ,2,180,3,0,2.25-0.75,0.57+0.57,1.12,0.28
1,Mohamed Salah,Liverpool ,2,180,3,2,2.40-0.60,0.97-1.03,1.20,0.49
2,Maxwel Cornet,Burnley ,2,150,3,0,0.52-2.48,0.48+0.48,0.31,0.29
3,Mason Mount,Chelsea ,1,90,3,1,1.52-1.48,0.44-0.56,1.52,0.44
4,Reece James,Chelsea ,2,180,3,0,0.48-2.52,0.57+0.57,0.24,0.28
5,Rodrigo,Leeds ,2,179,2,0,0.92-1.08,0.61+0.61,0.46,0.30
6,Phil Foden,Manchester City ,2,180,2,1,1.45-0.55,0.64-0.36,0.73,0.32
7,Emile Smith-Rowe,Arsenal ,2,180,2,1,0.27-1.73,1.11+0.11,0.13,0.55
8,Ilkay Gündogan,Manchester City ,1,77,1,0,0.97-0.03,0.36+0.36,1.13,0.42
9,Pierre-Emerick Aubameyang,Arsenal ,2,180,1,1,2.26+1.26,0.18-0.82,1.13,0.09
10,Callum Wilson,Newcastle United ,2,180,1,0,0.60-0.40,0.00,0.30,0.00
11,Alex Iwobi,Everton ,2,89,1,0,0.07-0.93,0.61+0.61,0.07,0.62
12,Wilfried Zaha,Crystal Palace ,2,111,1,0,0.40-0.60,0.16+0.16,0.32,0.13
13,Michail Antonio,West Ham ,2,180,1,0,0.69-0.31,0.70+0.70,0.35,0.35
14,Marcus Rashford,Manchester United ,2,85,1,0,0.53-0.47,0.00,0.56,0.00
15,Jordan Henderson,Liverpool ,2,180,1,1,0.10-0.90,0.83-0.17,0.05,0.42
16,Christian Benteke,Crystal Palace ,2,110,1,0,1.99+0.99,0.17+0.17,1.63,0.14
17,Riyad Mahrez,Manchester City ,2,8,1,0,0.49-0.51,0.00,5.55,0.00
18,Ben Chilwell,Chelsea ,2,180,1,0,0.06-0.94,0.09+0.09,0.03,0.04
19,Sadio Mané,Liverpool ,2,98,1,0,0.54-0.46,0.15+0.15,0.50,0.14
20,Tom Davies,Everton ,1,90,1,0,0.87-0.13,0.00,0.87,0.00
21,Juraj Kucka,Watford ,2,180,1,0,0.31-0.69,0.10+0.10,0.15,0.05
22,Jorginho,Chelsea ,2,155,1,1,0.78-0.22,0.12-0.88,0.45,0.07
23,Matthew Lowton,Burnley ,2,180,1,1,0.54-0.46,0.47-0.53,0.27,0.24
24,Jarrod Bowen,West Ham ,2,180,1,0,1.84+0.84,0.09+0.09,0.92,0.04
25,Thomas Partey,Arsenal ,2,180,1,0,1.09+0.09,0.00,0.54,0.00
26,Pablo Fornals,West Ham ,2,180,1,0,0.82-0.18,0.68+0.68,0.41,0.34
27,Cristiano Ronaldo,Manchester United ,2,162,1,1,0.55-0.45,0.58-0.42,0.30,0.32
28,Edinson Cavani,Manchester United ,2,106,1,0,1.44+0.44,0.00,1.22,0.00
29,Raúl Jiménez,Wolverhampton Wanderers ,2,180,1,0,0.90-0.10,0.04+0.04,0.45,0.02
30,Chris Wood,Burnley ,2,180,1,0,0.81-0.19,0.00,0.40,0.00
31,Naby Keita,Liverpool ,2,88,1,1,0.37-0.63,0.81-0.19,0.38,0.82
32,Declan Rice,West Ham ,2,180,1,1,0.12-0.88,0.11-0.89,0.06,0.05
33,Gabriel,Arsenal ,2,180,1,0,0.12-0.88,0.03+0.03,0.06,0.01
34,Youri Tielemans,Leicester ,2,180,1,0,0.05-0.95,0.86+0.86,0.02,0.43
35,Richarlison,Everton ,2,116,1,0,0.90-0.10,0.08+0.08,0.70,0.06
36,Zanka,Brentford ,2,180,1,0,0.14-0.86,0.02+0.02,0.07,0.01
37,Ben Johnson,West Ham ,2,180,1,0,0.09-0.91,0.06+0.06,0.04,0.03
38,Callum Hudson-Odoi,Chelsea ,2,161,1,0,0.33-0.67,0.23+0.23,0.19,0.13
39,James Maddison,Leicester ,2,153,1,0,0.73-0.27,0.37+0.37,0.43,0.22
40,Diogo Jota,Liverpool ,2,100,1,1,0.84-0.16,0.62-0.38,0.75,0.56
41,Saman Ghoddos,Brentford ,2,42,1,0,0.16-0.84,0.03+0.03,0.35,0.06
42,Max Kilman,Wolverhampton Wanderers ,2,180,1,0,0.14-0.86,0.00,0.07,0.00
43,Leandro Trossard,Brighton ,2,180,1,0,0.70-0.30,0.44+0.44,0.35,0.22
44,Che Adams ,Southampton,2,99,1,0,0.68-0.32,0.09+0.09,0.62,0.08
45,Raphinha,Leeds ,2,145,1,0,0.46-0.54,0.17+0.17,0.29,0.10
46,Alexis Mac Allister,Brighton ,2,44,1,0,0.76-0.24,0.00,1.56,0.00
47,Armando Broja ,Southampton,1,81,1,0,0.20-0.80,0.00,0.22,0.00
