,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
187,Yarmolenko,5.1,9,MID,1.0,WHU,1.76,yarmolenko
15,Barnes,5.2,9,FWD,1.1,BUR,1.73,barnes
166,Djenepo,5.2,9,MID,1.1,SOU,1.73,djenepo
3,Holding,4.1,7,DEF,1.8,ARS,1.71,holding
41,Martial,7.6,13,FWD,1.9,MUN,1.71,martial
115,Elliott,5.3,9,MID,2.2,LIV,1.70,elliott
142,Hendrick,4.8,8,MID,2.7,NEW,1.67,hendrick
134,Rose,4.2,7,DEF,0.9,WAT,1.67,rose
46,Sarr,4.9,8,DEF,8.0,CHE,1.63,sarr
184,Etebo,4.3,7,MID,1.2,WAT,1.63,etebo
186,Tufan,5.0,8,MID,1.3,WAT,1.60,tufan
123,Lyanco,4.4,7,DEF,0.9,SOU,1.59,lyanco
20,Steffen,4.5,7,GKP,7.0,MCI,1.56,steffen
181,Sema,5.2,8,MID,1.1,WAT,1.54,sema
174,Lo Celso,5.9,9,MID,1.3,TOT,1.53,lo celso
153,Placheta,4.7,7,MID,1.8,NOR,1.49,placheta
62,Fabio Silva,5.6,8,FWD,1.0,WOL,1.43,fabio silva
10,Traoré,5.7,8,MID,1.6,AVL,1.40,traore
70,Delph,4.3,6,MID,1.0,EVE,1.40,delph
18,Kelleher,4.3,6,GKP,6.0,LIV,1.40,kelleher
194,Vlasic,5.7,8,MID,1.1,WHU,1.40,vlasic
50,Barkley,5.2,7,MID,1.4,CHE,1.35,barkley
9,Arrizabalaga,4.7,6,GKP,6.0,CHE,1.28,arrizabalaga
142,Nkoulou,4.4,5,DEF,1.7,WAT,1.14,nkoulou
100,Summerville,4.5,5,MID,1.0,LEE,1.11,summerville
177,Bryan,5.7,6,MID,1.0,TOT,1.05,bryan
86,N.Williams,3.9,4,DEF,4.0,LIV,1.03,n.williams
47,Lennon,4.9,5,MID,0.8,BUR,1.02,lennon
11,Sanson,5.0,5,MID,1.2,AVL,1.00,sanson
78,Cresswell,4.0,4,DEF,1.0,LEE,1.00,cresswell
183,Louza,5.2,5,MID,1.0,WAT,0.96,louza
11,Connolly,5.3,5,FWD,1.2,BHA,0.94,connolly
112,Sørensen,4.3,4,DEF,1.3,NOR,0.93,sørensen
0,Leno,4.5,4,GKP,1.3,ARS,0.89,leno
71,Bertrand,4.6,4,DEF,1.0,LEI,0.87,bertrand
161,S.Armstrong,5.8,5,MID,1.0,SOU,0.86,s.armstrong
36,Alzate,4.8,4,MID,1.3,BHA,0.83,alzate
59,Saúl,5.0,4,MID,0.8,CHE,0.80,saul
44,Gayle,5.2,4,FWD,1.0,NEW,0.77,gayle
33,Pieters,4.2,3,DEF,1.0,BUR,0.71,pieters
140,Sierralta,4.3,3,DEF,1.0,WAT,0.70,sierralta
137,Kabasele,4.3,3,DEF,1.0,WAT,0.70,kabasele
79,Gbamin,4.4,3,MID,1.0,EVE,0.68,gbamin
27,Bidstrup,4.4,3,MID,1.0,BRE,0.68,bidstrup
12,Butland,4.4,3,GKP,1.5,CRY,0.68,butland
62,Kenny,4.4,3,DEF,1.5,EVE,0.68,kenny
7,Archer,4.5,3,FWD,1.0,AVL,0.67,archer
65,Riedewald,4.7,3,MID,1.5,CRY,0.64,riedewald
124,Doherty,4.7,3,DEF,1.0,TOT,0.64,doherty
83,Gomez,4.7,3,DEF,1.0,LIV,0.64,gomez
55,Fletcher,4.9,3,FWD,1.0,WAT,0.61,fletcher
22,Mateta,5.2,3,FWD,1.0,CRY,0.58,mateta
2,Nketiah,5.4,3,FWD,1.0,ARS,0.56,nketiah
6,Steele,4.0,2,GKP,2.0,BHA,0.50,steele
0,Cédric,4.2,2,DEF,0.5,ARS,0.48,cedric
55,Clyne,4.3,2,DEF,1.0,CRY,0.47,clyne
85,Choudhury,4.4,2,MID,1.0,LEI,0.45,choudhury
40,Richards,4.5,2,MID,1.0,BHA,0.44,richards
80,Onyango,4.5,2,MID,1.0,EVE,0.44,onyango
28,Dobbin,4.5,2,FWD,0.7,EVE,0.44,dobbin
28,Caballero,4.5,2,GKP,1.0,SOU,0.44,caballero
27,Simms,4.5,2,FWD,2.0,EVE,0.44,simms
164,Smallbone,4.5,2,MID,2.0,SOU,0.44,smallbone
41,Sarmiento,4.5,2,MID,1.0,BHA,0.44,sarmiento
3,Balogun,4.7,2,FWD,1.0,ARS,0.43,balogun
52,Long,5.4,2,FWD,1.0,SOU,0.37,long
66,Eze,5.9,2,MID,1.0,CRY,0.34,eze
14,Begović,4.0,1,GKP,1.0,EVE,0.25,begovic
152,Ashby,4.0,1,DEF,1.0,WHU,0.25,ashby
2,Steer,4.0,1,GKP,1.0,AVL,0.25,steer
1,Marí,4.2,1,DEF,0.5,ARS,0.24,mari
2,Chambers,4.2,1,DEF,0.5,ARS,0.24,chambers
147,Fredericks,4.4,1,DEF,1.0,WHU,0.23,fredericks
23,Thompson,4.4,1,DEF,1.0,BRE,0.23,thompson
26,Forster,4.4,1,GKP,1.0,SOU,0.23,forster
131,Rodon,4.3,1,DEF,1.0,TOT,0.23,rodon
20,Sørensen,4.3,1,DEF,0.5,BRE,0.23,sørensen
128,McAtee,4.4,1,MID,1.0,MCI,0.23,mcatee
103,McKinstry,4.3,1,MID,1.0,LEE,0.23,mckinstry
69,Rak-Sakyi,4.4,1,MID,1.0,CRY,0.23,rak-sakyi
38,Roberts,4.5,1,DEF,1.0,BUR,0.22,roberts
102,McCarron,4.5,1,MID,1.0,LEE,0.22,mccarron
50,Ferguson,4.5,1,DEF,1.0,CRY,0.22,ferguson
5,Davis,4.5,1,FWD,1.0,AVL,0.22,davis
13,Locadia,4.5,1,FWD,1.0,BHA,0.22,locadia
35,Greenwood,4.5,1,FWD,1.0,LEE,0.22,greenwood
91,McAteer,4.5,1,MID,1.0,LEI,0.22,mcateer
116,Morton,4.5,1,MID,0.5,LIV,0.22,morton
139,Elanga,4.8,1,MID,1.0,MUN,0.21,elanga
179,Gosling,4.7,1,MID,1.0,WAT,0.21,gosling
29,Tosun,5.0,1,FWD,1.0,EVE,0.20,tosun
19,Philogene-Bidace,5.0,1,MID,1.0,AVL,0.20,philogene-bidace
75,Koch,4.3,-1,DEF,-0.5,LEE,-0.23,koch
