name,team,position,status,playing chance %,ownership %,news
Redmond,SOU,MID,Doubtful,75,0.1,Ankle injury - 75% chance of playing
Reguilón,TOT,DEF,Doubtful,100,14.0,Illness - 75% chance of playing
Reid,WHU,DEF,NotAvail,0,0.8,Left the club by mutual consent
Richards,BHA,MID,NotAvail,0,0.0,Season-long loan to Birmingham City
Ritchie,NEW,DEF,Injured,0,0.2,Knee injury - Unknown return date
Rose,WAT,DEF,NotAvail,0,0.2,Not included in Watford's 25-man Premier League squad - Unknown return date
Rupp,NOR,MID,Doubtful,0,0.2,Hamstring injury - 50% chance of playing
Ryan,BHA,GKP,NotAvail,0,0.0,Transferred to Real Sociedad
Rúnarsson,ARS,GKP,NotAvail,0,0.6,Joined OH Leuven on a season-long loan - Expected back 01 Jul
Saint-Maximin,NEW,FWD,Doubtful,100,16.1,Knock - 75% chance of playing
Saliba,ARS,DEF,NotAvail,0,0.0,Joined Marseille on loan for 2021/22. - Expected back 23 May
Samatta,AVL,FWD,NotAvail,0,0.0,Transferred to Fenerbahce
Sanderson,WOL,DEF,NotAvail,0,0.0,Joined QPR on loan until the end of the season - Expected back 01 Jul
Sarmiento,BHA,MID,Injured,0,0.0,Hamstring injury - Expected back 03 May
Scherpen,BHA,GKP,NotAvail,0,0.0,Joined Oostende on loan until the end of the season - Expected back 01 Jul
Shaqiri,LIV,MID,NotAvail,0,0.0,Transferred to Lyon
Sigurdsson,EVE,MID,NotAvail,0,0.7,Not included in Everton's 25-man Premier League squad - Unknown return date
Simeu,SOU,DEF,NotAvail,0,0.0,Joined Carlisle on loan until the end of the season - Expected back 01 Jul
Simms,EVE,FWD,NotAvail,0,0.3,Joined Heart of Midlothian on loan until the end of the season - Expected back 01 Jul
Skipp,TOT,MID,Injured,0,0.7,Groin Injury - Unknown return date
Steer,AVL,GKP,NotAvail,0,2.3,Joined Luton Town on loan until the end of the season - Expected back 01 Jul
Stiepermann,NOR,MID,NotAvail,0,0.0,Left the club by mutual consent on 30/6. - Unknown return date
Street,CRY,FWD,NotAvail,0,0.9,Joined Newport County on loan until the end of the season - Expected back 01 Jul
Success,WAT,FWD,NotAvail,0,0.1,Transferred to Udinese
Söndergaard,WOL,GKP,NotAvail,0,1.1,Joined Hereford on loan until the end of the season - Expected back 01 Jul
Sørensen,NOR,DEF,Doubtful,0,0.0,Knee injury - 50% chance of playing
Tanganga,TOT,DEF,Injured,0,1.0,Knee injury - Unknown return date
Tarkowski,BUR,DEF,Doubtful,100,1.5,Illness - 75% chance of playing
Taylor,BUR,DEF,Doubtful,25,0.3,Foot injury - 75% chance of playing
Tella,SOU,MID,Doubtful,0,0.0,Groin Injury - 50% chance of playing
Thompson,BRE,DEF,NotAvail,0,0.0,Joined Ipswich Town on loan until the end of the season - Expected back 01 Jul
Toney,BRE,FWD,Doubtful,75,8.7,Lack of match fitness - 75% chance of playing
Torreira,ARS,MID,NotAvail,0,0.1,Joined Fiorentina on a season-long loan - Expected back 01 Jul
Torres,MCI,MID,NotAvail,0,2.0,Transferred to Barcelona
Traoré,AVL,MID,Injured,0,0.3,Hamstring injury - Unknown return date
Traoré,WOL,MID,NotAvail,0,1.2,Joined Barcelona on loan until the end of the season - Expected back 01 Jul
Trippier,NEW,DEF,Injured,0,0.7,Foot injury - Unknown return date
Trézéguet,AVL,MID,NotAvail,0,0.0,Joined Istanbul Basaksehir on loan until the end of the season
Tuanzebe,MUN,DEF,NotAvail,0,0.4,Season-long loan to Napoli
Tufan,WAT,MID,NotAvail,0,0.0,Left club by mutual consent
Vardy,LEI,FWD,Injured,0,8.8,Hamstring injury - Expected back 01 Mar
Virgínia,EVE,GKP,NotAvail,0,0.8,Joined Sporting Lisbon on a season-long loan - Expected back 01 Jul
Vydra,BUR,FWD,Injured,0,0.3,Hernia - Unknown return date
Ward,CRY,DEF,Doubtful,100,0.3,Knock - 50% chance of playing
Webster,BHA,DEF,Doubtful,100,0.7,Groin Injury - 75% chance of playing
Wesley,AVL,FWD,NotAvail,0,0.1,Season-long loan to Club Brugge
Westwood,BUR,MID,Doubtful,100,0.3,Illness - 75% chance of playing
White,NEW,MID,NotAvail,0,0.1,Joined Hartlepool United on loan until the end of the season - Expected back 01 Jul
Willian,ARS,MID,NotAvail,0,0.1,Transferred to Corinthians
Wilmot,WAT,DEF,NotAvail,0,0.0,Transferred to Stoke City
Wilson,NEW,FWD,Injured,0,1.2,Calf injury - Expected back 07 May
Woodburn,LIV,MID,NotAvail,0,0.0,Joined Hearts on a season-long loan - Expected back 01 Jul
Woodman,NEW,GKP,NotAvail,0,0.3,Joined Bournemouth on loan until the end of the season - Expected back 01 Jul
Zamburek,BRE,MID,NotAvail,0,0.6,Transferred to Viborg
Zanka,BRE,DEF,Doubtful,25,0.0,Lack of match fitness - 75% chance of playing
Zeqiri,BHA,FWD,NotAvail,0,0.3,Joined Augsburg on a season-long loan - Expected back 01 Jul
Zinckernagel,WAT,MID,NotAvail,0,0.0,Joined Nottingham Forest on a season-long loan - Expected back 01 Jul
Ziyech,CHE,MID,Doubtful,100,1.4,Knock - 75% chance of playing
