,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
421,Lyanco,Southampton,D,A,0.1,£4.5m,0,---,101879
422,Valery,Southampton,D,A,1.1,£4.0m,0,---,101879
423,Smallbone,Southampton,M,A,0.2,£4.5m,0,---,101879
424,Diallo,Southampton,M,A,1.2,£4.5m,0,---,101879
425,Perraud,Southampton,D,A,0.1,£4.5m,0,---,101879
426,Djenepo,Southampton,M,A,0,£5.0m,0,---,101879
427,Livramento,Southampton,D,I,0,£4.5m,0,---,101879
428,Salisu,Southampton,D,A,0.2,£4.5m,0,---,101879
429,Lis,Southampton,G,A,0.6,£4.0m,0,---,101879
430,Bazunu,Southampton,G,A,1.3,£4.5m,0,---,101879
431,Bella-Kotchap,Southampton,D,A,0.1,£4.5m,0,---,101879
432,Caballero,Southampton,G,A,2.3,£4.0m,0,---,101879
433,Lloris,Spurs,G,A,4.6,£5.5m,0,---,101879
434,Forster,Spurs,G,A,11,£4.0m,0,---,101879
435,Kane,Spurs,F,A,17.6,£11.5m,0,---,101879
436,Son,Spurs,M,A,26.5,£12.0m,0,---,101879
437,Doherty,Spurs,D,A,2,£5.0m,0,---,101879
438,Dier,Spurs,D,A,2.7,£5.0m,0,---,101879
439,Lucas Moura,Spurs,M,A,0.3,£6.0m,0,---,101879
440,Davies,Spurs,D,A,0.6,£5.0m,0,---,101879
441,Højbjerg,Spurs,M,A,0.8,£5.5m,0,---,101879
442,Winks,Spurs,M,A,2.3,£4.5m,0,---,101879
443,Sánchez,Spurs,D,A,0.6,£4.5m,0,---,101879
444,R.Sessegnon,Spurs,D,A,0.5,£4.5m,0,---,101879
445,Bergwijn,Spurs,M,U,0.1,£5.5m,0,---,101879
446,Reguilón,Spurs,D,A,3.1,£4.5m,0,---,101879
447,Tanganga,Spurs,D,A,4.8,£4.0m,0,---,101879
448,Bentancur,Spurs,M,A,0.5,£5.5m,0,---,101879
449,Skipp,Spurs,M,A,0.5,£4.5m,0,---,101879
450,Rodon,Spurs,D,A,0.5,£4.0m,0,---,101879
451,Romero,Spurs,D,A,2.8,£5.0m,0,---,101879
452,Bissouma,Spurs,M,A,1.9,£5.0m,0,---,101879
453,Emerson Royal,Spurs,D,A,0.7,£5.0m,0,---,101879
454,Kulusevski,Spurs,M,A,10.2,£8.0m,0,---,101879
455,Scarlett,Spurs,F,A,0.7,£4.5m,0,---,101879
456,Perišić,Spurs,D,A,42.9,£5.5m,0,---,101879
457,White,Spurs,M,A,0.3,£4.5m,0,---,101879
458,Sarr,Spurs,M,A,0.4,£4.5m,0,---,101879
459,Austin,Spurs,G,A,0.3,£4.0m,0,---,101879
460,Devine,Spurs,M,A,0.1,£4.5m,0,---,101879
461,Parrott,Spurs,F,A,1.2,£4.5m,0,---,101879
462,Richarlison,Spurs,F,S,0.5,£8.5m,0,---,101879
463,Fabianski,West Ham,G,A,1.1,£5.0m,0,---,101879
464,Ogbonna,West Ham,D,A,0.1,£4.5m,0,---,101879
465,Cresswell,West Ham,D,A,3.6,£5.0m,0,---,101879
466,Antonio,West Ham,F,A,4.3,£7.5m,0,---,101879
467,Dawson,West Ham,D,A,0.5,£5.0m,0,---,101879
468,Lanzini,West Ham,M,A,0.4,£5.5m,0,---,101879
469,Zouma,West Ham,D,A,1.2,£4.5m,0,---,101879
470,Masuaku,West Ham,D,A,0.1,£4.5m,0,---,101879
471,Coufal,West Ham,D,A,2.1,£4.5m,0,---,101879
472,Benrahma,West Ham,M,A,3,£6.0m,0,---,101879
473,Bowen,West Ham,M,A,9.6,£8.5m,0,---,101879
474,Vlasic,West Ham,M,A,0.1,£5.0m,0,---,101879
475,Rice,West Ham,M,A,6.3,£5.0m,0,---,101879
476,Soucek,West Ham,M,A,1.9,£5.5m,0,---,101879
477,Fornals,West Ham,M,A,2.2,£5.5m,0,---,101879
478,Diop,West Ham,D,A,0.2,£4.5m,0,---,101879
479,Johnson,West Ham,D,A,0.1,£4.5m,0,---,101879
480,Aguerd,West Ham,D,A,0.5,£5.0m,0,---,101879
481,Areola,West Ham,G,A,1.6,£4.5m,0,---,101879
482,Boly,Wolves,D,A,0.3,£4.5m,0,---,101879
483,Coady,Wolves,D,A,4.9,£5.0m,0,---,101879
484,Jiménez,Wolves,F,A,2.4,£7.0m,0,---,101879
485,Jonny,Wolves,D,A,1.3,£4.5m,0,---,101879
486,Sá,Wolves,G,A,4.9,£5.0m,0,---,101879
487,Dendoncker,Wolves,M,A,0.2,£5.0m,0,---,101879
488,Neves,Wolves,M,A,1.4,£5.5m,0,---,101879
489,Hwang,Wolves,M,A,0.5,£6.0m,0,---,101879
490,Semedo,Wolves,D,I,0,£5.0m,0,---,101879
491,Podence,Wolves,M,A,0.4,£5.5m,0,---,101879
492,Kilman,Wolves,D,I,0.1,£4.5m,0,---,101879
493,Cundle,Wolves,M,A,0.5,£4.5m,0,---,101879
494,Neto,Wolves,M,A,21.9,£5.5m,0,---,101879
495,Aït-Nouri,Wolves,D,A,3,£4.5m,0,---,101879
496,Fabio Silva,Wolves,F,A,0.6,£5.5m,0,---,101879
497,Toti,Wolves,D,A,0.8,£4.0m,0,---,101879
498,Chiquinho,Wolves,M,I,0,£5.0m,0,---,101879
499,Adama,Wolves,M,A,0.6,£5.5m,0,---,101879
500,Šarkić,Wolves,G,A,3.1,£4.0m,0,---,101879
501,Gibbs-White,Wolves,M,A,0.3,£5.5m,0,---,101879
502,Mosquera,Wolves,D,A,1.2,£4.0m,0,---,101879
503,Moutinho,Wolves,M,A,2,£5.0m,0,---,101879
504,Rothwell,Bournemouth,M,A,0,£5.0m,0,---,101879
505,Adams,Leeds,M,A,0.2,£5.0m,0,---,101879
506,Niakhaté,Nott'm Forest,D,A,0.3,£4.5m,0,---,101879
507,Sinisterra,Leeds,M,A,1.1,£6.5m,0,"16 Jul 11:20 AM, GMT",101879
508,Downes,West Ham,M,A,0.4,£4.5m,0,"16 Jul 11:20 AM, GMT",101879
509,Hickey,Brentford,D,A,0.2,£5.0m,0,"19 Jul 02:20 PM, GMT",
510,Richards,Nott'm Forest,D,A,0.1,£4.5m,0,"19 Jul 02:21 PM, GMT",
511,Aribo,Southampton,M,A,0.3,£5.5m,0,"19 Jul 02:21 PM, GMT",
512,Lenglet,Spurs,D,A,0.3,£5.0m,0,"19 Jul 02:21 PM, GMT",
513,C.Doucouré,Crystal Palace,M,A,0.1,£5.0m,0,"20 Jul 12:20 PM, GMT",
514,Lewis-Potter,Brentford,M,A,0.1,£5.5m,0,"21 Jul 12:20 PM, GMT",
515,Collins,Wolves,D,A,0.2,£4.5m,0,"21 Jul 12:21 PM, GMT",
516,Strakosha,Brentford,G,A,0,£4.5m,0,"23 Jul 12:20 PM, GMT",
517,Hennessey,Nott'm Forest,G,A,0.1,£4.0m,0,"23 Jul 12:20 PM, GMT",
