,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
125,Kozłowski,Brighton,M,A,0.1,£4.5m,0,---,101879
126,Azpilicueta,Chelsea,D,A,0.9,£5.0m,0,---,101879
127,Thiago Silva,Chelsea,D,A,7.1,£5.5m,0,---,101879
128,Alonso,Chelsea,D,A,5,£5.5m,0,---,101879
129,Jorginho,Chelsea,M,A,1.1,£6.0m,0,---,101879
130,Barkley,Chelsea,M,A,0.1,£5.0m,0,---,101879
131,Kovacic,Chelsea,M,A,1.3,£5.0m,0,---,101879
132,Arrizabalaga,Chelsea,G,A,0.3,£4.5m,0,---,101879
133,Kanté,Chelsea,M,A,2.5,£5.0m,0,---,101879
134,Ziyech,Chelsea,M,A,0.5,£6.0m,0,---,101879
135,Loftus-Cheek,Chelsea,M,A,0.1,£5.0m,0,---,101879
136,Werner,Chelsea,F,A,1.2,£8.0m,0,---,101879
137,Kenedy,Chelsea,D,A,0.4,£4.0m,0,---,101879
138,Chilwell,Chelsea,D,A,11.4,£6.0m,0,---,101879
139,Pulisic,Chelsea,M,A,0.9,£6.0m,0,---,101879
140,Chalobah,Chelsea,D,A,1,£5.0m,0,---,101879
141,Mount,Chelsea,M,A,9,£8.0m,0,---,101879
142,Sarr,Chelsea,D,A,0.2,£5.0m,0,---,101879
143,Hudson-Odoi,Chelsea,M,A,0.1,£5.5m,0,---,101879
144,Havertz,Chelsea,F,A,5,£8.0m,0,---,101879
145,James,Chelsea,D,A,43.5,£6.0m,0,---,101879
146,Mendy,Chelsea,G,A,25.7,£5.0m,0,---,101879
147,Gallagher,Chelsea,M,A,3.1,£6.0m,0,---,101879
148,Gilmour,Chelsea,M,A,0.5,£4.5m,0,---,101879
149,Broja,Chelsea,F,A,1.8,£5.5m,0,---,101879
150,Ampadu,Chelsea,D,A,0.1,£4.5m,0,---,101879
151,Guaita,Crystal Palace,G,A,1.9,£4.5m,0,---,101879
152,Tomkins,Crystal Palace,D,A,2.3,£4.0m,0,---,101879
153,McArthur,Crystal Palace,M,A,0.1,£5.0m,0,---,101879
