,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
53,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,85,116,73.3,1591,657,39,47,83.0,35,45,77.8,10,20,50.0,0,0.0,0.0,0,7,1,0,7
54,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,250,404,61.9,3086,630,162,232,69.8,62,117,53.0,5,13,38.5,0,1.3,-1.3,8,19,2,0,18
55,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,900,1191,75.6,15616,4285,459,546,84.1,307,390,78.7,111,198,56.1,3,2.5,+0.5,40,77,21,1,92
56,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,21,21,100.0,441,20,8,8,100.0,10,10,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,0
57,Bryan,es ESP,"FW,MF",Tottenham,20,2001,1.0,49,63,77.8,764,240,29,35,82.9,15,19,78.9,4,5,80.0,0,0.1,-0.1,2,1,3,2,2
58,Emi Buendía,ar ARG,"FW,MF",Aston Villa,24,1996,21.1,697,876,79.6,11280,3006,363,424,85.6,246,297,82.8,61,101,60.4,6,5.5,+0.5,45,63,41,3,108
59,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16.0,460,574,80.1,9471,2564,136,162,84.0,250,285,87.7,65,109,59.6,1,0.1,+0.9,2,27,1,0,27
60,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,507,623,81.4,11085,2931,124,151,82.1,276,312,88.5,100,145,69.0,0,0.0,0.0,1,43,2,0,36
61,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,205,279,73.5,5079,2568,56,56,100.0,103,105,98.1,45,117,38.5,0,0.0,0.0,0,2,0,0,0
62,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,380,486,78.2,6385,2056,187,217,86.2,156,194,80.4,30,54,55.6,0,0.2,-0.2,4,13,4,0,25
63,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,39,59,66.1,1548,1209,4,4,100.0,14,14,100.0,21,41,51.2,0,0.0,0.0,0,0,0,0,0
64,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,224,274,81.8,3494,876,119,138,86.2,77,98,78.6,20,28,71.4,1,0.4,+0.6,5,14,3,0,21
65,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,180,292,61.6,2199,459,115,177,65.0,36,68,52.9,9,12,75.0,2,1.8,+0.2,12,10,5,0,12
66,Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,9,10,90.0,110,23,7,8,87.5,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
67,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,2752,3282,83.9,49380,14430,1304,1412,92.4,1132,1306,86.7,297,482,61.6,7,5.1,+1.9,39,266,95,13,274
68,Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,452,748,60.4,7966,3379,228,289,78.9,159,237,67.1,55,164,33.5,2,1.9,+0.1,17,44,26,10,77
69,Todd Cantwell,eng ENG,"FW,MF",Norwich City,23,1998,4.9,127,154,82.5,2078,457,61,70,87.1,50,60,83.3,11,16,68.8,0,0.2,-0.2,2,9,2,0,10
70,Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,1120,1586,70.6,20851,8091,482,556,86.7,477,604,79.0,139,361,38.5,3,1.9,+1.1,25,68,29,14,91
71,Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1068,1292,82.7,18149,6480,527,592,89.0,439,519,84.6,90,140,64.3,0,1.3,-1.3,14,65,14,6,69
72,Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,506,600,84.3,8940,2616,231,260,88.8,213,244,87.3,53,71,74.6,0,1.2,-1.2,10,20,9,4,31
73,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,742,917,80.9,17605,5044,176,199,88.4,393,451,87.1,169,253,66.8,1,0.3,+0.7,2,47,5,1,40
74,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,180,225,80.0,2736,344,111,128,86.7,50,67,74.6,11,19,57.9,1,1.4,-0.4,8,4,1,0,9
75,Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,2,2,100.0,32,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
76,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,1138,1239,91.8,20653,5698,449,475,94.5,586,616,95.1,98,136,72.1,1,0.2,+0.8,3,103,6,0,54
77,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,81,98,82.7,1499,490,35,38,92.1,36,42,85.7,10,17,58.8,0,0.1,-0.1,1,5,1,1,9
78,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,384,460,83.5,8361,2650,106,120,88.3,208,227,91.6,67,106,63.2,0,0.1,-0.1,2,33,5,0,24
79,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
80,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6.0,265,344,77.0,4218,1153,133,146,91.1,110,132,83.3,16,47,34.0,1,0.9,+0.1,10,7,6,1,13
81,Chiquinho,pt POR,"DF,MF",Wolves,21,2000,2.3,72,108,66.7,1251,478,43,53,81.1,17,29,58.6,11,18,61.1,3,0.6,+2.4,5,5,5,4,10
82,Hamza Choudhury,eng ENG,"DF,MF",Leicester City,23,1997,3.2,129,158,81.6,2277,536,62,70,88.6,47,57,82.5,17,24,70.8,0,0.0,0.0,0,2,0,0,5
83,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,1166,1276,91.4,23812,6931,377,402,93.8,590,628,93.9,188,227,82.8,0,0.2,-0.2,5,94,7,1,69
84,Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,17,2004,3.3,98,120,81.7,1461,245,50,60,83.3,40,44,90.9,5,7,71.4,1,1.0,0.0,2,2,0,0,3
85,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,276,348,79.3,5333,1582,90,103,87.4,149,169,88.2,32,66,48.5,1,0.3,+0.7,4,12,1,1,15
86,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,461,626,73.6,7829,2352,227,263,86.3,163,205,79.5,53,127,41.7,2,2.0,0.0,19,41,11,4,43
87,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15.0,563,718,78.4,9677,3450,258,284,90.8,258,316,81.6,40,92,43.5,1,0.5,+0.5,6,24,9,4,22
88,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,1471,1632,90.1,36772,10454,216,233,92.7,853,889,96.0,394,492,80.1,0,0.0,0.0,2,50,4,0,44
89,Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,913,1237,73.8,16388,7499,428,488,87.7,370,497,74.4,105,218,48.2,0,1.1,-1.1,12,91,25,11,84
90,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,463,642,72.1,10217,3911,133,171,77.8,226,273,82.8,95,181,52.5,0,0.9,-0.9,7,41,5,1,45
91,Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,15,18,83.3,212,10,9,11,81.8,6,7,85.7,0,0,,0,0.4,-0.4,1,0,0,0,0
92,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,958,1123,85.3,20675,6397,254,283,89.8,542,581,93.3,152,238,63.9,1,0.1,+0.9,3,34,0,0,44
93,Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,432,573,75.4,7724,1982,212,266,79.7,143,182,78.6,64,92,69.6,0,0.1,-0.1,5,43,7,2,39
94,Maxwel Cornet,ci CIV,"FW,MF",Burnley,24,1996,19.6,285,434,65.7,4210,978,160,218,73.4,80,107,74.8,22,61,36.1,1,1.5,-0.5,14,9,14,5,23
95,Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,4,4,100.0,65,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
96,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,982,1417,69.3,16708,7662,465,549,84.7,419,572,73.3,80,230,34.8,4,2.4,+1.6,20,64,31,17,105
97,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,29,1992,14.8,527,641,82.2,9021,2278,271,309,87.7,187,216,86.6,55,84,65.5,3,3.2,-0.2,25,68,13,3,60
98,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,1641,2047,80.2,29789,12432,733,791,92.7,711,807,88.1,179,382,46.9,3,3.2,-0.2,35,127,24,8,155
99,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,72,96,75.0,1599,476,17,19,89.5,42,46,91.3,13,30,43.3,0,0.0,0.0,0,3,0,0,5
100,Cucho,co COL,"FW,MF",Watford,22,1999,12.7,254,394,64.5,4540,1604,126,164,76.8,80,115,69.6,39,80,48.8,2,1.9,+0.1,19,22,15,6,33
101,Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,1895,2322,81.6,31827,11389,937,1032,90.8,770,894,86.1,152,281,54.1,1,2.7,-1.7,43,133,52,23,175
102,Luke Cundle,eng ENG,MF,Wolves,19,2002,2.0,96,106,90.6,1825,298,33,35,94.3,46,51,90.2,13,15,86.7,0,0.2,-0.2,2,9,2,0,7
103,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,172,223,77.1,2498,360,106,126,84.1,53,68,77.9,8,10,80.0,3,1.8,+1.2,12,7,4,1,12
104,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30,1991,32.4,1312,1666,78.8,23028,8378,659,724,91.0,482,577,83.5,145,287,50.5,1,2.4,-1.4,34,113,29,5,128
105,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20.0,934,1171,79.8,18629,6793,363,418,86.8,430,508,84.6,137,222,61.7,0,1.0,-1.0,16,73,26,9,99
106,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8.0,152,253,60.1,6707,4585,15,15,100.0,41,42,97.6,96,195,49.2,0,0.0,0.0,0,10,0,0,0
107,Josh Dasilva,eng ENG,"MF,FW",Brentford,22,1998,2.9,71,88,80.7,1232,306,29,32,90.6,36,45,80.0,4,7,57.1,0,0.1,-0.1,2,6,4,1,7
108,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1375,1600,85.9,25844,8737,524,563,93.1,712,785,90.7,122,199,61.3,1,0.6,+0.4,8,124,14,0,117
109,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,60,79,75.9,959,231,30,32,93.8,23,30,76.7,4,8,50.0,0,0.0,0.0,0,3,1,0,8
110,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,3,3,100.0,49,30,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
111,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1015,1234,82.3,23629,7149,288,316,91.1,472,522,90.4,247,375,65.9,2,0.5,+1.5,3,84,1,0,45
112,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1172,1553,75.5,22303,6186,520,600,86.7,464,582,79.7,166,311,53.4,8,9.5,-1.5,88,132,67,9,157
113,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,3,6,50.0,38,16,2,4,50.0,1,1,100.0,0,0,,0,0.1,-0.1,1,1,0,0,1
114,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,1,100.0,15,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
115,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,263,308,85.4,5253,1300,117,124,94.4,94,110,85.5,48,62,77.4,0,0.1,-0.1,3,33,2,0,26
116,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,709,812,87.3,12399,2333,323,368,87.8,295,322,91.6,73,88,83.0,2,1.0,+1.0,11,44,4,0,37
117,Emmanuel Dennis,ng NGA,"FW,MF",Watford,23,1997,28.7,431,633,68.1,6406,1891,255,329,77.5,125,180,69.4,32,56,57.1,6,3.2,+2.8,33,22,21,5,60
118,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,22,1998,23.4,941,1220,77.1,15939,4069,461,530,87.0,374,466,80.3,85,171,49.7,3,3.0,0.0,34,95,27,4,98
119,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,357,438,81.5,6245,1432,171,204,83.8,149,171,87.1,29,42,69.0,2,1.0,+1.0,15,41,2,1,29
120,Raphael Dias Belloli,br BRA,"FW,MF",Leeds United,24,1996,32.4,817,1281,63.8,15061,6139,386,471,82.0,281,404,69.6,117,310,37.7,3,6.8,-3.8,65,89,48,9,169
121,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2097,2224,94.3,45031,11468,566,594,95.3,1189,1224,97.1,336,389,86.4,4,2.4,+1.6,12,182,4,0,106
122,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,394,448,87.9,6196,1292,223,245,91.0,132,150,88.0,31,35,88.6,3,1.8,+1.2,16,18,22,3,41
123,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,1969,2226,88.5,44250,14510,492,525,93.7,1110,1175,94.5,362,506,71.5,0,1.4,-1.4,8,95,9,1,93
124,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,632,823,76.8,9970,4476,360,397,90.7,200,260,76.9,55,125,44.0,4,2.0,+2.0,29,29,24,16,56
125,Lucas Digne,fr FRA,DF,Everton,28,1993,13.0,487,678,71.8,8548,4277,219,262,83.6,211,268,78.7,42,104,40.4,0,1.7,-1.7,20,29,12,4,49
126,Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34.0,2287,2520,90.8,51299,16562,601,649,92.6,1233,1288,95.7,442,564,78.4,1,0.4,+0.6,6,169,4,0,104
127,Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,404,469,86.1,7678,2665,153,163,93.9,199,220,90.5,46,79,58.2,1,0.1,+0.9,1,16,0,0,15
128,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,111,149,74.5,1706,705,66,77,85.7,33,45,73.3,10,17,58.8,0,0.2,-0.2,6,10,9,2,23
129,Lewis Dobbin,eng ENG,"FW,MF",Everton,18,2003,0.4,4,7,57.1,106,24,2,3,66.7,0,1,0.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1
130,Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,440,538,81.8,7428,1960,221,248,89.1,176,207,85.0,37,60,61.7,4,1.8,+2.2,14,20,11,4,36
131,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34.0,1796,2002,89.7,37056,10032,535,565,94.7,1002,1054,95.1,239,350,68.3,0,0.8,-0.8,8,111,1,0,83
132,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,877,1095,80.1,14742,3154,429,500,85.8,349,419,83.3,74,112,66.1,4,2.2,+1.8,21,81,23,1,91
133,Kieran Dowell,eng ENG,"FW,MF",Norwich City,23,1997,10.1,235,342,68.7,3998,1155,124,152,81.6,76,100,76.0,27,66,40.9,1,2.0,-1.0,16,18,15,6,24
134,Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,60,77,77.9,927,398,39,44,88.6,18,23,78.3,3,4,75.0,0,0.0,0.0,1,3,2,1,6
135,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26.0,535,845,63.3,20420,14076,69,69,100.0,195,198,98.5,268,575,46.6,0,0.1,-0.1,2,15,0,0,0
136,Shane Duffy,ie IRL,DF,Brighton,29,1992,16.0,894,1007,88.8,20678,5681,171,184,92.9,541,578,93.6,180,237,75.9,0,0.1,-0.1,3,55,2,0,35
137,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,51,68,75.0,867,436,24,28,85.7,25,31,80.6,2,8,25.0,0,0.0,0.0,0,5,0,0,3
138,Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,1676,1881,89.1,39331,10816,370,399,92.7,916,964,95.0,374,490,76.3,0,0.2,-0.2,2,85,2,1,54
139,Ederson,br BRA,GK,Manchester City,27,1993,37.0,976,1089,89.6,25570,14485,198,198,100.0,486,487,99.8,288,399,72.2,0,0.1,-0.1,1,10,1,0,1
140,Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,315,435,72.4,4447,915,206,260,79.2,89,122,73.0,14,21,66.7,3,2.3,+0.7,19,20,13,1,36
141,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0.0,1,1,100.0,32,30,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
142,Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,346,441,78.5,4650,1054,224,256,87.5,89,117,76.1,17,29,58.6,2,1.8,+0.2,8,13,5,3,15
143,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,210,249,84.3,3611,958,107,119,89.9,83,95,87.4,19,25,76.0,0,0.5,-0.5,8,24,9,2,34
144,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9.0,518,554,93.5,9189,2002,230,244,94.3,226,232,97.4,53,60,88.3,2,0.6,+1.4,9,53,2,0,24
145,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,26,1994,22.7,451,639,70.6,6805,1620,273,334,81.7,142,198,71.7,26,63,41.3,2,2.5,-0.5,29,38,21,2,49
146,Emerson,br BRA,DF,Tottenham,22,1999,25.4,1178,1441,81.7,19183,5304,637,709,89.8,436,516,84.5,89,147,60.5,1,2.1,-1.1,26,37,27,10,81
147,Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,472,634,74.4,10893,3905,160,185,86.5,171,209,81.8,134,220,60.9,4,3.6,+0.4,32,75,18,8,65
148,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,141,157,89.8,3290,732,33,36,91.7,78,84,92.9,30,36,83.3,0,0.1,-0.1,2,11,3,1,12
149,Jonny Evans,nir NIR,DF,Leicester City,33,1988,15.0,812,976,83.2,17881,5664,191,217,88.0,489,531,92.1,128,220,58.2,1,0.6,+0.4,3,59,4,1,44
150,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,23,1998,6.7,234,305,76.7,4263,1088,108,126,85.7,88,106,83.0,33,58,56.9,1,0.9,+0.1,9,16,7,2,28
151,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37.0,636,1006,63.2,23248,15081,67,67,100.0,224,226,99.1,336,702,47.9,0,0.0,0.0,1,11,0,0,0
152,Fabinho,br BRA,MF,Liverpool,27,1993,25.7,1341,1522,88.1,24540,5539,552,611,90.3,630,686,91.8,137,180,76.1,1,1.4,-0.4,15,145,16,1,107
153,Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,856,1196,71.6,14470,6826,439,496,88.5,346,468,73.9,62,190,32.6,5,3.2,+1.8,24,51,17,9,79
154,Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,6,7,85.7,98,5,3,4,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0
155,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,3,5,60.0,23,20,1,1,100.0,0,0,,0,2,0.0,0,0.0,0.0,0,0,0,0,0
156,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,1524,2024,75.3,29671,8579,682,788,86.5,568,697,81.5,246,453,54.3,6,8.4,-2.4,88,155,85,15,196
157,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12.0,322,500,64.4,9413,5300,64,66,97.0,147,150,98.0,110,283,38.9,0,0.0,0.0,0,10,0,0,1
158,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,183,214,85.5,4199,1503,41,46,89.1,109,114,95.6,33,53,62.3,0,0.3,-0.3,1,12,0,0,8
159,Fernandinho,br BRA,"MF,DF",Manchester City,36,1985,10.7,730,806,90.6,14073,3643,284,303,93.7,338,358,94.4,97,129,75.2,1,0.9,+0.1,10,84,19,1,59
160,Roberto Firmino,br BRA,FW,Liverpool,29,1991,11.0,393,501,78.4,5872,1288,223,252,88.5,129,170,75.9,21,29,72.4,4,2.4,+1.6,18,27,11,1,35
161,Junior Firpo,es ESP,DF,Leeds United,24,1996,19.0,775,931,83.2,13329,4868,357,402,88.8,352,405,86.9,57,101,56.4,2,2.6,-0.6,24,60,18,7,74
162,Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,3,9,33.3,74,28,0,6,0.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1
163,Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,884,1096,80.7,14428,3061,502,553,90.8,285,339,84.1,80,153,52.3,5,6.6,-1.6,40,50,40,10,76
164,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7.0,452,504,89.7,9774,2380,108,115,93.9,255,274,93.1,84,104,80.8,0,0.0,0.0,2,24,0,0,15
165,Pablo Fornals,es ESP,"FW,MF",West Ham,25,1996,31.1,1036,1381,75.0,18935,6099,478,548,87.2,397,503,78.9,133,247,53.8,3,5.6,-2.6,47,108,53,11,162
166,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17.0,678,810,83.7,12610,3207,315,348,90.5,248,289,85.8,95,133,71.4,1,1.1,-0.1,13,59,8,0,61
167,Marcus Forss,fi FIN,"FW,MF",Brentford,22,1999,2.3,24,41,58.5,380,110,16,22,72.7,3,11,27.3,4,6,66.7,1,0.0,+1.0,0,4,1,0,5
168,Fraser Forster,eng ENG,GK,Southampton,33,1988,19.0,347,596,58.2,12274,7980,44,45,97.8,146,150,97.3,156,399,39.1,0,0.0,0.0,0,8,0,0,0
169,Ben Foster,eng ENG,GK,Watford,38,1983,26.0,417,869,48.0,18636,14154,23,24,95.8,123,127,96.9,271,718,37.7,1,0.2,+0.8,2,34,2,0,0
170,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,6,8,75.0,110,13,2,2,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1
171,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,27,1994,16.3,333,478,69.7,5698,1783,177,209,84.7,107,157,68.2,40,92,43.5,3,2.2,+0.8,25,16,22,13,26
172,Fred,br BRA,MF,Manchester Utd,28,1993,22.5,1123,1320,85.1,21081,5259,478,542,88.2,478,537,89.0,147,185,79.5,4,2.0,+2.0,26,117,13,1,108
173,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,114,147,77.6,1722,447,65,73,89.0,45,57,78.9,3,10,30.0,0,0.1,-0.1,2,2,2,1,4
174,Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,1.7,84,111,75.7,1317,504,47,55,85.5,30,35,85.7,6,14,42.9,0,0.0,0.0,1,4,0,0,5
175,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,890,1167,76.3,16238,4060,407,468,87.0,339,418,81.1,118,223,52.9,3,3.5,-0.5,35,77,22,9,62
176,Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,0.1,3,3,100.0,25,4,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
177,Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,0.4,11,13,84.6,108,16,9,10,90.0,1,1,100.0,0,0,,0,0.5,-0.5,2,0,0,0,1
178,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,16,21,76.2,224,20,12,14,85.7,3,5,60.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0
179,David de Gea,es ESP,GK,Manchester Utd,30,1990,38.0,646,911,70.9,18313,10583,124,125,99.2,292,300,97.3,225,479,47.0,0,0.0,0.0,0,1,0,0,0
180,Joe Gelhardt,eng ENG,"FW,MF",Leeds United,19,2002,8.3,105,156,67.3,1407,396,57,81,70.4,36,49,73.5,3,10,30.0,2,1.5,+0.5,9,5,11,1,17
181,Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,26,1995,4.3,82,115,71.3,1262,370,50,58,86.2,26,41,63.4,5,8,62.5,1,0.4,+0.6,4,1,6,4,7
182,Anwar El Ghazi,nl NED,FW,Everton,26,1995,0.1,8,9,88.9,92,33,7,8,87.5,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
183,Saman Ghoddos,ir IRN,"DF,MF",Brentford,27,1993,6.0,149,221,67.4,2633,840,77,106,72.6,47,64,73.4,21,40,52.5,1,1.2,-0.2,6,12,10,2,19
184,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13.0,519,705,73.6,8685,3552,251,293,85.7,227,283,80.2,34,104,32.7,1,0.5,+0.5,8,20,13,1,43
185,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,21,2000,0.1,7,10,70.0,74,28,5,6,83.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1
186,Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,1065,1303,81.7,24894,9439,257,280,91.8,569,626,90.9,233,377,61.8,0,0.0,0.0,2,83,9,0,78
187,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,958,1200,79.8,20591,5428,344,384,89.6,387,439,88.2,208,338,61.5,1,2.0,-1.0,25,86,17,1,93
188,Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,605,788,76.8,11557,3925,216,257,84.0,307,380,80.8,70,122,57.4,0,0.7,-0.7,13,43,13,7,39
189,André Gomes,pt POR,MF,Everton,28,1993,6.9,213,279,76.3,3907,1130,94,112,83.9,85,100,85.0,27,48,56.3,1,0.2,+0.8,4,27,4,0,21
190,Toti Gomes,pt POR,DF,Wolves,22,1999,4.0,142,191,74.3,2595,977,57,67,85.1,67,80,83.8,15,40,37.5,0,0.0,0.0,0,10,0,0,10
191,Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,228,286,79.7,4481,1280,86,98,87.8,105,132,79.5,33,49,67.3,1,0.5,+0.5,3,22,4,2,28
192,Charlie Goode,eng ENG,DF,Brentford,25,1995,5.0,190,300,63.3,4717,1455,35,53,66.0,97,140,69.3,57,99,57.6,0,0.3,-0.3,7,16,2,1,12
193,Anthony Gordon,eng ENG,"MF,FW",Everton,20,2001,25.4,503,754,66.7,8074,2353,271,340,79.7,165,220,75.0,45,132,34.1,2,3.3,-1.3,34,23,22,10,55
194,Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,4,4,100.0,50,0,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
195,Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,57,67,85.1,982,190,32,33,97.0,19,22,86.4,5,8,62.5,0,0.0,0.0,1,3,0,0,4
196,Demarai Gray,eng ENG,"MF,FW",Everton,25,1996,26.0,544,757,71.9,10219,2375,242,284,85.2,201,249,80.7,80,164,48.8,4,4.3,-0.3,41,23,25,7,45
197,Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,830,960,86.5,12113,2309,499,546,91.4,261,290,90.0,45,59,76.3,3,6.3,-3.3,54,25,41,3,82
198,Mason Greenwood,eng ENG,"FW,MF",Manchester Utd,19,2001,14.1,397,504,78.8,7344,1629,185,214,86.4,164,195,84.1,43,75,57.3,1,1.6,-0.6,15,26,13,3,36
199,Sam Greenwood,eng ENG,"MF,FW",Leeds United,19,2002,2.6,60,85,70.6,1012,212,24,30,80.0,23,27,85.2,7,18,38.9,2,0.7,+1.3,4,5,1,0,8
200,Pascal Groß,de GER,"MF,DF",Brighton,30,1991,22.6,984,1315,74.8,19467,5768,410,468,87.6,395,475,83.2,167,319,52.4,4,5.3,-1.3,60,81,35,12,103
