,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
405,Richarlison,br BRA,"FW,MF",Everton,24,1997,28.0,352,570,61.8,5326,1162,184,256,71.9,122,174,70.1,23,54,42.6,5,2.4,+2.6,26,22,11,1,34
406,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,45,54,83.3,920,217,13,16,81.3,26,27,96.3,6,9,66.7,0,0.1,-0.1,2,3,0,0,4
407,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,511,703,72.7,10284,5160,233,260,89.6,175,217,80.6,97,208,46.6,2,1.6,+0.4,29,39,15,7,48
408,Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,562,834,67.4,10640,4678,246,283,86.9,228,327,69.7,83,202,41.1,1,1.1,-0.1,13,41,17,7,63
409,Tyler Roberts,wls WAL,"MF,FW",Leeds United,22,1999,11.0,222,301,73.8,3529,831,119,145,82.1,67,90,74.4,22,38,57.9,1,1.2,-0.2,15,18,12,3,24
410,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,1859,2294,81.0,33724,11980,846,923,91.7,821,955,86.0,183,356,51.4,10,5.2,+4.8,55,139,49,14,198
411,Joe Rodon,wls WAL,DF,Tottenham,23,1997,1.0,28,31,90.3,598,152,8,8,100.0,14,16,87.5,6,7,85.7,0,0.0,0.0,0,2,0,0,0
412,Rodri,es ESP,MF,Manchester City,25,1996,32.0,2587,2796,92.5,52886,10194,932,983,94.8,1215,1286,94.5,424,491,86.4,2,1.4,+0.6,25,242,36,1,179
413,Rodrigo,es ESP,"MF,FW",Leeds United,30,1991,25.2,667,895,74.5,11252,2788,347,437,79.4,218,275,79.3,77,116,66.4,1,4.6,-3.6,40,67,34,10,76
414,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,209,319,65.5,2729,733,141,180,78.3,46,88,52.3,7,21,33.3,2,1.9,+0.1,12,17,3,1,18
415,Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,230,344,66.9,4264,1403,89,110,80.9,105,150,70.0,30,64,46.9,1,0.9,+0.1,9,12,10,9,26
416,Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,1117,1278,87.4,22003,7095,398,434,91.7,558,591,94.4,150,222,67.6,0,0.5,-0.5,6,58,7,0,52
417,Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,1396,1685,82.8,26627,6081,608,701,86.7,572,664,86.1,192,266,72.2,2,2.8,-0.8,35,125,25,2,125
418,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,718,888,80.9,9995,1448,443,514,86.2,217,265,81.9,28,41,68.3,3,3.1,-0.1,24,37,16,0,49
419,Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,128,192,66.7,1600,237,80,107,74.8,26,48,54.2,5,9,55.6,1,0.7,+0.3,7,7,2,0,4
420,Danny Rose,eng ENG,DF,Watford,31,1990,7.7,221,331,66.8,4636,2661,81,91,89.0,97,132,73.5,39,88,44.3,0,0.8,-0.8,5,24,7,1,32
421,Jon Rowe,eng ENG,"FW,MF",Norwich City,18,2003,2.5,50,71,70.4,630,210,33,39,84.6,10,15,66.7,3,8,37.5,1,0.3,+0.7,4,2,2,0,4
422,John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,19,29,65.5,558,382,5,5,100.0,6,6,100.0,8,18,44.4,0,0.0,0.0,0,1,0,0,0
423,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,2162,2447,88.4,46177,13796,656,697,94.1,1137,1210,94.0,356,504,70.6,0,1.1,-1.1,13,220,29,4,161
424,Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,327,393,83.2,5589,1339,162,177,91.5,122,141,86.5,33,52,63.5,0,1.2,-1.2,9,18,6,1,29
425,José Sá,pt POR,GK,Wolves,28,1993,36.5,740,1089,68.0,21883,12476,147,148,99.3,300,304,98.7,286,629,45.5,1,1.0,0.0,4,14,2,0,1
426,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,24,1997,31.2,547,758,72.2,9115,2128,282,340,82.9,198,262,75.6,51,95,53.7,5,5.8,-0.8,51,45,32,9,56
427,Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,1415,1718,82.4,29554,13832,440,483,91.1,748,846,88.4,217,359,60.4,0,0.4,-0.4,6,150,2,0,120
428,Bukayo Saka,eng ENG,"FW,MF",Arsenal,19,2001,33.1,892,1184,75.3,13502,3277,514,604,85.1,293,376,77.9,58,126,46.0,7,6.9,+0.1,65,36,32,7,73
429,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,869,1118,77.7,12439,3620,550,633,86.9,256,332,77.1,39,74,52.7,13,10.4,+2.6,61,35,61,8,123
430,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33.0,1375,1780,77.2,27017,11298,497,575,86.4,699,829,84.3,168,344,48.8,0,0.5,-0.5,8,149,7,2,118
431,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,719,802,89.7,13212,2841,311,336,92.6,305,327,93.3,91,123,74.0,0,0.8,-0.8,18,64,17,1,61
432,Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,972,1088,89.3,19470,5422,317,339,93.5,517,546,94.7,126,179,70.4,0,0.4,-0.4,4,78,8,1,52
433,Robert Sánchez,es ESP,GK,Brighton,23,1997,37.0,1053,1500,70.2,30548,15632,163,164,99.4,545,556,98.0,345,777,44.4,0,0.4,-0.4,3,28,2,0,1
434,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,21,2000,21.1,810,982,82.5,11532,2687,500,576,86.8,256,308,83.1,32,49,65.3,3,4.2,-1.2,41,27,36,6,72
435,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4.0,121,157,77.1,2086,490,61,65,93.8,52,65,80.0,7,18,38.9,0,0.0,0.0,1,15,1,0,10
436,Samir Santos,br BRA,DF,Watford,26,1994,18.6,537,659,81.5,11529,3410,156,170,91.8,278,315,88.3,93,159,58.5,0,0.1,-0.1,2,24,2,0,22
