,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries	CPA,Carries Mis,Carries Dis,Receiving	Targ,Receiving Rec,Receiving Rec%,Receiving Prog
362,Nicolas Nkoulou,CMR,DF,Watford,31,1990,1.9,72,11,38,34,2,0,71,1,1,100.0,1,0,42,126,47,0,0,0,0,1,41,40,97.6,0
363,Mark Noble,ENG,MF,West Ham,34,1987,3.7,305,8,80,207,35,2,292,1,1,100.0,1,0,210,817,347,12,4,0,5,2,246,237,96.3,3
364,Mathias Normann,NOR,MF,Norwich City,25,1996,18.3,991,77,346,527,179,4,932,20,28,71.4,20,0,567,3002,1531,55,16,1,16,21,623,572,91.8,3
365,Christian Nørgaard,DEN,MF,Brentford,27,1994,33.9,2054,116,575,1222,340,58,1971,13,24,54.2,14,0,1053,4238,2090,80,26,4,17,26,1245,1123,90.2,34
366,Angelo Ogbonna,ITA,DF,West Ham,33,1988,10.2,528,69,293,251,14,8,523,0,0,,0,0,353,1947,714,6,1,0,0,1,375,363,96.8,1
367,Michael Olise,FRA,"FW,MF",Crystal Palace,19,2001,12.7,832,17,86,395,425,47,768,24,53,45.3,24,0,601,3544,2252,121,38,13,26,31,723,587,81.2,48
368,Robin Olsen,SWE,GK,Aston Villa,31,1990,1.0,49,48,49,0,0,0,27,0,0,,0,0,14,58,43,0,0,0,0,0,14,13,92.9,0
369,Andrew Omobamidele,IRL,DF,Norwich City,19,2002,4.2,276,30,139,144,17,2,263,0,0,,0,0,162,931,539,16,5,0,2,1,164,161,98.2,1
370,Tyler Onyango,ENG,"MF,FW",Everton,18,2003,0.3,5,0,1,3,1,1,5,1,2,50.0,1,1,2,0,0,0,0,0,0,0,6,2,33.3,0
371,Frank Onyeka,NGA,MF,Brentford,23,1998,11.6,468,24,127,243,127,17,460,9,14,64.3,10,0,283,1649,862,35,9,3,11,18,353,271,76.8,29
372,Divock Origi,BEL,FW,Liverpool,26,1995,1.5,68,2,6,21,42,17,68,1,3,33.3,2,0,46,142,65,4,1,1,9,5,66,50,75.8,17
373,Alex Oxlade-Chamberlain,ENG,"MF,FW",Liverpool,27,1993,8.7,503,6,50,259,245,33,493,10,15,66.7,13,0,366,2088,1234,65,33,5,9,18,465,371,79.8,54
374,Cole Palmer,ENG,"FW,MF",Manchester City,19,2002,1.4,76,0,5,30,46,15,76,1,3,33.3,1,1,57,265,139,7,2,3,6,4,73,62,84.9,21
375,Emerson Palmieri,ITA,DF,Chelsea,26,1994,0.1,2,0,0,1,1,1,2,0,0,,0,0,2,10,2,0,0,0,0,0,2,2,100.0,1
376,Thomas Partey,GHA,MF,Arsenal,28,1993,22.5,1425,65,395,845,284,23,1403,29,40,72.5,30,4,989,4802,2504,86,29,2,15,20,1044,996,95.4,14
377,João Pedro,BRA,"FW,MF",Watford,19,2001,18.3,908,21,93,443,459,90,878,51,98,52.0,57,13,622,3154,1809,89,40,16,51,68,966,648,67.1,114
378,Nicolas Pépé,CIV,"FW,MF",Arsenal,26,1995,7.7,510,12,65,162,309,64,470,20,41,48.8,21,1,366,1642,839,60,13,10,29,24,456,355,77.9,66
379,Ricardo Pereira,POR,DF,Leicester City,27,1993,11.0,798,39,250,392,200,21,698,10,16,62.5,10,2,473,1948,1208,64,18,4,9,6,523,469,89.7,15
