,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries	CPA,Carries Mis,Carries Dis,Receiving	Targ,Receiving Rec,Receiving Rec%,Receiving Prog
10,Dele Alli,ENG,"MF,FW",Tottenham,25,1996,7.3,331,23,87,172,97,20,321,5,18,27.8,7,2,213,908,446,17,6,0,12,18,262,199,76.0,31
11,Dele Alli,ENG,MF,Everton,25,1996,3.8,232,15,47,124,76,17,221,4,10,40.0,4,1,142,659,352,13,6,1,11,14,172,135,78.5,22
12,Miguel Almirón,PAR,"MF,FW",Newcastle Utd,27,1994,19.1,742,22,147,308,344,56,735,18,37,48.6,24,2,524,3263,1485,77,18,11,29,33,661,476,72.0,62
13,Marcos Alonso,ESP,DF,Chelsea,30,1990,24.1,1787,75,450,648,776,77,1491,19,39,48.7,20,2,1047,4917,2570,123,29,11,27,32,1182,1037,87.7,110
14,Steven Alzate,COL,MF,Brighton,22,1998,4.5,287,16,81,168,56,4,285,5,6,83.3,5,1,185,759,403,20,8,1,5,4,188,175,93.1,7
15,Daniel Amartey,GHA,DF,Leicester City,26,1994,23.6,1702,269,912,821,61,6,1677,6,8,75.0,6,0,1176,5166,2940,60,19,0,4,2,1263,1236,97.9,1
16,Joachim Andersen,DEN,DF,Crystal Palace,25,1996,32.4,2508,490,1555,1010,85,33,2427,6,8,75.0,6,0,1582,8962,4315,64,5,2,2,8,1808,1788,98.9,2
17,Michail Antonio,JAM,FW,West Ham,31,1990,33.0,1190,20,74,479,718,176,1152,45,94,47.9,49,4,867,4398,2550,133,40,31,131,88,1673,898,53.7,264
18,Cameron Archer,ENG,"MF,FW",Aston Villa,19,2001,0.3,12,0,1,2,9,3,12,1,2,50.0,1,0,7,15,0,0,0,0,0,1,9,6,66.7,2
19,Alphonse Areola,FRA,GK,West Ham,28,1993,1.0,42,40,42,0,0,0,25,0,0,,0,0,17,48,12,0,0,0,0,0,20,20,100.0,0
20,Adam Armstrong,ENG,FW,Southampton,24,1997,15.7,489,8,40,200,289,82,458,19,38,50.0,20,1,340,1933,1062,64,19,18,34,25,651,348,53.5,109
21,Stuart Armstrong,SCO,MF,Southampton,29,1992,16.4,938,25,132,442,452,56,907,26,57,45.6,28,3,717,4564,2337,122,47,13,26,25,767,672,87.6,78
22,Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,4.0,149,130,149,0,0,0,120,0,0,,0,0,85,253,117,0,0,0,0,0,81,81,100.0,0
23,Harrison Ashby,SCO,DF,West Ham,19,2001,0.1,9,1,3,1,5,0,8,0,0,,0,0,4,21,5,1,0,0,0,0,8,6,75.0,0
24,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32,1989,11.5,322,5,34,141,167,55,313,2,6,33.3,3,0,169,1024,600,29,11,9,20,5,443,225,50.8,56
25,Jordan Ayew,GHA,FW,Crystal Palace,29,1991,22.4,1134,17,164,596,488,83,1122,38,72,52.8,41,6,871,5294,3073,146,50,24,69,81,1077,810,75.2,97
26,Luke Ayling,ENG,DF,Leeds United,29,1991,25.2,1861,233,955,770,271,36,1696,25,41,61.0,27,6,1114,6509,3840,105,30,3,24,20,1198,1134,94.7,32
27,César Azpilicueta,ESP,DF,Chelsea,31,1989,23.0,1958,120,605,946,502,52,1808,15,20,75.0,15,1,1240,5111,2994,156,38,8,15,8,1464,1388,94.8,54
28,Daniel Bachmann,AUT,GK,Watford,27,1994,12.0,394,338,392,3,0,0,272,1,1,100.0,1,0,170,926,587,0,0,0,0,0,146,145,99.3,0
29,Leon Bailey,JAM,"FW,MF",Aston Villa,23,1997,8.5,355,8,42,126,216,35,334,14,23,60.9,15,1,268,1606,879,58,11,10,26,31,331,246,74.3,56
30,Eric Bailly,CIV,DF,Manchester Utd,27,1994,2.4,113,26,73,41,3,0,109,0,2,0.0,0,0,62,313,142,5,0,0,1,3,54,53,98.1,0
31,Folarin Balogun,ENG,FW,Arsenal,20,2001,0.8,23,1,3,10,12,6,23,0,2,0.0,0,0,16,50,16,1,0,1,4,2,34,17,50.0,7
32,Patrick Bamford,ENG,FW,Leeds United,27,1993,6.2,175,11,23,80,83,36,159,4,8,50.0,5,0,104,462,210,12,2,3,18,6,259,115,44.4,37
33,Shandon Baptiste,GRN,MF,Brentford,23,1998,10.1,412,16,91,223,137,20,409,14,19,73.7,14,0,298,1528,855,44,15,2,20,12,388,266,68.6,36
34,Ross Barkley,ENG,MF,Chelsea,27,1993,2.0,152,0,10,63,97,10,145,5,6,83.3,6,0,113,880,539,21,13,1,1,6,137,127,92.7,23
35,Ashley Barnes,ENG,FW,Burnley,31,1989,9.0,311,6,30,164,134,32,307,4,8,50.0,4,0,184,580,290,18,6,3,33,19,416,222,53.4,52
36,Harvey Barnes,ENG,"FW,MF",Leicester City,23,1997,23.3,1066,16,128,428,615,142,1059,31,81,38.3,37,6,829,5235,3549,198,58,43,54,49,1151,839,72.9,157
37,Lewis Bate,ENG,MF,Leeds United,18,2002,1.6,79,4,27,47,10,0,79,1,3,33.3,1,1,57,259,76,2,1,0,7,5,61,50,82.0,2
38,Mads Bech Sørensen,DEN,DF,Brentford,22,1999,9.3,562,79,298,225,72,8,487,0,0,,0,0,297,1789,1118,20,5,0,1,1,332,323,97.3,3
39,Jan Bednarek,POL,DF,Southampton,25,1996,29.2,1786,239,870,914,81,30,1710,1,2,50.0,1,0,926,4166,1987,27,1,0,1,4,1001,979,97.8,4
40,Donny van de Beek,NED,MF,Manchester Utd,24,1997,0.8,53,2,19,21,15,4,53,3,4,75.0,3,0,31,59,23,2,0,1,1,4,41,30,73.2,5
41,Donny van de Beek,NED,MF,Everton,24,1997,5.4,298,9,57,166,87,8,293,4,9,44.4,5,1,170,642,284,12,2,0,1,7,198,183,92.4,6
42,Asmir Begović,BIH,GK,Everton,34,1987,3.0,96,91,96,0,0,0,59,0,0,,0,0,26,135,82,0,0,0,0,0,27,27,100.0,0
43,Saïd Benrahma,ALG,"FW,MF",West Ham,25,1995,24.1,1138,17,155,464,606,105,1117,34,81,42.0,40,8,886,4739,2593,129,30,26,50,48,1101,840,76.3,171
44,Rodrigo Bentancur,URU,MF,Tottenham,24,1997,15.1,1181,68,298,751,213,17,1164,13,18,72.2,13,0,857,4113,2088,79,20,2,7,15,928,887,95.6,23
45,Christian Benteke,BEL,FW,Crystal Palace,30,1990,12.7,462,38,63,209,208,89,442,9,19,47.4,11,1,228,1034,497,28,7,8,38,14,655,344,52.5,104
46,Jóhann Berg Guðmundsson,ISL,MF,Burnley,30,1990,12.2,492,24,85,197,245,27,488,14,22,63.6,15,0,331,1682,815,37,16,5,17,18,383,302,78.9,58
47,Steven Bergwijn,NED,"FW,MF",Tottenham,23,1997,6.3,274,6,41,110,161,45,268,10,18,55.6,11,0,205,1257,860,36,18,9,14,21,316,209,66.1,64
48,Ryan Bertrand,ENG,DF,Leicester City,31,1989,3.7,228,18,71,113,55,4,182,0,1,0.0,1,1,122,544,216,11,3,1,4,5,148,128,86.5,2
49,Mads Bidstrup,DEN,MF,Brentford,20,2001,0.5,23,2,9,13,2,0,23,0,1,0.0,0,0,11,37,17,1,1,0,1,2,11,9,81.8,1
50,Yves Bissouma,MLI,MF,Brighton,24,1996,23.5,1484,100,432,870,304,16,1464,31,44,70.5,31,1,1024,5868,2771,102,41,4,28,30,1024,971,94.8,15
51,Willy Boly,CIV,DF,Wolves,30,1991,10.0,649,87,375,288,21,7,632,4,5,80.0,4,0,392,1715,835,20,6,0,2,2,425,412,96.9,0
52,Jarrod Bowen,ENG,FW,West Ham,24,1996,33.1,1276,31,172,492,701,158,1167,27,66,40.9,29,2,846,5414,2450,130,32,32,61,67,1277,805,63.0,191
53,Jarrad Branthwaite,ENG,DF,Everton,19,2002,4.3,154,26,74,81,7,3,148,1,1,100.0,1,0,83,321,191,2,2,0,1,4,77,71,92.2,0
54,Armando Broja,ALB,FW,Southampton,19,2001,21.9,697,14,53,307,384,108,692,31,64,48.4,34,4,435,2619,1623,79,23,31,61,62,1061,508,47.9,120
55,Josh Brownhill,ENG,MF,Burnley,25,1995,32.8,1523,83,329,839,425,41,1451,15,23,65.2,17,1,761,3092,1268,69,34,4,28,21,872,785,90.0,45
56,Lewis Brunt,ENG,MF,Leicester City,20,2000,0.3,25,0,0,19,6,1,25,0,0,,0,0,19,71,39,4,0,0,1,2,23,22,95.7,1
57,Bryan,ESP,"FW,MF",Tottenham,20,2001,1.0,82,2,10,19,58,4,79,3,4,75.0,3,0,67,393,246,13,2,0,5,3,69,59,85.5,13
58,Emi Buendía,ARG,"FW,MF",Aston Villa,24,1996,21.1,1165,30,153,577,512,75,1113,30,51,58.8,32,1,818,3777,2072,123,42,6,32,56,972,813,83.6,112
59,Dan Burn,ENG,DF,Newcastle Utd,29,1992,16.0,780,138,424,340,43,23,772,0,1,0.0,0,0,353,2038,789,13,0,0,3,2,399,384,96.2,2
60,Dan Burn,ENG,DF,Brighton,29,1992,11.4,772,101,393,361,64,12,754,1,2,50.0,1,0,465,2347,1210,27,9,0,6,3,518,497,95.9,2
61,Jack Butland,ENG,GK,Crystal Palace,28,1993,8.5,295,265,294,1,0,0,206,0,0,,0,0,137,577,211,0,0,0,0,0,138,137,99.3,0
62,Sam Byram,ENG,DF,Norwich City,27,1993,11.4,646,82,320,239,121,18,580,2,7,28.6,2,0,300,1570,791,19,6,1,4,3,345,321,93.0,11
63,Willy Caballero,ARG,GK,Southampton,39,1981,2.0,68,54,68,0,0,0,50,0,0,,0,0,37,224,114,0,0,0,0,0,34,34,100.0,0
64,Moisés Caicedo,ECU,MF,Brighton,19,2001,7.3,357,21,94,185,101,15,356,9,13,69.2,10,0,219,994,544,21,10,2,7,7,241,209,86.7,5
65,Dominic Calvert-Lewin,ENG,FW,Everton,24,1997,14.3,463,14,43,201,232,59,447,6,10,60.0,6,1,204,862,249,10,2,1,51,22,749,337,45.0,71
66,Chem Campbell,WAL,MF,Wolves,18,2002,0.1,12,0,0,4,8,1,11,0,0,,0,0,6,25,6,0,0,0,0,0,9,8,88.9,1
67,João Cancelo,POR,DF,Manchester City,27,1994,35.9,3714,74,608,1993,1373,119,3387,53,105,50.5,59,12,2705,11821,6458,364,138,35,28,29,2831,2719,96.0,127
68,Sergi Canós,ESP,DF,Brentford,24,1997,23.1,1036,69,286,466,357,56,986,24,49,49.0,26,5,663,3683,2207,113,34,11,26,36,769,605,78.7,68
69,Todd Cantwell,ENG,"FW,MF",Norwich City,23,1998,4.9,215,5,50,109,70,7,210,5,11,45.5,5,0,159,608,289,15,4,0,12,12,205,150,73.2,18
70,Matty Cash,POL,DF,Aston Villa,23,1997,37.5,2069,158,725,892,575,100,1734,21,36,58.3,23,3,1107,6756,3573,148,44,26,27,49,1159,1033,89.1,105
71,Timothy Castagne,BEL,DF,Leicester City,25,1995,23.6,1565,106,568,755,324,23,1370,13,19,68.4,13,0,867,3430,1764,76,27,2,27,18,1044,932,89.3,56
72,Jonny Castro,ESP,DF,Wolves,27,1994,11.4,739,24,205,373,205,22,646,12,21,57.1,12,1,476,2160,1216,58,12,5,18,23,513,479,93.4,35
73,Craig Cathcart,NIR,DF,Watford,32,1989,26.6,1176,210,674,488,60,10,1125,0,1,0.0,0,0,559,2216,1007,13,3,0,2,4,646,624,96.6,3
74,Edinson Cavani,URU,FW,Manchester Utd,34,1987,8.5,296,13,52,131,122,32,290,4,5,80.0,4,0,163,390,107,8,4,2,14,3,374,219,58.6,43
75,Kayky Chagas,BRA,FW,Manchester City,18,2003,0.1,3,0,0,2,2,0,3,0,0,,0,0,3,40,29,1,1,0,1,0,4,3,75.0,0
76,Trevoh Chalobah,ENG,DF,Chelsea,22,1999,16.1,1425,77,500,846,155,10,1395,11,15,73.3,11,0,1040,3946,1900,69,31,0,1,6,1075,1053,98.0,2
77,Calum Chambers,ENG,DF,Arsenal,26,1995,1.9,122,17,49,61,17,1,108,0,0,,0,0,71,239,106,4,2,0,1,2,73,71,97.3,0
78,Calum Chambers,ENG,DF,Aston Villa,26,1995,9.2,570,116,338,223,31,7,557,1,2,50.0,1,0,329,1522,842,19,3,0,0,1,361,350,97.0,1
79,Daniel Chesters,ENG,MF,West Ham,19,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
80,Ben Chilwell,ENG,DF,Chelsea,24,1996,6.0,422,9,93,144,203,28,348,2,5,40.0,3,0,241,1089,518,23,4,5,11,3,296,257,86.8,30
81,Chiquinho,POR,"DF,MF",Wolves,21,2000,2.3,153,2,22,57,84,16,145,8,12,66.7,8,0,102,418,248,14,3,1,6,11,125,102,81.6,22
82,Hamza Choudhury,ENG,"DF,MF",Leicester City,23,1997,3.2,207,18,98,111,6,1,196,1,3,33.3,2,0,111,317,98,1,0,0,2,3,134,122,91.0,0
83,Andreas Christensen,DEN,DF,Chelsea,25,1996,16.6,1451,160,675,780,78,6,1407,6,6,100.0,6,0,988,4427,2387,61,17,0,2,1,1047,1032,98.6,2
84,Carney Chukwuemeka,ENG,"MF,FW",Aston Villa,17,2004,3.3,160,3,25,84,60,14,159,3,9,33.3,5,0,131,674,330,20,5,6,10,5,158,122,77.2,17
85,Ciaran Clark,IRL,DF,Newcastle Utd,31,1989,11.3,449,78,260,171,35,22,442,3,4,75.0,3,0,249,1151,507,13,4,0,4,0,265,251,94.7,4
86,Tom Cleverley,ENG,MF,Watford,31,1989,18.0,781,36,168,383,253,9,707,4,8,50.0,4,1,382,1337,571,18,9,3,12,11,542,442,81.5,36
87,Nathaniel Clyne,ENG,DF,Crystal Palace,30,1991,15.0,825,46,316,405,151,2,666,3,4,75.0,3,0,436,2145,1068,30,9,0,7,3,483,445,92.1,11
88,Conor Coady,ENG,DF,Wolves,28,1993,37.3,1930,470,1331,668,33,18,1890,1,2,50.0,2,0,1183,6291,2904,34,1,0,2,2,1344,1330,99.0,3
89,Séamus Coleman,IRL,DF,Everton,32,1988,29.5,1550,128,539,724,377,41,1284,26,44,59.1,29,0,839,4662,2319,87,28,8,18,26,806,712,88.3,45
90,Nathan Collins,IRL,DF,Burnley,20,2001,18.6,874,151,449,378,84,38,849,3,8,37.5,4,0,392,2338,1001,26,6,1,7,4,399,372,93.2,8
91,Aaron Connolly,IRL,FW,Brighton,21,2000,1.7,34,0,0,14,21,4,33,0,1,0.0,0,0,22,132,42,3,0,0,3,1,65,22,33.8,7
92,Liam Cooper,SCO,DF,Leeds United,29,1991,20.2,1352,196,893,495,31,12,1316,3,3,100.0,3,0,760,4090,2294,20,2,0,6,3,823,808,98.2,2
93,Jack Cork,ENG,MF,Burnley,32,1989,18.6,723,44,136,469,143,10,717,10,13,76.9,11,0,408,1528,643,31,11,1,11,18,464,398,85.8,11
94,Maxwel Cornet,CIV,"FW,MF",Burnley,24,1996,19.6,681,19,97,237,390,90,635,13,44,29.5,16,1,402,1837,1050,51,18,10,50,37,842,436,51.8,133
95,Hélder Costa,ANG,MF,Leeds United,27,1994,0.2,6,0,1,3,2,0,6,0,0,,0,0,2,6,0,0,0,0,0,0,8,5,62.5,0
96,Vladimír Coufal,CZE,DF,West Ham,28,1992,24.5,1668,108,484,691,591,28,1380,13,28,46.4,14,0,848,4589,2281,93,39,7,17,17,982,881,89.7,47
97,Philippe Coutinho,BRA,"MF,FW",Aston Villa,29,1992,14.8,824,8,89,452,355,52,788,27,42,64.3,28,6,629,3264,1962,114,44,13,38,25,774,637,82.3,68
98,Aaron Cresswell,ENG,DF,West Ham,31,1989,30.3,2291,143,709,1097,612,29,1948,3,13,23.1,3,3,1400,5955,2964,110,47,2,9,11,1520,1465,96.4,29
99,Charlie Cresswell,ENG,DF,Leeds United,18,2002,1.6,120,20,79,47,4,1,119,1,1,100.0,1,0,72,552,353,3,0,0,2,0,78,78,100.0,1
100,Cucho,COL,"FW,MF",Watford,22,1999,12.7,557,17,90,229,284,38,513,23,42,54.8,25,0,366,1967,1081,55,19,7,28,17,531,359,67.6,56
101,Marc Cucurella,ESP,DF,Brighton,23,1998,34.3,2691,125,752,1192,928,66,2330,31,59,52.5,35,8,1671,8187,5158,206,64,9,25,32,1814,1637,90.2,68
102,Luke Cundle,ENG,MF,Wolves,19,2002,2.0,118,5,34,65,27,1,115,0,1,0.0,0,0,83,333,160,8,4,0,0,1,92,87,94.6,4
103,Patson Daka,ZAM,FW,Leicester City,22,1998,12.9,382,10,36,184,174,58,360,3,18,16.7,6,0,210,647,345,21,6,4,38,23,523,250,47.8,72
104,Stuart Dallas,NIR,"DF,MF",Leeds United,30,1991,32.4,2050,105,684,984,539,33,1726,20,39,51.3,21,3,1145,6653,3857,154,58,12,20,38,1250,1100,88.0,65
105,Diogo Dalot,POR,DF,Manchester Utd,22,1999,20.0,1402,90,461,678,339,28,1222,16,28,57.1,18,2,841,3969,2350,98,24,9,22,15,887,824,92.9,42
106,Karl Darlow,ENG,GK,Newcastle Utd,30,1990,8.0,269,223,265,4,0,0,170,0,0,,0,0,95,546,294,0,0,0,0,0,94,93,98.9,0
107,Josh Dasilva,ENG,"MF,FW",Brentford,22,1998,2.9,131,11,35,63,43,6,128,7,10,70.0,8,0,93,635,390,14,6,3,6,6,95,72,75.8,9
108,Ben Davies,WAL,DF,Tottenham,28,1993,28.2,1854,169,759,960,277,34,1775,8,11,72.7,8,1,1240,7311,4438,173,61,2,10,10,1373,1316,95.8,30
109,Tom Davies,ENG,MF,Everton,23,1998,2.6,120,11,31,58,34,8,119,2,3,66.7,3,0,66,259,112,4,0,1,3,1,85,71,83.5,9
110,Keinan Davis,ENG,FW,Aston Villa,23,1998,0.1,7,0,0,5,2,0,7,0,0,,0,0,6,5,1,0,0,0,2,1,11,7,63.6,2
111,Craig Dawson,ENG,DF,West Ham,31,1990,30.6,1541,286,854,695,74,42,1513,2,2,100.0,2,0,850,4229,1975,48,7,0,2,6,954,933,97.8,6
112,Kevin De Bruyne,BEL,MF,Manchester City,30,1991,24.5,1822,27,149,736,1061,122,1653,24,42,57.1,24,1,1248,6188,4004,205,81,22,34,32,1553,1364,87.8,170
113,Troy Deeney,ENG,FW,Watford,33,1988,0.3,11,2,2,1,8,5,11,0,0,,0,0,3,7,4,0,0,0,1,0,18,9,50.0,7
114,Liam Delap,ENG,FW,Manchester City,18,2003,0.1,1,0,0,1,0,0,1,0,0,,0,0,1,2,0,0,0,0,0,0,3,1,33.3,0
115,Fabian Delph,ENG,MF,Everton,31,1989,7.4,384,23,105,242,54,0,381,6,7,85.7,6,0,250,1013,382,14,1,0,9,2,239,228,95.4,6
116,Leander Dendoncker,BEL,MF,Wolves,26,1995,21.7,1013,61,289,540,230,37,1000,7,14,50.0,7,1,576,2343,907,28,11,1,18,8,769,652,84.8,49
117,Emmanuel Dennis,NGA,"FW,MF",Watford,23,1997,28.7,1101,26,154,472,580,140,1061,73,164,44.5,80,21,823,4369,2877,140,43,45,78,75,1172,737,62.9,150
118,Kiernan Dewsbury Hall,ENG,MF,Leicester City,22,1998,23.4,1509,48,330,792,510,43,1464,26,45,57.8,29,1,1061,6527,3689,144,55,6,39,50,1234,1083,87.8,95
119,Ibrahima Diallo,FRA,MF,Southampton,22,1999,11.4,543,21,98,330,149,10,540,19,26,73.1,23,1,375,1924,983,48,17,1,11,15,431,366,84.9,16
120,Raphael Dias Belloli,BRA,"FW,MF",Leeds United,24,1996,32.4,1794,48,250,800,849,145,1612,59,149,39.6,70,15,1199,5557,3434,183,36,33,82,52,1670,1193,71.4,191
121,Rúben Dias,POR,DF,Manchester City,24,1997,26.7,2427,178,877,1634,111,32,2380,2,5,40.0,2,1,1792,10636,6630,239,22,0,5,2,1981,1952,98.5,8
122,Luis Díaz,COL,FW,Liverpool,24,1997,10.6,595,3,34,235,365,87,594,32,48,66.7,34,0,499,2775,1533,91,16,23,24,30,618,475,76.9,110
123,Eric Dier,ENG,DF,Tottenham,27,1994,34.1,2535,469,1483,1150,59,20,2479,0,2,0.0,1,0,1668,9307,5223,107,13,1,3,2,1928,1903,98.7,5
124,Lucas Digne,FRA,DF,Aston Villa,28,1993,14.1,986,64,284,359,396,27,797,4,13,30.8,7,2,531,2435,1341,56,23,3,10,17,606,541,89.3,54
125,Lucas Digne,FRA,DF,Everton,28,1993,13.0,823,52,273,318,284,15,666,6,12,50.0,6,0,399,2075,1141,47,25,2,8,10,429,385,89.7,21
126,Virgil van Dijk,NED,DF,Liverpool,30,1991,34.0,2802,327,1316,1511,88,53,2731,3,4,75.0,3,0,1813,6903,3629,99,6,0,7,5,2063,2027,98.3,8
127,Issa Diop,FRA,DF,West Ham,24,1997,10.7,568,92,334,260,10,5,555,0,0,,0,0,305,1927,934,19,2,0,1,1,353,344,97.5,0
128,Moussa Djenepo,MLI,MF,Southampton,23,1998,5.1,252,7,46,98,120,29,252,13,27,48.1,14,1,186,1058,748,34,6,9,19,15,194,156,80.4,20
129,Lewis Dobbin,ENG,"FW,MF",Everton,18,2003,0.4,13,0,3,7,5,2,13,0,1,0.0,0,0,11,81,43,1,0,1,1,1,21,8,38.1,3
130,Matt Doherty,IRL,DF,Tottenham,29,1992,9.7,644,33,184,280,210,37,582,6,9,66.7,6,0,410,1991,1192,65,12,9,11,8,461,425,92.2,40
131,Gabriel Dos Santos,BRA,DF,Arsenal,23,1997,34.0,2300,370,1195,1174,107,42,2248,3,3,100.0,3,0,1610,9846,5517,144,24,0,8,3,1745,1705,97.7,8
132,Abdoulaye Doucouré,MLI,MF,Everton,28,1993,28.2,1389,74,350,749,365,49,1372,19,39,48.7,20,0,824,4095,2244,88,31,7,30,19,917,779,85.0,61
133,Kieran Dowell,ENG,"FW,MF",Norwich City,23,1997,10.1,421,6,65,189,196,17,389,4,9,44.4,5,0,268,1255,554,26,11,3,14,15,404,292,72.3,51
134,Cody Drameh,ENG,DF,Leeds United,19,2001,1.4,94,3,37,44,22,2,68,2,4,50.0,2,0,45,282,163,9,4,0,0,1,46,42,91.3,2
135,Martin Dúbravka,SVK,GK,Newcastle Utd,32,1989,26.0,897,728,888,12,0,0,561,0,0,,0,0,387,2277,1186,0,0,0,0,0,325,325,100.0,0
136,Shane Duffy,IRL,DF,Brighton,29,1992,16.0,1192,193,722,468,61,26,1172,2,2,100.0,2,0,704,2879,1502,28,6,0,3,1,859,840,97.8,2
137,Paul Dummett,WAL,DF,Newcastle Utd,29,1991,2.2,91,7,37,45,14,0,73,0,0,,0,0,41,151,72,4,2,0,0,0,37,36,97.3,0
138,Lewis Dunk,ENG,DF,Brighton,29,1991,28.6,2123,330,1245,912,86,32,2067,5,6,83.3,6,0,1374,7109,3353,41,10,0,7,4,1575,1548,98.3,1
139,Ederson,BRA,GK,Manchester City,27,1993,37.0,1148,953,1138,12,0,0,974,0,0,,0,0,717,2840,1749,0,0,0,0,0,722,717,99.3,0
140,Odsonne Édouard,FRA,FW,Crystal Palace,23,1998,17.4,685,18,74,321,338,91,664,23,56,41.1,27,3,432,2165,1390,71,21,9,47,46,838,487,58.1,124
141,CJ Egan-Riley,ENG,DF,Manchester City,18,2003,0.0,1,1,1,0,0,0,1,0,0,,0,0,1,20,2,0,0,0,0,0,0,0,,0
142,Anthony Elanga,SWE,FW,Manchester Utd,19,2002,13.5,622,12,124,232,308,64,610,15,39,38.5,18,0,439,2020,1114,48,18,12,33,17,611,449,73.5,86
143,Harvey Elliott,ENG,MF,Liverpool,18,2003,3.8,301,1,25,140,159,22,293,2,7,28.6,2,0,220,1126,672,38,15,2,8,2,245,226,92.2,33
144,Mohamed Elneny,EGY,MF,Arsenal,29,1992,9.0,625,40,166,395,105,4,610,0,1,0.0,0,0,426,1844,791,24,3,1,4,2,473,455,96.2,4
145,Mohamed Elyounoussi,NOR,"MF,FW",Southampton,26,1994,22.7,954,33,134,422,475,94,949,18,37,48.6,23,4,629,3779,1991,112,44,13,44,52,840,620,73.8,114
146,Emerson,BRA,DF,Tottenham,22,1999,25.4,1774,112,577,706,582,66,1528,18,27,66.7,18,0,1022,4568,2506,126,35,10,17,30,1147,1015,88.5,89
147,Christian Eriksen,DEN,MF,Brentford,29,1992,10.4,743,20,143,395,247,14,628,7,17,41.2,7,1,442,2225,1290,53,17,3,11,10,547,481,87.9,23
148,Oghenekaro Etebo,NGA,MF,Watford,25,1995,4.5,194,14,66,123,18,0,185,4,6,66.7,4,0,151,650,292,10,2,0,1,4,122,116,95.1,3
149,Jonny Evans,NIR,DF,Leicester City,33,1988,15.0,1106,181,631,487,40,11,1070,1,2,50.0,1,0,684,3133,1564,34,4,0,3,1,739,721,97.6,2
150,Eberechi Eze,ENG,"MF,FW",Crystal Palace,23,1998,6.7,389,4,46,218,154,10,358,11,20,55.0,11,0,278,1461,771,33,12,3,13,16,325,267,82.2,43
151,Łukasz Fabiański,POL,GK,West Ham,36,1985,37.0,1078,996,1076,2,0,0,732,0,0,,0,0,440,2341,1215,0,0,0,0,0,414,410,99.0,0
152,Fabinho,BRA,MF,Liverpool,27,1993,25.7,1786,49,378,1157,331,21,1751,8,11,72.7,8,0,1132,4499,2154,106,23,3,24,16,1256,1208,96.2,36
153,Kiko Femenía,ESP,DF,Watford,30,1991,23.8,1424,117,468,582,447,13,1121,8,17,47.1,8,2,693,3664,1783,79,34,3,18,10,731,663,90.7,19
154,Evan Ferguson,IRL,MF,Brighton,16,2004,0.3,9,0,0,1,8,0,9,0,0,,0,0,4,7,0,0,0,0,1,0,11,8,72.7,0
155,Nathan Ferguson,ENG,DF,Crystal Palace,20,2000,0.1,5,0,4,1,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0
156,Bruno Fernandes,POR,MF,Manchester Utd,26,1994,34.6,2422,68,385,1153,1035,114,2236,23,51,45.1,27,5,1641,7564,4247,210,75,23,38,48,2134,1776,83.2,202
157,Álvaro Fernández,ESP,GK,Brentford,23,1998,12.0,533,440,528,7,0,0,416,0,0,,0,0,268,1204,730,0,0,0,0,0,273,273,100.0,0
158,Federico Fernández,ARG,DF,Newcastle Utd,32,1989,5.8,267,59,176,93,12,10,260,0,0,,0,0,170,845,506,0,0,0,0,1,178,174,97.8,2
159,Fernandinho,BRA,"MF,DF",Manchester City,36,1985,10.7,906,38,185,619,157,18,902,8,9,88.9,8,0,697,3121,1510,65,14,0,8,9,740,720,97.3,16
160,Roberto Firmino,BRA,FW,Liverpool,29,1991,11.0,669,4,52,333,328,74,653,17,32,53.1,19,2,452,2031,1050,71,29,4,30,26,690,506,73.3,142
161,Junior Firpo,ESP,DF,Leeds United,24,1996,19.0,1162,66,379,566,295,40,1011,10,21,47.6,10,1,677,3380,2177,97,28,2,15,12,726,659,90.8,47
162,Ashley Fletcher,ENG,FW,Watford,25,1995,0.3,15,1,3,6,7,1,15,0,1,0.0,0,0,7,29,15,1,0,0,0,0,29,8,27.6,1
163,Phil Foden,ENG,FW,Manchester City,21,2000,23.6,1327,7,67,480,856,151,1224,39,55,70.9,40,2,1009,4653,2225,131,39,35,33,51,1311,1027,78.3,184
164,Wesley Fofana,FRA,DF,Leicester City,20,2000,7.0,569,75,310,284,17,5,559,2,2,100.0,2,0,413,2837,1641,35,5,0,1,4,425,419,98.6,1
165,Pablo Fornals,ESP,"FW,MF",West Ham,25,1996,31.1,1709,36,271,821,714,75,1638,25,54,46.3,27,10,1155,5650,3018,154,50,10,39,32,1478,1202,81.3,141
166,Adam Forshaw,ENG,MF,Leeds United,29,1991,17.0,971,25,285,571,183,9,947,9,16,56.3,9,0,621,3110,1403,47,19,2,11,17,712,624,87.6,25
