,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
267,Dias,6.3,115,DEF,4.8,MCI,18.25,dias
262,Ederson,6.1,110,GKP,4.4,MCI,18.03,ederson
443,Saïss,5.0,90,DEF,4.1,WOL,18.00,saiss
236,Alisson,6.0,108,GKP,4.7,LIV,18.00,alisson
105,Thiago Silva,5.6,100,DEF,4.8,CHE,17.86,thiago silva
10,Smith Rowe,5.8,103,MID,4.9,ARS,17.76,smith rowe
110,Rüdiger,6.1,108,DEF,4.5,CHE,17.70,rudiger
7,Tierney,5.1,90,DEF,5.3,ARS,17.65,tierney
234,van Dijk,6.7,118,DEF,5.1,LIV,17.61,van dijk
418,Fabianski,5.0,88,GKP,3.5,WHU,17.60,fabianski
447,Semedo,4.8,83,DEF,3.8,WOL,17.29,semedo
407,Dennis,6.1,105,FWD,4.8,WAT,17.21,dennis
128,Gallagher,6.2,105,MID,5.0,CRY,16.94,gallagher
11,Saka,6.5,109,MID,4.7,ARS,16.77,saka
230,Matip,4.9,82,DEF,4.1,LIV,16.73,matip
371,Lloris,5.4,89,GKP,3.9,TOT,16.48,lloris
40,Jansson,4.5,74,DEF,2.8,BRE,16.44,jansson
147,Guéhi,4.5,74,DEF,3.1,CRY,16.44,guehi
266,Bernardo,7.3,119,MID,4.8,MCI,16.30,bernardo
355,Bednarek,4.4,71,DEF,3.5,SOU,16.14,bednarek
428,Benrahma,5.9,93,MID,4.0,WHU,15.76,benrahma
80,Cucurella,5.1,80,DEF,3.6,BHA,15.69,cucurella
353,Ward-Prowse,6.5,102,MID,4.4,SOU,15.69,ward-prowse
129,Guaita,4.6,72,GKP,3.3,CRY,15.65,guaita
33,Ramsey,4.8,75,MID,3.4,AVL,15.62,ramsey
363,Livramento,4.3,67,DEF,3.4,SOU,15.58,livramento
143,Mitchell,4.5,70,DEF,2.8,CRY,15.56,mitchell
52,Pinnock,4.5,70,DEF,2.8,BRE,15.56,pinnock
420,Cresswell,5.3,82,DEF,4.3,WHU,15.47,cresswell
375,Dier,4.6,71,DEF,3.5,TOT,15.43,dier
229,Henderson,5.0,77,MID,3.5,LIV,15.40,henderson
212,Raphinha,6.5,100,MID,4.5,LEE,15.38,raphinha
19,Tomiyasu,4.6,69,DEF,4.3,ARS,15.00,tomiyasu
245,Jota,8.4,126,MID,5.5,LIV,15.00,jota
21,Martínez,5.5,82,GKP,3.6,AVL,14.91,martinez
107,Jorginho,5.8,86,MID,4.1,CHE,14.83,jorginho
383,Reguilón,5.3,78,DEF,4.1,TOT,14.72,reguilon
188,Maddison,6.8,100,MID,4.3,LEI,14.71,maddison
122,James,6.2,91,DEF,5.7,CHE,14.68,james
94,Pope,5.4,79,GKP,4.0,BUR,14.63,pope
123,Mendy,6.1,89,GKP,4.2,CHE,14.59,mendy
238,Salah,13.1,191,MID,8.3,LIV,14.58,salah
239,Robertson,7.2,105,DEF,5.8,LIV,14.58,robertson
17,Ødegaard,5.5,80,MID,3.8,ARS,14.55,ødegaard
30,Cash,5.1,74,DEF,3.1,AVL,14.51,cash
46,Henry,4.5,65,DEF,3.0,BRE,14.44,henry
26,Mings,5.0,72,DEF,3.3,AVL,14.40,mings
155,Keane,4.8,69,DEF,3.1,EVE,14.38,keane
179,Schmeichel,4.8,69,GKP,3.0,LEI,14.38,schmeichel
380,Sánchez,4.6,66,DEF,3.9,TOT,14.35,sanchez
325,Pukki,5.8,83,FWD,3.5,NOR,14.31,pukki
378,Højbjerg,4.9,69,MID,3.3,TOT,14.08,højbjerg
440,Moutinho,4.9,69,MID,3.1,WOL,14.08,moutinho
53,Mbeumo,5.2,73,MID,3.2,BRE,14.04,mbeumo
432,Fornals,6.0,84,MID,3.5,WHU,14.00,fornals
148,Andersen,4.5,63,DEF,3.0,CRY,14.00,andersen
106,Alonso,5.6,78,DEF,4.1,CHE,13.93,alonso
430,Rice,5.1,71,MID,2.8,WHU,13.92,rice
