Unnamed: 0,Players,Position,Team,2021-10-16
145,Delph,MID,EVE,4.4
146,Coleman,DEF,EVE,4.9
147,Digne,DEF,EVE,5.3
148,Keane,DEF,EVE,5.0
149,Pickford,GKP,EVE,5.0
150,Allan,MID,EVE,4.6
151,André Gomes,MID,EVE,4.9
152,Doucouré,MID,EVE,5.7
153,Iwobi,MID,EVE,5.9
154,Mina,DEF,EVE,4.9
155,Davies,MID,EVE,4.9
156,Calvert-Lewin,FWD,EVE,8.0
157,Holgate,DEF,EVE,4.3
158,Godfrey,DEF,EVE,4.8
159,Richarlison,FWD,EVE,7.4
160,Begović,GKP,EVE,4.0
161,Townsend,MID,EVE,5.6
162,Gray,MID,EVE,5.8
163,Kenny,DEF,EVE,4.5
164,Gordon,MID,EVE,4.5
165,Rondón,FWD,EVE,6.0
166,Dobbin,FWD,EVE,4.5
167,Schmeichel,GKP,LEI,5.1
168,Evans,DEF,LEI,5.4
169,Albrighton,MID,LEI,5.4
170,Vardy,FWD,LEI,10.5
171,Pereira,DEF,LEI,5.5
172,Amartey,DEF,LEI,4.0
173,Castagne,DEF,LEI,5.3
174,Tielemans,MID,LEI,6.4
175,Pérez,MID,LEI,5.8
176,Maddison,MID,LEI,6.7
177,Iheanacho,FWD,LEI,7.0
178,Choudhury,MID,LEI,4.5
179,Barnes,MID,LEI,5.4
180,Ndidi,MID,LEI,4.9
181,Söyüncü,DEF,LEI,4.9
182,Thomas,DEF,LEI,4.0
183,Vestergaard,DEF,LEI,4.9
184,Daka,FWD,LEI,7.1
185,Soumaré,MID,LEI,4.8
186,Bertrand,DEF,LEI,4.9
187,Dewsbury-Hall,MID,LEI,4.5
188,Lookman,MID,LEI,6.0
189,Cooper,DEF,LEE,4.5
190,Ayling,DEF,LEE,4.4
191,Klich,MID,LEE,5.5
192,Rodrigo,FWD,LEE,6.3
193,Dallas,MID,LEE,5.3
194,Bamford,FWD,LEE,7.8
195,Llorente,DEF,LEE,4.5
196,Phillips,MID,LEE,4.9
197,Roberts,MID,LEE,4.0
198,Raphinha,MID,LEE,6.6
199,Shackleton,MID,LEE,4.5
200,Meslier,GKP,LEE,5.0
201,Harrison,MID,LEE,5.8
202,James,MID,LEE,5.5
203,Firpo,DEF,LEE,4.8
204,Summerville,MID,LEE,4.5
205,Cresswell,DEF,LEE,4.0
206,Milner,MID,LIV,4.9
207,Henderson,MID,LIV,5.0
208,Matip,DEF,LIV,5.0
209,Thiago,MID,LIV,5.3
210,Chamberlain,MID,LIV,5.8
211,Firmino,FWD,LIV,8.8
212,van Dijk,DEF,LIV,6.6
213,Mané,MID,LIV,11.9
214,Alisson,GKP,LIV,6.0
215,Fabinho,MID,LIV,5.4
216,Salah,MID,LIV,12.7
217,Robertson,DEF,LIV,7.0
218,Origi,FWD,LIV,4.9
219,Alexander-Arnold,DEF,LIV,7.5
220,Gomez,DEF,LIV,4.8
221,Keita,MID,LIV,5.0
222,Jota,MID,LIV,7.6
223,Konaté,DEF,LIV,5.2
224,Jones,MID,LIV,5.0
225,Tsimikas,DEF,LIV,4.0
226,Elliott,MID,LIV,5.4
227,Grealish,MID,MCI,7.9
228,Walker,DEF,MCI,5.5
229,Gündogan,MID,MCI,7.2
230,De Bruyne,MID,MCI,11.9
231,Mahrez,MID,MCI,8.7
232,Sterling,MID,MCI,10.7
233,Cancelo,DEF,MCI,6.2
234,Ederson,GKP,MCI,6.0
235,Aké,DEF,MCI,4.9
236,Laporte,DEF,MCI,5.5
237,Bernardo,MID,MCI,4.0
238,Dias,DEF,MCI,6.1
239,Jesus,FWD,MCI,8.6
240,Zinchenko,DEF,MCI,5.3
241,Foden,MID,MCI,7.9
242,Rodrigo,MID,MCI,6.3
243,Torres,MID,MCI,6.9
244,Fernandinho,MID,MCI,4.9
245,Palmer,MID,MCI,4.5
246,Cavani,FWD,MUN,8.4
247,de Gea,GKP,MUN,5.1
248,Matic,MID,MUN,4.5
249,Pogba,MID,MUN,7.7
250,Maguire,DEF,MUN,5.4
251,Fred,MID,MUN,4.9
252,Shaw,DEF,MUN,5.4
253,Lingard,MID,MUN,6.9
254,Fernandes,MID,MUN,11.8
255,Martial,FWD,MUN,7.6
256,van de Beek,MID,MUN,5.7
257,Lindelöf,DEF,MUN,4.8
258,McTominay,MID,MUN,5.4
259,Wan-Bissaka,DEF,MUN,5.4
260,Greenwood,MID,MUN,4.5
261,Sancho,MID,MUN,9.0
262,Dalot,DEF,MUN,4.4
263,Varane,DEF,MUN,5.5
264,Ronaldo,FWD,MUN,12.6
265,Willock,MID,NEW,5.9
266,Shelvey,MID,NEW,5.3
267,Ritchie,DEF,NEW,4.9
268,Clark,DEF,NEW,4.4
269,Darlow,GKP,NEW,4.5
270,Wilson,FWD,NEW,7.3
271,Hendrick,MID,NEW,4.8
272,Fraser,MID,NEW,5.4
273,Lascelles,DEF,NEW,4.4
274,Gayle,FWD,NEW,5.3
275,Manquillo,DEF,NEW,4.0
276,Krafth,DEF,NEW,4.4
277,Murphy,MID,NEW,5.0
278,Hayden,MID,NEW,4.5
279,Saint-Maximin,FWD,NEW,6.8
280,Almirón,MID,NEW,5.4
281,S.Longstaff,MID,NEW,4.5
282,Joelinton,FWD,NEW,5.8
283,Lewis,DEF,NEW,4.3
284,Fernández,DEF,NEW,4.5
285,Woodman,GKP,NEW,4.5
286,Gilmour,MID,NOR,4.5
287,Williams,DEF,NOR,4.0
288,Krul,GKP,NOR,4.5
289,Pukki,FWD,NOR,5.9
290,Rupp,MID,NOR,4.5
291,McLean,MID,NOR,4.9
292,Hanley,DEF,NOR,4.4
293,Dowell,MID,NOR,5.3
294,Cantwell,MID,NOR,5.3
295,Aarons,DEF,NOR,4.4
296,Idah,FWD,NOR,4.9
297,Omobamidele,DEF,NOR,3.9
298,Rashica,MID,NOR,5.3
299,Gibson,DEF,NOR,4.4
300,Giannoulis,DEF,NOR,4.4
301,Lees-Melou,MID,NOR,5.0
302,Sargent,FWD,NOR,5.4
303,Tzolis,MID,NOR,5.0
304,Kabak,DEF,NOR,4.5
305,Normann,MID,NOR,4.5
306,Walcott,MID,SOU,5.8
307,McCarthy,GKP,SOU,4.5
308,Romeu,MID,SOU,4.5
309,Redmond,MID,SOU,5.9
310,Stephens,DEF,SOU,4.5
311,Ward-Prowse,MID,SOU,6.4
312,Walker-Peters,DEF,SOU,4.8
313,Bednarek,DEF,SOU,4.4
314,Adams,FWD,SOU,6.8
315,Tella,MID,SOU,4.8
316,Diallo,MID,SOU,4.5
317,Djenepo,MID,SOU,5.4
318,Salisu,DEF,SOU,4.5
319,Perraud,DEF,SOU,4.9
320,Livramento,DEF,SOU,4.2
321,Elyounoussi,MID,SOU,5.5
322,Broja,FWD,SOU,5.0
323,Long,FWD,SOU,4.0
324,A.Armstrong,FWD,SOU,6.0
325,Lloris,GKP,TOT,5.5
326,Kane,FWD,TOT,12.1
327,Son,MID,TOT,10.1
328,Doherty,DEF,TOT,4.7
329,Dier,DEF,TOT,4.6
330,Lucas Moura,MID,TOT,6.4
331,Dele,MID,TOT,6.5
332,Højbjerg,MID,TOT,4.9
333,Winks,MID,TOT,4.5
334,Sánchez,DEF,TOT,4.6
335,Bergwijn,MID,TOT,5.9
336,Reguilón,DEF,TOT,5.1
337,Tanganga,DEF,TOT,4.5
338,Lo Celso,MID,TOT,5.9
339,Skipp,MID,TOT,4.5
340,Rodon,DEF,TOT,4.4
341,Ndombele,MID,TOT,5.8
342,Bryan,MID,TOT,5.8
343,Romero,DEF,TOT,4.9
344,Emerson Royal,DEF,TOT,5.0
345,Sissoko,MID,WAT,4.5
346,Foster,GKP,WAT,4.0
347,Rose,DEF,WAT,4.3
348,Gosling,MID,WAT,4.8
349,Cathcart,DEF,WAT,4.4
350,Cleverley,MID,WAT,5.0
351,Femenía,DEF,WAT,4.4
352,Kabasele,DEF,WAT,4.4
353,Troost-Ekong,DEF,WAT,4.5
354,Bachmann,GKP,WAT,4.4
355,Masina,DEF,WAT,4.3
356,Sema,MID,WAT,5.3
357,Sierralta,DEF,WAT,4.3
358,Sarr,MID,WAT,4.9
359,Ngakia,DEF,WAT,4.4
360,Louza,MID,WAT,5.3
361,João Pedro,FWD,WAT,5.4
362,Dennis,FWD,WAT,5.2
363,Etebo,MID,WAT,4.5
364,King,FWD,WAT,5.5
365,Cucho,FWD,WAT,5.0
366,Kucka,MID,WAT,5.5
367,Tufan,MID,WAT,5.0
368,Zouma,DEF,WHU,5.4
369,Fabianski,GKP,WHU,5.0
370,Ogbonna,DEF,WHU,5.0
371,Cresswell,DEF,WHU,4.0
372,Yarmolenko,MID,WHU,5.3
373,Antonio,FWD,WHU,8.0
374,Dawson,DEF,WHU,5.0
375,Fredericks,DEF,WHU,4.4
376,Lanzini,MID,WHU,5.8
377,Coufal,DEF,WHU,4.9
378,Benrahma,MID,WHU,6.6
379,Bowen,MID,WHU,6.3
380,Rice,MID,WHU,5.0
381,Soucek,MID,WHU,5.9
382,Fornals,MID,WHU,6.0
383,Johnson,DEF,WHU,3.9
384,Vlasic,MID,WHU,5.9
385,Moutinho,MID,WOL,5.0
386,Coady,DEF,WOL,4.5
387,Jiménez,FWD,WOL,7.5
388,Saïss,DEF,WOL,5.0
389,Marçal,DEF,WOL,4.6
390,Dendoncker,MID,WOL,4.8
391,Traoré,MID,WOL,5.8
392,Neves,MID,WOL,5.4
393,Semedo,DEF,WOL,4.9
394,Podence,MID,WOL,5.5
395,Kilman,DEF,WOL,4.5
396,Hoever,DEF,WOL,4.0
397,Fabio Silva,FWD,WOL,5.7
398,Trincão,MID,WOL,5.9
399,Ait Nouri,DEF,WOL,4.3
400,Sá,GKP,WOL,5.0
401,Hwang,FWD,WOL,5.6
