,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
36,McGinn,AVL,MID,5.5,Available,3090,110,12,3.1,1.7
37,Hause,AVL,DEF,4.5,Available,397,20,3,2.9,0.1
38,Mings,AVL,DEF,4.5,Available,3188,118,12,3.3,6.6
39,Watkins,AVL,FWD,7.5,Available,2950,131,17,3.7,4.5
40,Nakamba,AVL,MID,4.5,Available,899,22,0,1.4,0.2
41,Buendía,AVL,MID,6.0,Available,1887,107,8,3.1,0.8
42,Cash,AVL,DEF,5.0,Available,3377,147,11,3.9,20.3
43,Konsa,AVL,DEF,4.5,Injured,2477,78,4,2.7,0.0
44,Bailey,AVL,MID,5.0,Available,750,37,1,2.1,0.9
45,Douglas Luiz,AVL,MID,5.0,Available,2715,89,3,2.6,0.9
46,Ramsey,AVL,MID,5.5,Available,2465,109,9,3.2,4.4
47,Chukwuemeka,AVL,MID,4.5,Available,291,16,0,1.3,1.2
48,Iroegbunam,AVL,MID,4.5,Available,90,4,0,1.3,0.0
49,Diego Carlos,AVL,DEF,5.0,Available,0,0,0,0.0,1.6
50,El Ghazi,AVL,MID,5.0,Available,392,22,1,2.0,0.2
51,Davis,AVL,FWD,5.5,Available,11,1,0,1.0,0.2
52,Kamara,AVL,MID,5.0,Available,0,0,0,0.0,0.2
53,Archer,AVL,FWD,4.5,Available,24,3,0,1.0,3.1
54,Philogene-Bidace,AVL,MID,4.5,Available,4,1,0,1.0,0.0
55,Guilbert,AVL,DEF,4.0,Available,0,0,0,0.0,0.8
56,Smith,BOU,DEF,4.5,Available,0,0,0,0.0,0.2
57,Stanislas,BOU,MID,5.0,Available,0,0,0,0.0,0.2
58,Fredericks,BOU,DEF,4.5,Available,303,7,0,1.0,0.3
59,Brooks,BOU,MID,5.5,Available,0,0,0,0.0,0.3
60,Lowe,BOU,MID,5.5,Available,0,0,0,0.0,0.1
61,Moore,BOU,FWD,5.5,Available,0,0,0,0.0,0.3
62,Marcondes,BOU,MID,5.0,Available,0,0,0,0.0,0.0
63,Lerma,BOU,MID,5.0,Available,0,0,0,0.0,0.1
64,Stacey,BOU,DEF,4.5,Available,0,0,0,0.0,0.1
65,Solanke,BOU,FWD,6.0,Available,0,0,0,0.0,2.2
66,Cook,BOU,MID,5.0,Available,0,0,0,0.0,0.1
67,Pearson,BOU,MID,4.5,Available,0,0,0,0.0,0.2
68,Christie,BOU,MID,5.5,Available,0,0,0,0.0,0.1
69,Billing,BOU,MID,5.5,Available,0,0,0,0.0,0.4
70,Mepham,BOU,DEF,4.5,Available,0,0,0,0.0,0.1
71,Travers,BOU,GKP,4.5,Available,0,0,0,0.0,0.5
72,Kelly,BOU,DEF,4.5,Available,0,0,0,0.0,0.1
73,Dembélé,BOU,MID,5.0,Available,0,0,0,0.0,0.1
74,Anthony,BOU,MID,5.5,Available,0,0,0,0.0,0.2
75,Zemura,BOU,DEF,4.5,Available,0,0,0,0.0,0.2
76,Dennis,BOU,GKP,4.0,Available,0,0,0,0.0,1.1
77,Rothwell,BOU,MID,5.0,Available,0,0,0,0.0,0.0
78,Jansson,BRE,DEF,4.5,Available,3321,122,13,3.3,3.1
79,Nørgaard,BRE,MID,5.5,Available,3054,101,5,2.9,0.4
80,Toney,BRE,FWD,7.0,Available,2908,139,19,4.2,5.9
81,Raya,BRE,GKP,4.5,Available,2160,95,5,4.0,14.4
82,Canós,BRE,DEF,5.0,Suspended,2077,81,5,2.6,0.0
83,Dasilva,BRE,MID,4.5,Available,250,7,0,0.8,0.7
84,Ajer,BRE,DEF,4.5,Injured,1995,81,5,3.4,0.2
85,Henry,BRE,DEF,4.5,Available,2775,108,4,3.2,0.8
86,Janelt,BRE,MID,5.5,Available,2295,90,8,2.9,0.1
87,Ghoddos,BRE,MID,5.0,Available,524,30,0,1.8,0.0
88,Jensen,BRE,MID,5.0,Available,1590,54,2,1.7,0.1
89,Wissa,BRE,MID,5.5,Available,1268,92,6,3.1,0.4
90,Roerslev,BRE,DEF,4.5,Available,1232,41,4,2.0,0.1
91,Bech,BRE,DEF,4.5,Available,833,22,1,2.0,0.1
92,Pinnock,BRE,DEF,4.5,Available,2694,90,7,2.8,0.4
93,Onyeka,BRE,MID,5.0,Available,1040,35,0,1.8,0.1
94,Baptiste,BRE,MID,4.5,Available,898,35,2,1.6,0.3
95,Mbeumo,BRE,FWD,6.0,Available,2905,119,6,3.4,3.0
96,Goode,BRE,DEF,4.0,Available,448,10,0,1.7,0.6
97,Forss,BRE,FWD,4.5,Available,203,11,0,1.6,1.7
98,Thompson,BRE,DEF,4.0,Available,146,3,0,1.5,0.4
99,Bidstrup,BRE,MID,4.5,Available,36,4,0,1.0,0.0
100,Balcombe,BRE,GKP,4.0,Available,0,0,0,0.0,2.9
101,Hickey,BRE,DEF,5.0,Available,0,0,0,0.0,0.2
102,Lewis-Potter,BRE,MID,5.5,Available,0,0,0,0.0,0.0
103,Lallana,BHA,MID,5.0,Available,1559,44,0,1.8,0.1
104,Steele,BHA,GKP,4.0,Available,90,2,0,2.0,2.2
105,Welbeck,BHA,FWD,6.5,Available,1469,89,13,3.6,0.4
106,Gross,BHA,MID,5.5,Available,2033,88,7,3.0,0.2
107,Duffy,BHA,DEF,4.5,Available,1434,48,3,2.7,0.3
108,Dunk,BHA,DEF,4.5,Available,2573,92,7,3.2,1.7
109,March,BHA,MID,5.0,Available,1733,61,0,2.0,0.1
110,Webster,BHA,DEF,4.5,Available,1429,59,6,2.7,0.1
111,Veltman,BHA,DEF,4.5,Available,2874,95,5,2.8,0.4
112,Maupay,BHA,FWD,6.5,Available,2269,98,11,3.1,1.1
113,Trossard,BHA,MID,6.5,Available,2803,141,16,4.1,2.2
114,Cucurella,BHA,DEF,5.0,Available,3089,126,21,3.6,9.2
115,Sánchez,BHA,GKP,4.5,Available,3330,126,8,3.4,14.0
116,Lamptey,BHA,DEF,4.5,Available,1547,74,7,2.5,3.3
117,Alzate,BHA,MID,4.5,Available,401,13,0,1.4,0.2
118,Mac Allister,BHA,MID,5.5,Available,2112,93,8,2.8,0.3
119,Moder,BHA,MID,4.5,Injured,1694,58,0,2.1,0.1
120,Mwepu,BHA,MID,5.5,Available,990,58,5,3.2,0.2
121,Sarmiento,BHA,MID,4.5,Available,44,5,0,1.0,0.1
122,Caicedo,BHA,MID,5.0,Available,660,27,1,3.4,0.1
123,Richards,BHA,MID,4.5,Available,23,2,0,1.0,0.1
124,Roberts,BHA,DEF,4.0,NotAvail,0,0,0,0.0,0.2
125,Undav,BHA,FWD,5.5,Available,0,0,0,0.0,4.7
126,Mitoma,BHA,MID,5.0,Available,0,0,0,0.0,0.0
127,Enciso,BHA,FWD,5.0,Available,0,0,0,0.0,0.5
128,Kozłowski,BHA,MID,4.5,Available,0,0,0,0.0,0.1
129,Azpilicueta,CHE,DEF,5.0,Available,2067,87,2,3.2,0.9
130,Thiago Silva,CHE,DEF,5.5,Available,2649,130,14,4.1,7.0
131,Alonso,CHE,DEF,5.5,Available,2164,128,14,4.6,5.0
132,Jorginho,CHE,MID,6.0,Available,2271,106,11,3.7,1.1
133,Barkley,CHE,MID,5.0,Available,174,14,1,2.3,0.1
134,Kovacic,CHE,MID,5.0,Available,1552,76,7,3.0,1.4
135,Arrizabalaga,CHE,GKP,4.5,Available,360,19,1,4.8,0.3
136,Kanté,CHE,MID,5.0,Available,1769,79,2,3.0,2.4
137,Ziyech,CHE,MID,6.0,Available,1311,79,9,3.4,0.5
138,Loftus-Cheek,CHE,MID,5.0,Available,1384,52,1,2.2,0.1
139,Werner,CHE,FWD,8.0,Available,1278,62,5,3.0,1.2
140,Kenedy,CHE,DEF,4.0,Available,58,4,0,4.0,0.4
141,Chilwell,CHE,DEF,6.0,Available,541,55,5,7.9,11.5
142,Pulisic,CHE,MID,6.0,Available,1282,77,2,3.5,0.9
143,Chalobah,CHE,DEF,5.0,Available,1447,99,11,5.0,1.0
144,Mount,CHE,MID,8.0,Available,2358,169,16,5.3,9.1
145,Sarr,CHE,DEF,5.0,Available,544,30,4,3.8,0.2
146,Hudson-Odoi,CHE,MID,5.5,Available,958,49,1,3.3,0.2
147,Havertz,CHE,FWD,8.0,Available,1802,112,5,3.9,5.0
148,James,CHE,DEF,6.0,Available,1863,141,26,5.4,43.1
149,Mendy,CHE,GKP,5.0,Available,3060,130,3,3.8,25.1
150,Gallagher,CHE,MID,6.0,Available,2843,140,16,4.1,3.2
151,Gilmour,CHE,MID,4.5,Available,1852,49,1,2.0,0.4
152,Broja,CHE,FWD,5.5,Available,1969,92,11,2.9,1.8
153,Ampadu,CHE,DEF,4.5,Available,0,0,0,0.0,0.1
154,Guaita,CRY,GKP,4.5,Available,2655,119,11,4.0,1.9
155,Tomkins,CRY,DEF,4.0,Available,545,17,2,2.1,2.3
156,McArthur,CRY,MID,5.0,Available,1434,54,5,2.6,0.1
157,Benteke,CRY,FWD,5.5,Available,1132,58,6,2.3,0.6
158,Ward,CRY,DEF,4.5,Available,2486,73,2,2.6,0.1
159,Clyne,CRY,DEF,4.5,Available,1351,59,4,3.7,0.1
160,Milivojevic,CRY,MID,4.5,Available,767,19,0,1.3,0.6
161,Ayew,CRY,MID,5.5,Available,2012,77,3,2.5,0.2
162,Zaha,CRY,MID,7.0,Available,2759,150,11,4.5,7.0
163,Schlupp,CRY,MID,5.0,Available,1840,86,2,2.7,0.2
164,Butland,CRY,GKP,4.5,Available,765,30,3,3.3,0.3
165,Hughes,CRY,MID,5.0,Available,1050,34,2,2.1,0.0
166,Riedewald,CRY,MID,4.5,Available,116,4,0,1.3,0.1
167,Andersen,CRY,DEF,4.5,Available,2914,124,14,3.6,2.5
168,Edouard,CRY,FWD,5.5,Available,1554,87,9,3.1,4.0
169,Guéhi,CRY,DEF,4.5,Available,3222,123,8,3.4,2.9
170,Mateta,CRY,FWD,5.5,Available,1138,61,6,2.8,1.3
171,Eze,CRY,MID,5.5,Available,599,31,2,2.4,0.9
172,Mitchell,CRY,DEF,4.5,Available,3101,109,6,3.0,1.3
173,Olise,CRY,MID,5.5,Available,1127,73,8,2.8,1.0
174,Rak-Sakyi,CRY,MID,4.5,Available,79,4,0,2.0,0.1
175,Ebiowei,CRY,MID,4.5,Available,0,0,0,0.0,0.2
176,Ferguson,CRY,DEF,4.0,Available,8,1,0,1.0,0.4
177,Johnstone,CRY,GKP,4.5,Available,0,0,0,0.0,0.5
178,Matthews,CRY,GKP,4.0,Available,0,0,0,0.0,0.3
179,Plange,CRY,FWD,4.5,Available,0,0,0,0.0,0.8
180,C.Doucouré,CRY,MID,5.0,Available,0,0,0,0.0,0.0
181,Begović,EVE,GKP,4.0,Available,270,13,3,4.3,2.0
182,Rondón,EVE,FWD,5.0,Suspended,779,30,2,1.5,0.2
183,Coleman,EVE,DEF,4.5,Available,2656,79,6,2.6,0.3
184,Townsend,EVE,MID,5.5,Injured,1452,66,8,3.1,0.0
185,Keane,EVE,DEF,4.5,Available,2791,102,11,3.2,0.7
186,Dele,EVE,MID,5.5,Available,985,35,1,1.7,0.4
187,Pickford,EVE,GKP,4.5,Available,3150,116,12,3.3,6.1
188,Allan,EVE,MID,5.0,Available,2181,58,2,2.1,0.1
