,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
275,Hjelde,LEE,DEF,4.0,Available,148,2,0,1.0,0.2
276,Kristensen,LEE,DEF,5.0,Available,0,0,0,0.0,0.5
277,Roca,LEE,MID,5.0,Available,0,0,0,0.0,0.1
278,Aaronson,LEE,MID,5.5,Available,0,0,0,0.0,0.6
279,Gyabi,LEE,MID,4.5,Available,0,0,0,0.0,0.1
280,Adams,LEE,MID,5.0,Available,0,0,0,0.0,0.1
281,Sinisterra,LEE,MID,6.5,Available,0,0,0,0.0,1.1
282,Milner,LIV,MID,4.5,Available,844,38,1,1.6,0.6
283,Henderson,LIV,MID,5.5,Available,2592,110,9,3.1,0.7
284,Matip,LIV,DEF,6.0,Available,2790,170,20,5.5,2.9
285,Thiago,LIV,MID,5.5,Available,1527,69,3,2.8,1.6
286,Chamberlain,LIV,MID,5.0,Available,777,42,2,2.5,0.0
287,Firmino,LIV,FWD,8.0,Available,980,62,5,3.1,1.1
288,Van Dijk,LIV,DEF,6.5,Available,3060,183,13,5.4,10.9
289,Alisson,LIV,GKP,5.5,Available,3240,176,15,4.9,18.7
290,Fabinho,LIV,MID,5.5,Available,2311,97,7,3.3,0.8
291,Salah,LIV,MID,13.0,Available,2758,265,29,7.6,58.9
292,Robertson,LIV,DEF,7.0,Available,2537,186,23,6.4,10.1
293,Alexander-Arnold,LIV,DEF,7.5,Available,2853,208,32,6.5,55.7
294,Gomez,LIV,DEF,4.5,Available,330,22,2,2.8,0.2
295,Keita,LIV,MID,5.0,Available,1169,65,4,2.8,0.1
296,Diogo Jota,LIV,FWD,9.0,Available,2357,175,8,5.0,5.9
297,Kelleher,LIV,GKP,4.0,Available,180,8,0,4.0,0.8
298,Konaté,LIV,DEF,5.0,Available,990,33,0,3.0,2.3
299,Jones,LIV,MID,5.0,Available,849,40,3,2.7,0.0
300,Tsimikas,LIV,DEF,4.5,Available,874,42,2,3.2,0.3
301,Luis Díaz,LIV,MID,8.0,Available,957,64,6,4.9,32.0
302,Elliott,LIV,MID,5.0,Available,344,12,0,2.0,0.2
303,Carvalho,LIV,MID,5.5,Available,0,0,0,0.0,0.4
304,Darwin,LIV,FWD,9.0,Available,0,0,0,0.0,13.2
305,Ramsay,LIV,DEF,4.0,Available,0,0,0,0.0,0.4
306,Adrián,LIV,GKP,4.0,Available,0,0,0,0.0,0.3
307,R.Williams,LIV,DEF,4.0,Available,0,0,0,0.0,0.2
308,Davies,LIV,DEF,4.0,Available,0,0,0,0.0,0.1
309,Van den Berg,LIV,DEF,4.0,Available,0,0,0,0.0,0.2
310,Phillips,LIV,DEF,4.0,Available,0,0,0,0.0,0.3
311,Walker,MCI,DEF,5.0,Available,1755,85,5,4.2,4.7
312,Gündogan,MCI,MID,7.5,Available,1851,124,10,4.6,0.8
313,De Bruyne,MCI,MID,12.0,Available,2196,196,33,6.5,14.4
314,Stones,MCI,DEF,5.5,Available,1117,70,4,5.0,4.0
315,Mahrez,MCI,MID,8.0,Available,1485,135,12,4.8,4.4
316,Sterling,MCI,MID,10.0,Available,2121,163,15,5.4,4.0
317,Grealish,MCI,MID,7.0,Available,1910,86,2,3.3,3.0
318,Cancelo,MCI,DEF,7.0,Available,3227,201,27,5.6,45.9
319,Ederson,MCI,GKP,5.5,Available,3330,155,4,4.2,13.7
320,Aké,MCI,DEF,5.0,Available,919,54,0,3.9,0.5
321,Laporte,MCI,DEF,6.0,Available,2830,160,8,4.8,5.2
322,Steffen,MCI,GKP,4.0,Available,90,7,1,7.0,0.5
323,Bernardo,MCI,MID,7.0,Available,2856,155,15,4.4,7.8
324,Dias,MCI,DEF,6.0,Available,2401,141,12,4.9,9.4
325,Zinchenko,MCI,DEF,5.0,Available,1044,59,4,3.9,0.4
326,Foden,MCI,MID,8.0,Available,2125,137,11,4.9,7.6
327,Rodri,MCI,MID,6.0,Available,2884,127,9,3.8,2.3
328,Palmer,MCI,MID,4.5,Available,121,9,0,2.2,0.2
329,McAtee,MCI,MID,4.5,Available,18,2,0,1.0,0.0
330,Haaland,MCI,FWD,11.5,Available,0,0,0,0.0,64.2
331,Álvarez,MCI,FWD,6.5,Available,0,0,0,0.0,1.3
332,Mbete,MCI,DEF,4.0,Available,0,0,0,0.0,0.1
333,Wilson-Esbrand,MCI,DEF,4.0,Available,0,0,0,0.0,0.5
334,Delap,MCI,FWD,4.5,Available,8,1,0,1.0,0.6
335,Ortega,MCI,GKP,4.0,Available,0,0,0,0.0,0.8
336,Phillips,MCI,MID,5.0,Available,1594,39,1,1.9,0.9
337,Carson,MCI,GKP,4.0,Available,0,0,0,0.0,0.1
338,Ronaldo,MUN,FWD,10.5,Available,2454,159,29,5.3,4.6
339,De Gea,MUN,GKP,5.0,Available,3420,132,7,3.5,5.4
340,Jones,MUN,DEF,4.0,Available,161,4,0,1.0,0.4
341,Varane,MUN,DEF,5.0,Available,1829,75,9,3.4,1.9
342,Maguire,MUN,DEF,5.0,Available,2513,69,4,2.3,0.7
343,Fred,MUN,MID,5.5,Available,2026,93,8,3.3,0.8
344,Shaw,MUN,DEF,5.0,Available,1600,46,3,2.3,0.7
345,Fernandes,MUN,MID,10.0,Available,3110,151,15,4.2,3.8
346,Telles,MUN,DEF,5.0,Available,1658,67,6,3.2,0.2
347,Rashford,MUN,MID,6.5,Available,1224,63,0,2.5,9.2
348,Van de Beek,MUN,MID,5.5,Available,550,31,1,2.1,1.6
349,Lindelöf,MUN,DEF,4.5,Available,2353,66,4,2.4,0.2
350,McTominay,MUN,MID,5.0,Available,2386,68,2,2.3,0.2
351,Bailly,MUN,DEF,4.0,Available,216,2,0,0.5,1.2
352,Sancho,MUN,MID,7.5,Available,1894,91,9,3.1,5.8
353,Wan-Bissaka,MUN,DEF,4.5,Available,1793,41,3,2.0,0.4
354,Dalot,MUN,DEF,4.5,Available,1797,54,5,2.2,0.9
355,B.Williams,MUN,DEF,4.0,Available,2119,36,4,1.4,2.9
356,Elanga,MUN,MID,5.0,Available,1208,59,2,2.8,2.6
357,Martial,MUN,FWD,7.0,Available,207,14,2,1.8,1.0
358,Pellistri,MUN,MID,4.5,Available,0,0,0,0.0,0.2
359,Heaton,MUN,GKP,4.0,Available,0,0,0,0.0,0.6
360,Malacia,MUN,DEF,4.5,Available,0,0,0,0.0,2.9
361,Shelvey,NEW,MID,5.0,Available,1981,63,6,2.6,0.1
362,Ritchie,NEW,DEF,4.5,Available,1333,20,0,1.1,0.1
363,Fernández,NEW,DEF,4.5,Available,521,11,0,1.6,0.1
364,Clark,NEW,DEF,4.5,Available,1012,14,1,1.1,0.1
365,Darlow,NEW,GKP,4.0,Available,720,20,3,2.5,4.5
366,Wood,NEW,FWD,6.0,Available,2694,91,8,2.7,1.9
367,Dubravka,NEW,GKP,4.5,Available,2340,96,9,3.7,1.7
368,Wilson,NEW,FWD,7.5,Available,1386,75,14,4.2,4.1
369,Trippier,NEW,DEF,5.0,Available,429,28,3,4.7,15.9
370,Burn,NEW,DEF,4.5,Available,2461,92,6,3.2,1.6
